data,fit,cluster,n,share,lon2_median,lat_median,onset_median,lon2_iqr,lat_iqr,mode,desire,covered,same_path_share,offpath_median,share_in_dec10,n_dec10
P5,P5 reactive frames,0,118,0.2345924453280318,-1.2766423225402832,0.30029967427253723,8.05,1.6921753883361816,0.2139180265367031,longitudinal slow / stop,none,False,1.0,0.2957063175682053,,
P5,P5 reactive frames,1,29,0.05765407554671968,-5.790317535400391,10.427835464477539,2.7,6.701851844787598,0.6386451721191406,lateral turn left,turnLeft,True,1.0,0.16431697639485174,,
P5,P5 reactive frames,2,50,0.09940357852882704,-5.679660797119141,-3.091639757156372,6.95,5.771822929382324,1.5661735534667969,lateral laneChange right,laneChangeRight,True,1.0,0.05494234494276934,,
P5,P5 reactive frames,3,52,0.10337972166998012,-4.828989505767822,0.009699082933366299,1.2000000000000002,6.538604021072388,0.002150089479982853,longitudinal slow / stop,none,False,1.0,0.009601115697119878,,
P5,P5 reactive frames,4,54,0.1073558648111332,-1.4683194160461426,-1.0303737074136734,8.100000000000001,2.033855438232422,2.3692193180322647,lateral keep right,keepRight,True,1.0,0.20887836560772724,,
P5,P5 reactive frames,5,6,0.011928429423459244,-10.525129318237305,-24.937585830688477,0.125,1.9024114608764648,0.8744659423828125,lateral turn right,turnRight,True,1.0,0.025012549108579724,,
P5,P5 reactive frames,6,149,0.2962226640159046,-5.083005905151367,0.0016637110384181142,9.200000000000001,6.160771369934082,0.011301888152956963,longitudinal slow / stop,none,False,1.0,0.0029415752079533976,,
P5,P5 reactive frames,7,45,0.08946322067594434,-1.9348564147949219,-0.2046602964401245,5.7,2.641026496887207,0.34362339973449707,longitudinal slow / stop,none,False,1.0,0.03790780225518367,,
WOD,WOD all rater frames,0,29,0.060542797494780795,0.09934425354003906,-0.3650130033493042,0.25,9.60835075378418,0.9873436391353607,near-zero difference,none,False,0.8620689655172413,0.26011662761071197,0.3103448275862069,9.0
WOD,WOD all rater frames,1,79,0.1649269311064718,-0.07064032554626465,0.002570943906903267,3.0,0.43461787700653076,0.5404592156410217,near-zero difference,none,False,0.8860759493670886,0.17317573969835273,0.12658227848101267,10.0
WOD,WOD all rater frames,2,63,0.1315240083507307,-0.06530642509460449,-0.007578909397125244,5.25,0.18761324652950861,0.05805175146088004,near-zero difference,none,False,1.0,0.02806526505710329,0.09523809523809523,6.0
WOD,WOD all rater frames,3,95,0.19832985386221294,-0.07908439636230469,-0.07486245036125183,1.5,1.611180990934372,3.266971528530121,near-zero difference,none,False,0.6736842105263158,0.6839148724035802,0.1368421052631579,13.0
WOD,WOD all rater frames,4,80,0.16701461377870563,1.5012696385383606,-0.13307879120111465,1.25,2.5340000092983246,0.4609569162130356,longitudinal faster / go,none,False,0.975,0.14176795303135348,0.4125,33.0
WOD,WOD all rater frames,5,104,0.21711899791231734,-1.0035932064056396,-0.0058352225460112095,0.25,0.748544454574585,0.3543428033590317,longitudinal slow / stop,none,False,1.0,0.07562134302861667,0.04807692307692308,5.0
WOD,WOD all rater frames,6,3,0.006263048016701462,4.426718235015869,22.917312622070312,0.75,1.4487898349761963,4.690855026245117,lateral turn left,turnLeft,True,0.6666666666666666,0.196554616913978,0.3333333333333333,1.0
WOD,WOD all rater frames,7,26,0.054279749478079335,4.188191175460815,-0.25661641359329224,1.0,3.0802332758903503,9.814306139945984,longitudinal faster / go,none,False,0.6153846153846154,0.5579586119435086,0.5,13.0
WOD,WOD s_ego decile 10,0,15,0.16666666666666666,-0.1751701831817627,-0.0285140722990036,4.0,0.2256065011024475,0.11794705141801387,near-zero difference,none,False,0.9333333333333333,0.03642904968822076,,
WOD,WOD s_ego decile 10,1,41,0.45555555555555555,4.92447566986084,-0.2524920105934143,1.0,4.157478332519531,0.8762152418494225,longitudinal faster / go,none,False,1.0,0.19693412807916724,,
WOD,WOD s_ego decile 10,2,19,0.2111111111111111,-0.44519472122192383,-0.01585507020354271,0.75,1.9792920351028442,1.0619183480739594,near-zero difference,none,False,0.7368421052631579,0.26276455161685097,,
WOD,WOD s_ego decile 10,3,15,0.16666666666666666,3.933561325073242,1.390792965888977,1.0,3.5212920904159546,11.227011680603027,lateral keep left,keepLeft,True,0.6,0.3215487800607176,,
