cluster,DynamicObjectCrossing,HighwayCutIn,Light,ParkingCrossingPedestrian,ParkingCutIn,PedestrianCrossing,StaticCutIn,VehicleTurningRoutePedestrian
0,0.0,0.058823529411764705,0.0,0.0,0.6,0.0,0.17073170731707318,1.0
1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.21138211382113822,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.4065040650406504,0.0
3,0.6,0.0,0.0,0.32894736842105265,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
5,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
6,0.0,0.9411764705882353,0.0,0.35526315789473684,0.0,0.0,0.21138211382113822,0.0
7,0.4,0.0,0.0,0.3157894736842105,0.0,1.0,0.0,0.0
