judge,arm,scope,n,value,delta,lo,hi,halfwidth
ADE vs log,ridge ego,all,106360,1.8344768285751343,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,pre_onset,1510,2.3760018348693848,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,straight_yaw,46580,1.721554160118103,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,dec1-9,95724,1.405332326889038,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,dec10,10636,5.696776390075684,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,dec1-9 pre_onset,1291,1.9619956016540527,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,rater,479,2.432774543762207,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,rater credible,434,2.123134136199951,0.0,0.0,0.0,0.0
ADE vs log,ridge ego,rater pre_onset,6,1.6201729774475098,0.0,0.0,0.0,0.0
minADE1,ridge ego,all,106360,1.881818413734436,0.0,0.0,0.0,0.0
minADE1,ridge ego,pre_onset,1510,2.533585548400879,0.0,0.0,0.0,0.0
minADE1,ridge ego,straight_yaw,46580,1.79236900806427,0.0,0.0,0.0,0.0
minADE1,ridge ego,dec1-9,95724,1.4839613437652588,0.0,0.0,0.0,0.0
minADE1,ridge ego,dec10,10636,5.462531566619873,0.0,0.0,0.0,0.0
minADE1,ridge ego,dec1-9 pre_onset,1291,2.1248419284820557,0.0,0.0,0.0,0.0
minADE1,ridge ego,rater,479,2.462421178817749,0.0,0.0,0.0,0.0
minADE1,ridge ego,rater credible,434,2.1589865684509277,0.0,0.0,0.0,0.0
minADE1,ridge ego,rater pre_onset,6,1.851184368133545,0.0,0.0,0.0,0.0
minADE3,ridge ego,all,106360,1.5293163061141968,0.0,0.0,0.0,0.0
minADE3,ridge ego,pre_onset,1510,2.216520309448242,0.0,0.0,0.0,0.0
minADE3,ridge ego,straight_yaw,46580,1.535859227180481,0.0,0.0,0.0,0.0
minADE3,ridge ego,dec1-9,95724,1.1539965867996216,0.0,0.0,0.0,0.0
minADE3,ridge ego,dec10,10636,4.907193183898926,0.0,0.0,0.0,0.0
minADE3,ridge ego,dec1-9 pre_onset,1291,1.825716257095337,0.0,0.0,0.0,0.0
minADE3,ridge ego,rater,479,2.081894636154175,0.0,0.0,0.0,0.0
minADE3,ridge ego,rater credible,434,1.7795683145523071,0.0,0.0,0.0,0.0
minADE3,ridge ego,rater pre_onset,6,1.6426525115966797,0.0,0.0,0.0,0.0
minADE6,ridge ego,all,106360,1.3462891578674316,0.0,0.0,0.0,0.0
minADE6,ridge ego,pre_onset,1510,2.0078487396240234,0.0,0.0,0.0,0.0
minADE6,ridge ego,straight_yaw,46580,1.3645371198654175,0.0,0.0,0.0,0.0
minADE6,ridge ego,dec1-9,95724,0.9920833706855774,0.0,0.0,0.0,0.0
minADE6,ridge ego,dec10,10636,4.534141540527344,0.0,0.0,0.0,0.0
minADE6,ridge ego,dec1-9 pre_onset,1291,1.6347694396972656,0.0,0.0,0.0,0.0
minADE6,ridge ego,rater,479,1.909880518913269,0.0,0.0,0.0,0.0
minADE6,ridge ego,rater credible,434,1.6169590950012207,0.0,0.0,0.0,0.0
minADE6,ridge ego,rater pre_onset,6,1.5188850164413452,0.0,0.0,0.0,0.0
RFS,ridge ego,all,479,7.055803829125608,0.0,0.0,0.0,0.0
RFS,ridge ego,pre_onset,6,7.006436267365921,0.0,0.0,0.0,0.0
RFS,ridge ego,straight_yaw,162,7.947981582897641,0.0,0.0,0.0,0.0
RFS,ridge ego,dec1-9,389,7.318178085098017,0.0,0.0,0.0,0.0
RFS,ridge ego,dec10,90,5.921763989422639,0.0,0.0,0.0,0.0
RFS,ridge ego,dec1-9 pre_onset,6,7.006436267365921,0.0,0.0,0.0,0.0
RFS,ridge ego,rater,479,7.055803829125608,0.0,0.0,0.0,0.0
RFS,ridge ego,rater credible,434,7.14980874989003,0.0,0.0,0.0,0.0
RFS,ridge ego,rater pre_onset,6,7.006436267365921,0.0,0.0,0.0,0.0
RFS,ridge ego,rater q1,96,8.717259985241876,0.0,0.0,0.0,0.0
RFS,ridge ego,rater q2,96,7.869486435217728,0.0,0.0,0.0,0.0
RFS,ridge ego,rater q3,95,6.802743396559194,0.0,0.0,0.0,0.0
RFS,ridge ego,rater q4,96,6.046968536865933,0.0,0.0,0.0,0.0
RFS,ridge ego,rater q5,96,5.8399247455707455,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,all,479,3.157146039269165,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,pre_onset,6,2.677252252896627,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,straight_yaw,162,2.8189873918890953,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,dec1-9,389,2.5907894831466796,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,dec10,90,5.605064931843016,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,dec1-9 pre_onset,6,2.677252252896627,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,rater,479,3.157146039269165,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,rater credible,434,3.024046162203435,0.0,0.0,0.0,0.0
ADE vs rater_best,ridge ego,rater pre_onset,6,2.677252252896627,0.0,0.0,0.0,0.0
ADE vs log,A ridge_late uniform,all,106360,1.7663496732711792,-0.06812705099582672,-0.08530781602750541,-0.051555598293482385,0.016876108867011512
ADE vs log,A ridge_late uniform,pre_onset,1510,2.3598077297210693,-0.016193991526961327,-0.06214635911764214,0.030347175890194686,0.046246767503918415
ADE vs log,A ridge_late uniform,straight_yaw,46580,1.5943816900253296,-0.1271725594997406,-0.15792903096792416,-0.09907217041791233,0.029428430275005912
ADE vs log,A ridge_late uniform,dec1-9,95724,1.3639490604400635,-0.04138342663645744,-0.05886230525861004,-0.024716999854636316,0.01707265270198686
ADE vs log,A ridge_late uniform,dec10,10636,5.387956619262695,-0.3088197112083435,-0.3452038851144874,-0.27149218998678903,0.03685584756384919
ADE vs log,A ridge_late uniform,dec1-9 pre_onset,1291,1.9603031873703003,-0.0016923899529501796,-0.051864213834592825,0.04938463122601864,0.05062442253030573
ADE vs log,A ridge_late uniform,rater,479,2.3882713317871094,-0.04450307786464691,-0.08684975981351996,-0.00141854280738403,0.042715608503067964
ADE vs log,A ridge_late uniform,rater credible,434,2.077735424041748,-0.045398641377687454,-0.08917958279942863,-0.0011998068052022485,0.04398988799711319
ADE vs log,A ridge_late uniform,rater pre_onset,6,1.5459657907485962,-0.07420725375413895,-0.168675368030866,0.007266779740651448,0.08797107388575873
minADE1,A ridge_late uniform,all,106360,1.8194782733917236,-0.06234034150838852,-0.08220684262638707,-0.04296782635524228,0.019619508135572394
minADE1,A ridge_late uniform,pre_onset,1510,2.5305893421173096,-0.002996058901771903,-0.05367627776911732,0.044674188071319995,0.04917523292021866
minADE1,A ridge_late uniform,straight_yaw,46580,1.664074182510376,-0.12829478085041046,-0.16304100407855723,-0.09868686451103872,0.032177069783759255
minADE1,A ridge_late uniform,dec1-9,95724,1.4476487636566162,-0.036312635987997055,-0.057357059197537204,-0.015340331899321949,0.021008363649107627
minADE1,A ridge_late uniform,dec10,10636,5.165942192077637,-0.2965896725654602,-0.33448340249276665,-0.25794225863502407,0.03827057192887129
minADE1,A ridge_late uniform,dec1-9 pre_onset,1291,2.1372320652008057,0.012390359304845333,-0.043892655928381784,0.06754224227255896,0.05571744910047037
minADE1,A ridge_late uniform,rater,479,2.405524730682373,-0.05689649656414986,-0.109057257023804,-0.005144534175914455,0.051956361423944775
minADE1,A ridge_late uniform,rater credible,434,2.095592975616455,-0.06339380890130997,-0.12161265996709672,-0.01063391253661176,0.05548937371524248
minADE1,A ridge_late uniform,rater pre_onset,6,1.7591023445129395,-0.09208206087350845,-0.2088846762975057,-0.011196374893188477,0.09884415070215861
minADE3,A ridge_late uniform,all,106360,1.4666221141815186,-0.06269416958093643,-0.08090670031086139,-0.04541627233495322,0.017745213987954086
minADE3,A ridge_late uniform,pre_onset,1510,2.200900077819824,-0.015620113350450993,-0.06397405732648676,0.03236287041256089,0.04816846386952382
minADE3,A ridge_late uniform,straight_yaw,46580,1.4089395999908447,-0.12691962718963623,-0.1573369502607224,-0.1007815097867763,0.028277720236973045
minADE3,A ridge_late uniform,dec1-9,95724,1.1182996034622192,-0.035696841776371,-0.054664355796213815,-0.01714138423769977,0.01876148577925702
minADE3,A ridge_late uniform,dec10,10636,4.601523399353027,-0.3056701421737671,-0.3418897161515069,-0.26718814069021374,0.03735078773064657
minADE3,A ridge_late uniform,dec1-9 pre_onset,1291,1.8292298316955566,0.003513364354148507,-0.0472237548659952,0.051405170028024964,0.049314462447010085
minADE3,A ridge_late uniform,rater,479,2.0228190422058105,-0.05907539650797844,-0.10589682440983457,-0.012361256298920818,0.046767784055456875
minADE3,A ridge_late uniform,rater credible,434,1.723487138748169,-0.05608120188117027,-0.1042521394875055,-0.009396830670672922,0.04742765440841629
minADE3,A ridge_late uniform,rater pre_onset,6,1.5747922658920288,-0.0678602084517479,-0.19585919380187988,0.0,0.09792959690093994
minADE6,A ridge_late uniform,all,106360,1.2861982583999634,-0.0600908026099205,-0.0739701366018329,-0.04592156391666299,0.014024286342584954
minADE6,A ridge_late uniform,pre_onset,1510,1.9840619564056396,-0.023786643519997597,-0.0718313519800023,0.022856844922101213,0.04734409845105176
minADE6,A ridge_late uniform,straight_yaw,46580,1.2527021169662476,-0.11183487623929977,-0.13529653571474462,-0.09015315322758571,0.022571691243579453
minADE6,A ridge_late uniform,dec1-9,95724,0.958651602268219,-0.0334317646920681,-0.04781276494289299,-0.019641924225991435,0.014085420358450776
minADE6,A ridge_late uniform,dec10,10636,4.234119415283203,-0.3000221252441406,-0.3374822408979832,-0.2618717111238463,0.03780526488706845
minADE6,A ridge_late uniform,dec1-9 pre_onset,1291,1.6215413808822632,-0.013227838091552258,-0.06017132507600471,0.03369538647985264,0.046933355777928676
minADE6,A ridge_late uniform,rater,479,1.8213239908218384,-0.0885566771030426,-0.1324882188947018,-0.045563502220868586,0.04346235833691661
minADE6,A ridge_late uniform,rater credible,434,1.5279541015625,-0.08900494873523712,-0.13544030457323047,-0.046304436360189744,0.044567934106520365
minADE6,A ridge_late uniform,rater pre_onset,6,1.5747922658920288,0.05590735003352165,-0.007721424102783203,0.15301483869552612,0.08036813139915466
RFS,A ridge_late uniform,all,479,6.968319823122093,-0.08748400600351439,-0.18250081901942752,0.004293804212092786,0.09339731161576015
RFS,A ridge_late uniform,pre_onset,6,6.968832130687786,-0.03760413667813619,-0.32183297848983755,0.29235390178876236,0.30709344013929996
RFS,A ridge_late uniform,straight_yaw,162,8.001669394259446,0.05368781136180523,-0.09672291958059277,0.19424021724469903,0.1454815684126459
RFS,A ridge_late uniform,dec1-9,389,7.221516537250361,-0.096661547847657,-0.21850037223613092,0.01823176973351459,0.11836607098482275
