source,repeat,level,route,seed,arm,phantom_ticks,C_throttle_B_raw_brake,C_throttle_B_effective_brake,D_throttle_B_raw_brake,D_throttle_B_effective_brake,C_throttle,D_throttle,B_raw_brake,B_effective_brake,rear_first_speed_median,direct_first_speed_median
d2,1,1,26405,1,A,0,0,0,0,0,0,0,0,0,nan,nan
d2,1,1,26405,1,B,5,3,3,3,3,4,4,3,3,6.539545200164345,1.1156788058234859
d2,1,1,3514,1,B,56,44,44,44,44,56,56,44,44,7.662520645646405,0.2998739728676558
d2,1,1,3514,1,C,19,19,19,19,19,19,19,19,19,7.51971737647781,0.3445081754690431
d2,1,2,27529,0,B,16,3,3,3,3,16,16,3,3,2.8266040274907915,0.3914876226572236
d2,1,2,27529,0,C,0,0,0,0,0,0,0,0,0,nan,nan
d2,1,2,28154,0,B,0,0,0,0,0,0,0,0,0,nan,nan
d2,1,2,28154,0,C,12,5,5,5,5,12,12,5,5,5.166207482458381,1.0659718408534973
d2,2,1,26405,1,A,0,0,0,0,0,0,0,0,0,nan,nan
d2,2,1,26405,1,B,1096,413,397,413,397,1037,1037,419,400,6.972358571407776,1.0374778397839437
d2,2,1,3514,1,B,540,496,492,496,492,540,540,496,492,7.015907656948764,1.086294616772538
d2,2,1,3514,1,C,18,18,18,18,18,18,18,18,18,7.520024215548415,0.32771414352533934
d2,2,2,27529,0,B,0,0,0,0,0,0,0,0,0,nan,nan
d2,2,2,27529,0,C,0,0,0,0,0,0,0,0,0,nan,nan
d2,2,2,28154,0,B,0,0,0,0,0,0,0,0,0,nan,nan
d2,2,2,28154,0,C,59,4,4,4,4,56,56,5,5,2.6147919592437443,0.377293998045501
formal,0,1,17569,0,A,19,4,4,4,4,18,18,5,5,6.933880022006361,0.30941024966251685
formal,0,1,17569,0,B,8,2,2,2,2,7,7,2,2,4.416267870914161,1.04554055011645
formal,0,1,17569,0,C,12,12,12,12,12,12,12,12,12,5.174142265169257,0.6456266739596974
formal,0,1,17569,0,D,4,3,3,3,3,4,4,3,3,2.1318253077542364,1.0462109516388667
formal,0,1,17569,1,A,1348,1274,1266,1274,1266,1346,1346,1276,1268,7.093656896924083,0.8038277849362145
formal,0,1,17569,1,B,60,36,36,36,36,60,60,36,36,7.02193560512552,0.9954417811004027
formal,0,1,17569,1,C,9,1,1,1,1,9,9,1,1,3.7897686930642345,0.5552578807768632
formal,0,1,17569,1,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,17569,2,A,63,18,18,18,18,63,63,18,18,6.763099357481332,0.6739674795573759
formal,0,1,17569,2,B,2,0,0,0,0,2,2,0,0,1.5201004294345373,1.0084280106998085
formal,0,1,17569,2,C,0,0,0,0,0,0,0,0,0,nan,nan
