level,route,seed,C_phantom,C_linked_event,ds_arm,ds_B,ds_diff,points_rc,points_collisions_pedestrian,points_collisions_vehicle,points_collisions_layout,points_red_light,points_stop_infraction,points_scenario_timeouts,points_yield_emergency_vehicle_infractions,points_outside_route_lanes,points_min_speed_infractions,points_route_dev,points_vehicle_blocked,points_route_timeout,points_rounding
2,2050,0,True,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,2,False,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,1,False,False,60.0,100.0,-40.0,0.0,0.0,-39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95484625968566e-14
2,2084,0,True,True,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,0,False,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,2,True,False,50.76,100.0,-49.24,-49.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,2,False,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,1,False,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,1,False,False,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,2,False,False,100.0,60.0,40.0,0.0,0.0,39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95484625968566e-14
2,27529,0,False,False,24.0096,100.0,-75.9904,-36.8974101040625,0.0,-27.207819655761107,0.0,0.0,-11.885170240176386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,2,True,False,50.02,100.0,-49.98,-49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,0,True,True,36.0,100.0,-64.0,0.0,0.0,-63.99999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7819385038742678e-14
2,28154,2,True,True,60.0,100.0,-40.0,0.0,0.0,-39.99999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.95484625968566e-14
2,28154,1,True,True,36.0,100.0,-64.0,0.0,0.0,-63.99999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7819385038742678e-14
2,27529,1,False,False,32.514352,100.0,-67.485648,-40.258268287686455,0.0,0.0,-25.876243329704224,0.0,0.0,0.0,0.0,-1.348533042707895,0.0,0.0,0.0,0.0,-0.0026033399014255224
2,25318,0,True,False,20.952,60.0,-39.048,-39.04800000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944574607221305e-14
2,2084,1,True,False,29.478,60.0,-30.522,-30.522000000000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8144039347763165e-14
