source,repeat,level,route,seed,arm,frames,valid_ticks,phantom_ticks,phantom_pct,phantom_episodes,standstill_phantom_ticks,ds,rc,official_status
formal,0,1,25424,2,A,406,405,13,3.2098765432098766,2,2,100.0,100.0,Completed
formal,0,1,25424,2,B,2279,2278,900,39.50834064969271,150,880,100.0,100.0,Completed
formal,0,1,25424,2,C,377,376,9,2.393617021276596,2,0,92.45708,100.0,Completed
formal,0,1,25424,2,D,430,429,16,3.7296037296037294,4,4,97.171467,100.0,Completed
formal,0,1,26405,0,A,383,382,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,0,B,1588,1587,550,34.656584751102706,58,550,23.447149,72.71,Failed - Agent got blocked
formal,0,1,26405,0,C,418,417,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,0,D,443,442,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,1,A,390,389,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,1,B,540,539,66,12.244897959183673,1,63,6.597245,100.0,Completed
formal,0,1,26405,1,C,411,410,1,0.24390243902439024,1,1,100.0,100.0,Completed
formal,0,1,26405,1,D,432,431,1,0.23201856148491878,1,1,100.0,100.0,Completed
formal,0,1,26405,2,A,392,391,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,2,B,1613,1612,1211,75.12406947890818,4,1211,23.447149,72.71,Failed - Agent got blocked
formal,0,1,26405,2,C,443,442,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,26405,2,D,437,436,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,27494,0,A,488,487,24,4.9281314168377826,2,23,100.0,100.0,Completed
formal,0,1,27494,0,B,1518,1517,54,3.5596572181938035,7,40,100.0,100.0,Completed
formal,0,1,27494,0,C,506,505,5,0.9900990099009901,1,0,60.0,100.0,Completed
formal,0,1,27494,0,D,532,531,4,0.7532956685499058,2,0,100.0,100.0,Completed
formal,0,1,27494,1,A,493,492,124,25.203252032520325,19,123,100.0,100.0,Completed
formal,0,1,27494,1,B,1518,1517,176,11.601845748187213,2,171,100.0,100.0,Completed
formal,0,1,27494,1,C,698,697,1,0.1434720229555237,1,0,100.0,100.0,Completed
formal,0,1,27494,1,D,534,533,2,0.37523452157598497,1,2,100.0,100.0,Completed
formal,0,1,27494,2,A,489,488,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,27494,2,B,1516,1515,175,11.55115511551155,7,174,100.0,100.0,Completed
formal,0,1,27494,2,C,535,534,2,0.37453183520599254,1,0,100.0,100.0,Completed
formal,0,1,27494,2,D,504,503,12,2.3856858846918487,2,7,60.0,100.0,Completed
formal,0,1,28198,0,A,314,313,1,0.3194888178913738,1,1,100.0,100.0,Completed
formal,0,1,28198,0,B,317,316,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,28198,0,C,305,304,19,6.25,5,4,100.0,100.0,Completed
formal,0,1,28198,0,D,309,308,25,8.116883116883116,6,2,100.0,100.0,Completed
formal,0,1,28198,1,A,311,310,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,28198,1,B,316,315,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,28198,1,C,305,304,23,7.565789473684211,5,4,100.0,100.0,Completed
formal,0,1,28198,1,D,308,307,22,7.166123778501629,7,4,100.0,100.0,Completed
formal,0,1,28198,2,A,303,302,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,28198,2,B,314,313,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,28198,2,C,304,303,25,8.25082508250825,8,3,100.0,100.0,Completed
formal,0,1,28198,2,D,306,305,19,6.229508196721312,7,2,100.0,100.0,Completed
formal,0,1,3255,0,A,721,720,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,3255,0,B,717,716,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,3255,0,C,615,614,49,7.980456026058631,16,18,82.775642,100.0,Completed
formal,0,1,3255,0,D,725,724,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,3255,1,A,724,723,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,3255,1,B,1233,1232,0,0.0,0,0,50.0,100.0,Completed
formal,0,1,3255,1,C,634,633,32,5.055292259083728,9,6,82.775642,100.0,Completed
formal,0,1,3255,1,D,2423,2422,656,27.08505367464905,20,632,58.282456,100.0,Completed
formal,0,1,3255,2,A,725,724,0,0.0,0,0,100.0,100.0,Completed
formal,0,1,3255,2,B,3131,3130,0,0.0,0,0,50.0,100.0,Completed
formal,0,1,3255,2,C,639,638,84,13.166144200626958,7,57,20.855895,100.0,Completed
formal,0,1,3255,2,D,561,560,12,2.142857142857143,4,0,82.775642,100.0,Completed
formal,0,1,3514,0,A,519,518,60,11.583011583011583,6,60,100.0,100.0,Completed
formal,0,1,3514,0,B,2355,2354,1115,47.366185216652504,55,1096,89.404472,100.0,Completed
formal,0,1,3514,0,C,515,514,18,3.501945525291829,1,13,65.0,100.0,Completed
formal,0,1,3514,0,D,520,519,19,3.6608863198458574,2,14,65.0,100.0,Completed
formal,0,1,3514,1,A,520,519,58,11.175337186897881,6,58,100.0,100.0,Completed
formal,0,1,3514,1,B,2350,2349,1035,44.06130268199234,59,1024,91.675022,100.0,Completed
formal,0,1,3514,1,C,517,516,18,3.488372093023256,1,14,65.0,100.0,Completed
formal,0,1,3514,1,D,520,519,18,3.4682080924855487,2,14,65.0,100.0,Completed
formal,0,1,3514,2,A,518,517,60,11.60541586073501,7,60,100.0,100.0,Completed
formal,0,1,3514,2,B,2355,2354,370,15.717926932880205,51,360,90.918173,100.0,Completed
formal,0,1,3514,2,C,517,516,18,3.488372093023256,1,13,65.0,100.0,Completed
formal,0,1,3514,2,D,519,518,19,3.667953667953668,2,14,65.0,100.0,Completed
formal,0,1r,17569,0,A,444,443,14,3.160270880361174,4,13,100.0,100.0,Completed
formal,0,1r,2091,0,A,385,384,0,0.0,0,0,100.0,100.0,Completed
formal,0,1r,25378,0,A,246,245,0,0.0,0,0,70.0,100.0,Completed
formal,0,1r,25381,0,A,420,419,0,0.0,0,0,100.0,100.0,Completed
formal,0,1r,25424,0,A,388,387,10,2.5839793281653747,1,5,96.228568,100.0,Completed
formal,0,1r,26405,0,A,392,391,0,0.0,0,0,100.0,100.0,Completed
formal,0,1r,27494,0,A,492,491,117,23.828920570264767,20,117,100.0,100.0,Completed
formal,0,1r,28198,0,A,302,301,0,0.0,0,0,100.0,100.0,Completed
formal,0,1r,3255,0,A,721,720,0,0.0,0,0,100.0,100.0,Completed
formal,0,1r,3514,0,A,518,517,62,11.992263056092844,9,62,100.0,100.0,Completed
formal,0,2,2050,0,A,256,255,1,0.39215686274509803,1,1,100.0,100.0,Completed
formal,0,2,2050,0,B,256,255,1,0.39215686274509803,1,1,100.0,100.0,Completed
formal,0,2,2050,0,C,299,298,1,0.33557046979865773,1,1,100.0,100.0,Completed
formal,0,2,2050,0,D,313,312,1,0.3205128205128205,1,1,60.0,100.0,Completed
formal,0,2,2050,1,A,329,328,9,2.7439024390243905,4,8,100.0,100.0,Completed
formal,0,2,2050,1,B,258,257,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,2050,1,C,313,312,0,0.0,0,0,60.0,100.0,Completed
formal,0,2,2050,1,D,313,312,10,3.205128205128205,3,7,100.0,100.0,Completed
formal,0,2,2050,2,A,329,328,31,9.451219512195122,7,30,100.0,100.0,Completed
formal,0,2,2050,2,B,266,265,1,0.37735849056603776,1,1,100.0,100.0,Completed
formal,0,2,2050,2,C,300,299,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,2050,2,D,343,342,6,1.7543859649122806,1,6,60.0,100.0,Completed
formal,0,2,2084,0,A,460,459,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,2084,0,B,580,579,11,1.8998272884283247,1,8,60.0,100.0,Completed
formal,0,2,2084,0,C,391,390,27,6.923076923076923,3,19,60.0,100.0,Completed
formal,0,2,2084,0,D,505,504,3,0.5952380952380952,2,2,100.0,100.0,Completed
formal,0,2,2084,1,A,458,457,2,0.437636761487965,1,2,100.0,100.0,Completed
formal,0,2,2084,1,B,636,635,15,2.3622047244094486,5,13,60.0,100.0,Completed
formal,0,2,2084,1,C,4000,3999,198,4.951237809452363,94,196,29.478,49.13,Failed - TickRuntime
formal,0,2,2084,1,D,315,314,17,5.414012738853503,3,7,40.608,50.76,Failed - Agent deviated from the route
formal,0,2,2084,2,A,460,459,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,2084,2,B,557,556,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,2084,2,C,519,518,17,3.2818532818532815,2,17,50.76,50.76,Failed - Agent deviated from the route
formal,0,2,2084,2,D,518,517,2,0.3868471953578337,2,2,98.738592,100.0,Completed
formal,0,2,25318,0,A,531,530,5,0.9433962264150944,2,3,100.0,100.0,Completed
formal,0,2,25318,0,B,554,553,0,0.0,0,0,60.0,100.0,Completed
formal,0,2,25318,0,C,4000,3999,1712,42.810702675668914,424,1712,20.952,34.92,Failed - TickRuntime
formal,0,2,25318,0,D,4000,3999,2383,59.58989747436859,172,2383,20.952,34.92,Failed - TickRuntime
formal,0,2,25318,1,A,568,567,7,1.2345679012345678,6,6,100.0,100.0,Completed
formal,0,2,25318,1,B,555,554,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,25318,1,C,478,477,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,25318,1,D,4000,3999,2437,60.94023505876469,334,2437,20.952,34.92,Failed - TickRuntime
formal,0,2,25318,2,A,573,572,1,0.17482517482517482,1,1,100.0,100.0,Completed
formal,0,2,25318,2,B,558,557,28,5.026929982046679,1,26,60.0,100.0,Completed
formal,0,2,25318,2,C,477,476,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,25318,2,D,4000,3999,1402,35.0587646911728,135,1402,20.952,34.92,Failed - TickRuntime
formal,0,2,27529,0,A,542,541,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,27529,0,B,1239,1238,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,27529,0,C,465,464,0,0.0,0,0,24.0096,50.02,Failed - Agent deviated from the route
formal,0,2,27529,0,D,470,469,0,0.0,0,0,40.016,50.02,Failed - Agent deviated from the route
formal,0,2,27529,1,A,453,452,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,27529,1,B,672,671,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,27529,1,C,1639,1638,0,0.0,0,0,32.514352,51.16,Failed - Agent got blocked
formal,0,2,27529,1,D,456,455,0,0.0,0,0,40.016,50.02,Failed - Agent deviated from the route
formal,0,2,27529,2,A,471,470,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,27529,2,B,1239,1238,4,0.32310177705977383,1,4,100.0,100.0,Completed
formal,0,2,27529,2,C,531,530,10,1.8867924528301887,1,5,50.02,50.02,Failed - Agent deviated from the route
formal,0,2,27529,2,D,509,508,4,0.7874015748031495,2,0,40.016,50.02,Failed - Agent deviated from the route
formal,0,2,28154,0,A,643,642,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,0,B,649,648,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,0,C,623,622,31,4.983922829581994,7,25,36.0,100.0,Completed
formal,0,2,28154,0,D,637,636,67,10.534591194968554,4,62,36.0,100.0,Completed
formal,0,2,28154,1,A,643,642,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,1,B,651,650,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,1,C,669,668,72,10.778443113772456,6,65,36.0,100.0,Completed
formal,0,2,28154,1,D,638,637,60,9.419152276295135,5,56,36.0,100.0,Completed
formal,0,2,28154,2,A,646,645,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,2,B,653,652,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,28154,2,C,652,651,65,9.984639016897082,8,55,60.0,100.0,Completed
formal,0,2,28154,2,D,630,629,50,7.94912559618442,2,46,36.0,100.0,Completed
