source,repeat,level,route,seed,arm,ds,rc,phantom_ticks,phantom_episodes,scored_events,event_within_3s,first_linked_episode_start,first_linked_episode_end,first_linked_event_step,first_linked_event_type,linked_event_types,official_status
d2,1,1,26405,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
d2,1,1,26405,1,B,29.451353,100.0,5,1,4,True,327,331,327,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
d2,1,1,3514,1,B,100.0,100.0,56,9,0,False,,,,,,Completed
d2,1,1,3514,1,C,65.0,100.0,19,1,1,True,4,22,28,COLLISION_STATIC,COLLISION_STATIC,Completed
d2,1,2,27529,0,B,100.0,100.0,16,4,0,False,,,,,,Completed
d2,1,2,27529,0,C,24.0096,50.02,0,0,3,False,,,,,,Failed - Agent deviated from the route
d2,1,2,28154,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
d2,1,2,28154,0,C,36.0,100.0,12,4,3,True,209,211,225,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
d2,2,1,26405,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
d2,2,1,26405,1,B,23.447149,72.71,1096,33,5,True,328,356,398,COLLISION_VEHICLE,COLLISION_VEHICLE|VEHICLE_BLOCKED,Failed - Agent got blocked
d2,2,1,3514,1,B,90.918173,100.0,540,62,1,True,73,91,136,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
d2,2,1,3514,1,C,65.0,100.0,18,1,1,True,4,21,28,COLLISION_STATIC,COLLISION_STATIC,Completed
d2,2,2,27529,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
d2,2,2,27529,0,C,24.0096,50.02,0,0,3,False,,,,,,Failed - Agent deviated from the route
d2,2,2,28154,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
d2,2,2,28154,0,C,36.0,100.0,59,8,3,True,209,212,227,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,17569,0,A,100.0,100.0,19,3,0,False,,,,,,Completed
formal,0,1,17569,0,B,60.0,100.0,8,5,1,False,,,,,,Completed
formal,0,1,17569,0,C,60.0,100.0,12,1,1,False,,,,,,Completed
formal,0,1,17569,0,D,60.0,100.0,4,1,1,False,,,,,,Completed
formal,0,1,17569,1,A,100.0,100.0,1348,106,0,False,,,,,,Completed
formal,0,1,17569,1,B,100.0,100.0,60,12,0,False,,,,,,Completed
formal,0,1,17569,1,C,100.0,100.0,9,4,0,False,,,,,,Completed
formal,0,1,17569,1,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,17569,2,A,100.0,100.0,63,5,0,False,,,,,,Completed
formal,0,1,17569,2,B,60.0,100.0,2,1,1,False,,,,,,Completed
formal,0,1,17569,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,17569,2,D,100.0,100.0,20,4,0,False,,,,,,Completed
formal,0,1,2091,0,A,60.0,100.0,0,0,1,False,,,,,,Completed
formal,0,1,2091,0,B,60.0,100.0,154,11,1,True,359,370,361,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,2091,0,C,31.92,53.2,80,33,1,False,,,,,,Failed - TickRuntime
formal,0,1,2091,0,D,80.0,100.0,11,2,1,True,121,130,154,STOP_INFRACTION,STOP_INFRACTION,Completed
formal,0,1,2091,1,A,60.0,100.0,1,1,1,False,,,,,,Completed
formal,0,1,2091,1,B,60.0,100.0,18,3,1,True,322,329,373,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,2091,1,C,60.0,100.0,41,8,1,True,432,434,463,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,2091,1,D,60.0,100.0,30,5,1,False,,,,,,Completed
formal,0,1,2091,2,A,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,1,2091,2,B,23.94,39.9,1057,14,1,True,340,342,369,COLLISION_VEHICLE,COLLISION_VEHICLE,Failed - TickRuntime
formal,0,1,2091,2,C,100.0,100.0,31,10,0,False,,,,,,Completed
formal,0,1,2091,2,D,60.0,100.0,74,8,1,True,1849,1852,1894,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,25378,0,A,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,0,B,70.0,100.0,0,0,1,False,,,,,,Completed
formal,0,1,25378,0,C,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,0,D,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,1,A,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,1,B,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,1,C,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,1,D,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,2,A,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,2,B,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,2,C,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25378,2,D,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,0,A,100.0,100.0,3,1,0,False,,,,,,Completed
formal,0,1,25381,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,0,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,0,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,1,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,1,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,2,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25381,2,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,25424,0,A,100.0,100.0,19,3,0,False,,,,,,Completed
formal,0,1,25424,0,B,100.0,100.0,111,57,0,False,,,,,,Completed
formal,0,1,25424,0,C,92.45708,100.0,0,0,1,False,,,,,,Completed
formal,0,1,25424,0,D,58.86863,100.0,854,118,2,True,155,155,210,OUTSIDE_ROUTE_LANES_INFRACTION,COLLISION_VEHICLE|OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,25424,1,A,96.228568,100.0,2,1,1,False,,,,,,Completed
formal,0,1,25424,1,B,100.0,100.0,819,135,0,False,,,,,,Completed
formal,0,1,25424,1,C,98.114381,100.0,17,3,1,True,155,156,211,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,25424,1,D,58.86863,100.0,30,10,2,True,155,155,210,OUTSIDE_ROUTE_LANES_INFRACTION,COLLISION_VEHICLE|OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,25424,2,A,100.0,100.0,13,2,0,False,,,,,,Completed
formal,0,1,25424,2,B,100.0,100.0,900,150,0,False,,,,,,Completed
formal,0,1,25424,2,C,92.45708,100.0,9,2,1,True,156,159,198,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,25424,2,D,97.171467,100.0,16,4,1,True,155,155,208,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,26405,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,0,B,23.447149,72.71,550,58,5,True,1507,1535,1587,VEHICLE_BLOCKED,VEHICLE_BLOCKED,Failed - Agent got blocked
formal,0,1,26405,0,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,0,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,1,B,6.597245,100.0,66,1,7,True,329,394,376,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,26405,1,C,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,1,26405,1,D,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,1,26405,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,2,B,23.447149,72.71,1211,4,5,True,351,357,412,COLLISION_VEHICLE,COLLISION_VEHICLE|VEHICLE_BLOCKED,Failed - Agent got blocked
formal,0,1,26405,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,26405,2,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,27494,0,A,100.0,100.0,24,2,0,False,,,,,,Completed
formal,0,1,27494,0,B,100.0,100.0,54,7,0,False,,,,,,Completed
formal,0,1,27494,0,C,60.0,100.0,5,1,1,True,188,192,212,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,27494,0,D,100.0,100.0,4,2,0,False,,,,,,Completed
formal,0,1,27494,1,A,100.0,100.0,124,19,0,False,,,,,,Completed
formal,0,1,27494,1,B,100.0,100.0,176,2,0,False,,,,,,Completed
formal,0,1,27494,1,C,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,1,27494,1,D,100.0,100.0,2,1,0,False,,,,,,Completed
formal,0,1,27494,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,27494,2,B,100.0,100.0,175,7,0,False,,,,,,Completed
formal,0,1,27494,2,C,100.0,100.0,2,1,0,False,,,,,,Completed
formal,0,1,27494,2,D,60.0,100.0,12,2,1,True,231,240,268,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,28198,0,A,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,1,28198,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
