source,repeat,level,route,seed,arm,eligible_ticks,frozen_phantom_ticks,rule_a_phantom_ticks,rule_b_phantom_ticks
formal,0,1r,26405,0,A,31,0,0,0
formal,0,1r,27494,0,A,201,117,0,0
formal,0,1r,28198,0,A,65,0,0,0
formal,0,1r,3255,0,A,280,0,0,0
formal,0,1r,3514,0,A,90,62,0,2
formal,0,2,2050,0,A,31,1,0,0
formal,0,2,2050,0,B,17,1,0,0
formal,0,2,2050,0,C,49,1,0,0
formal,0,2,2050,0,D,42,1,0,0
formal,0,2,2050,1,A,83,9,0,0
formal,0,2,2050,1,B,18,0,0,0
formal,0,2,2050,1,C,43,0,0,0
formal,0,2,2050,1,D,45,10,0,2
formal,0,2,2050,2,A,81,31,0,0
formal,0,2,2050,2,B,22,1,0,0
formal,0,2,2050,2,C,50,0,0,0
formal,0,2,2050,2,D,51,6,0,2
formal,0,2,2084,0,A,182,0,0,0
formal,0,2,2084,0,B,211,11,0,2
formal,0,2,2084,0,C,56,27,0,8
formal,0,2,2084,0,D,199,3,0,1
formal,0,2,2084,1,A,171,2,0,0
formal,0,2,2084,1,B,270,15,0,2
formal,0,2,2084,1,C,3793,198,0,4
formal,0,2,2084,1,D,53,17,0,3
formal,0,2,2084,2,A,171,0,0,0
formal,0,2,2084,2,B,227,0,0,0
formal,0,2,2084,2,C,218,17,0,5
formal,0,2,2084,2,D,203,2,0,0
formal,0,2,25318,0,A,34,5,0,1
formal,0,2,25318,0,B,48,0,0,0
formal,0,2,25318,0,C,1825,1712,0,864
formal,0,2,25318,0,D,3447,2383,0,618
formal,0,2,25318,1,A,76,7,0,1
formal,0,2,25318,1,B,38,0,0,0
formal,0,2,25318,1,C,18,0,0,0
formal,0,2,25318,1,D,2618,2437,0,1087
formal,0,2,25318,2,A,67,1,0,0
formal,0,2,25318,2,B,66,28,0,8
formal,0,2,25318,2,C,18,0,0,0
formal,0,2,25318,2,D,1659,1402,0,491
formal,0,2,27529,0,A,279,0,0,0
formal,0,2,27529,0,B,843,0,0,0
formal,0,2,27529,0,C,211,0,0,0
formal,0,2,27529,0,D,214,0,0,0
formal,0,2,27529,1,A,189,0,0,0
formal,0,2,27529,1,B,339,0,0,0
formal,0,2,27529,1,C,216,0,0,0
formal,0,2,27529,1,D,206,0,0,0
formal,0,2,27529,2,A,193,0,0,0
formal,0,2,27529,2,B,837,4,0,3
formal,0,2,27529,2,C,252,10,0,2
formal,0,2,27529,2,D,225,4,0,4
formal,0,2,28154,0,A,117,0,0,0
formal,0,2,28154,0,B,76,0,0,0
formal,0,2,28154,0,C,86,31,0,4
formal,0,2,28154,0,D,101,67,0,10
formal,0,2,28154,1,A,118,0,0,0
formal,0,2,28154,1,B,82,0,0,0
formal,0,2,28154,1,C,118,72,0,9
formal,0,2,28154,1,D,89,60,0,38
formal,0,2,28154,2,A,112,0,0,0
formal,0,2,28154,2,B,75,0,0,0
formal,0,2,28154,2,C,102,65,0,4
formal,0,2,28154,2,D,89,50,0,6
formal,0,2,3072,0,A,12,0,0,0
formal,0,2,3072,0,B,11,0,0,0
formal,0,2,3072,0,C,19,0,0,0
formal,0,2,3072,0,D,19,0,0,0
formal,0,2,3072,1,A,12,0,0,0
formal,0,2,3072,1,B,11,0,0,0
formal,0,2,3072,1,C,19,0,0,0
formal,0,2,3072,1,D,19,0,0,0
formal,0,2,3072,2,A,12,0,0,0
formal,0,2,3072,2,B,11,0,0,0
formal,0,2,3072,2,C,19,0,0,0
formal,0,2,3072,2,D,19,0,0,0
