source,selection,metric,n,p10,median,p90,p99,min,max
formal,all,theta0_deg,151943,-49.253698048792174,0.0,83.9163269705254,89.94901561665942,-95.43986922848536,96.02719125574464
formal,all,theta1_deg,151943,-10.350876319186789,0.00921123748229721,12.75085465356823,88.82306563050169,-95.43986922848536,96.02719125574464
formal,all,theta2_deg,151943,-8.634372632732427,0.020284245929917125,14.22011097603768,88.30261550176824,-178.29397460239375,178.54473793889696
formal,all,abs_theta0_deg,151943,0.0,0.40543542341165484,87.67768643257686,94.45213380268248,0.0,96.02719125574464
formal,all,abs_theta1_deg,151943,0.0,0.8100998869162781,84.73399754534037,94.45180555751068,0.0,96.02719125574464
formal,all,abs_theta2_deg,151943,0.0,1.0962961382920429,30.65489213018432,94.44872906462004,0.0,178.54473793889696
formal,all,r0_x_m,151943,0.00390625,1.3152448699784174,1.9791964306391097,2.7135422735370653,-0.0061848959885537624,3.7708340360332366
formal,all,r0_y_m,151943,-0.9747440007640015,-3.306071084807627e-05,0.7264457271572372,1.213443319071764,-1.3385660473904413,1.3366770804379213
formal,all,r0_norm_m,151943,0.007094151233695495,1.5104180118967163,1.9802764826887307,2.718538847684734,0.0,3.770834624993728
formal,all,rear_first_mps,151943,0.02837660493478198,6.041672047586865,7.921105930754923,10.874155390738936,0.0,15.083338499974912
formal,all,direct_first_mps,151943,0.02837660493478198,1.9062521127880614,7.927305093929974,10.885682330847782,0.0,15.083339873816834
formal,all,first_speed_excess_mps,151943,-0.00010481415328467135,0.0,5.607635519914846,6.892407105132142,-0.32807990027001654,7.769875553984654
formal,all,p0_norm_m,151943,0.007094151233695495,0.47656302819701535,1.9818262734824934,2.7214205827119455,0.0,3.7708349684542086
formal,phantom,theta0_deg,20913,-86.70593724434443,50.68002978779304,88.17692950172648,91.00504899501914,-95.43986922848536,94.48136474088565
formal,phantom,theta1_deg,20913,-86.42595659244948,4.603577905320804,87.43630580664478,90.58316648223064,-95.43986922848536,94.48136474088565
formal,phantom,theta2_deg,20913,-73.25372417200502,5.219797368597468,85.37750559469667,90.53222154655984,-95.43986922848536,94.48136474088565
formal,phantom,abs_theta0_deg,20913,30.430034177534104,79.89504377051274,89.19631814473087,94.71439577319654,12.41605339802817,95.43986922848536
formal,phantom,abs_theta1_deg,20913,0.4870228958329662,8.648101204481874,88.62058068467472,94.71439577319654,0.0,95.43986922848536
