source,repeat,level,route,seed,arm,speed_band,valid_ticks,phantom_ticks
d2,1,1,26405,1,A,<0.5,26,0
d2,1,1,26405,1,A,0.5-3,31,0
d2,1,1,26405,1,A,3-8,89,0
d2,1,1,26405,1,A,>=8,246,0
d2,1,1,26405,1,B,<0.5,30,1
d2,1,1,26405,1,B,0.5-3,62,4
d2,1,1,26405,1,B,3-8,251,0
d2,1,1,26405,1,B,>=8,122,0
d2,1,1,3514,1,B,<0.5,90,56
d2,1,1,3514,1,B,0.5-3,9,0
d2,1,1,3514,1,B,3-8,454,0
d2,1,1,3514,1,B,>=8,0,0
d2,1,1,3514,1,C,<0.5,88,14
d2,1,1,3514,1,C,0.5-3,28,5
d2,1,1,3514,1,C,3-8,401,0
d2,1,1,3514,1,C,>=8,0,0
d2,1,2,27529,0,B,<0.5,254,15
d2,1,2,27529,0,B,0.5-3,158,1
d2,1,2,27529,0,B,3-8,210,0
d2,1,2,27529,0,B,>=8,0,0
d2,1,2,27529,0,C,<0.5,209,0
d2,1,2,27529,0,C,0.5-3,50,0
d2,1,2,27529,0,C,3-8,205,0
d2,1,2,27529,0,C,>=8,0,0
d2,1,2,28154,0,B,<0.5,88,0
d2,1,2,28154,0,B,0.5-3,52,0
d2,1,2,28154,0,B,3-8,498,0
d2,1,2,28154,0,B,>=8,8,0
d2,1,2,28154,0,C,<0.5,89,8
d2,1,2,28154,0,C,0.5-3,71,4
d2,1,2,28154,0,C,3-8,409,0
d2,1,2,28154,0,C,>=8,59,0
d2,2,1,26405,1,A,<0.5,17,0
d2,2,1,26405,1,A,0.5-3,29,0
d2,2,1,26405,1,A,3-8,125,0
d2,2,1,26405,1,A,>=8,210,0
d2,2,1,26405,1,B,<0.5,1295,1095
d2,2,1,26405,1,B,0.5-3,45,1
d2,2,1,26405,1,B,3-8,147,0
d2,2,1,26405,1,B,>=8,110,0
d2,2,1,3514,1,B,<0.5,1856,532
d2,2,1,3514,1,B,0.5-3,61,8
d2,2,1,3514,1,B,3-8,417,0
d2,2,1,3514,1,B,>=8,3,0
d2,2,1,3514,1,C,<0.5,86,14
d2,2,1,3514,1,C,0.5-3,28,4
d2,2,1,3514,1,C,3-8,401,0
d2,2,1,3514,1,C,>=8,0,0
d2,2,2,27529,0,B,<0.5,212,0
d2,2,2,27529,0,B,0.5-3,121,0
d2,2,2,27529,0,B,3-8,215,0
d2,2,2,27529,0,B,>=8,0,0
d2,2,2,27529,0,C,<0.5,207,0
d2,2,2,27529,0,C,0.5-3,52,0
d2,2,2,27529,0,C,3-8,207,0
d2,2,2,27529,0,C,>=8,0,0
d2,2,2,28154,0,B,<0.5,89,0
d2,2,2,28154,0,B,0.5-3,52,0
d2,2,2,28154,0,B,3-8,506,0
d2,2,2,28154,0,B,>=8,8,0
d2,2,2,28154,0,C,<0.5,85,54
d2,2,2,28154,0,C,0.5-3,70,5
d2,2,2,28154,0,C,3-8,394,0
d2,2,2,28154,0,C,>=8,63,0
formal,0,1,17569,0,A,<0.5,68,18
formal,0,1,17569,0,A,0.5-3,62,1
formal,0,1,17569,0,A,3-8,203,0
formal,0,1,17569,0,A,>=8,105,0
formal,0,1,17569,0,B,<0.5,102,7
formal,0,1,17569,0,B,0.5-3,95,1
