label,n,group,axis
keep,721,pre_onset,log_long
accelerate,355,pre_onset,log_long
slow,346,pre_onset,log_long
stop,36,pre_onset,log_long
turn_right,571,pre_onset,log_lat
turn_left,369,pre_onset,log_lat
lane_change_right,247,pre_onset,log_lat
lane_change_left,146,pre_onset,log_lat
nudge_left,58,pre_onset,log_lat
nudge_right,44,pre_onset,log_lat
keep_lane,23,pre_onset,log_lat
right,862,pre_onset,log_lat3
left,573,pre_onset,log_lat3
keep,23,pre_onset,log_lat3
keep,808,straight_yaw,log_long
accelerate,280,straight_yaw,log_long
slow,199,straight_yaw,log_long
stop,171,straight_yaw,log_long
keep_lane,1194,straight_yaw,log_lat
nudge_right,116,straight_yaw,log_lat
nudge_left,95,straight_yaw,log_lat
lane_change_right,21,straight_yaw,log_lat
turn_right,16,straight_yaw,log_lat
lane_change_left,12,straight_yaw,log_lat
turn_left,4,straight_yaw,log_lat
keep,1194,straight_yaw,log_lat3
right,153,straight_yaw,log_lat3
left,111,straight_yaw,log_lat3
keep,201,turn_yaw,log_long
accelerate,138,turn_yaw,log_long
stop,38,turn_yaw,log_long
slow,23,turn_yaw,log_long
turn_right,135,turn_yaw,log_lat
lane_change_right,73,turn_yaw,log_lat
turn_left,70,turn_yaw,log_lat
lane_change_left,44,turn_yaw,log_lat
keep_lane,39,turn_yaw,log_lat
nudge_right,21,turn_yaw,log_lat
nudge_left,18,turn_yaw,log_lat
right,229,turn_yaw,log_lat3
left,132,turn_yaw,log_lat3
keep,39,turn_yaw,log_lat3
keep,182,rater,log_long
stop,130,rater,log_long
accelerate,104,rater,log_long
slow,62,rater,log_long
keep_lane,288,rater,log_lat
nudge_left,44,rater,log_lat
lane_change_right,40,rater,log_lat
turn_right,32,rater,log_lat
nudge_right,32,rater,log_lat
lane_change_left,22,rater,log_lat
turn_left,20,rater,log_lat
keep,288,rater,log_lat3
right,104,rater,log_lat3
left,86,rater,log_lat3
