group,axis,vlm,best_baseline,baseline_acc,vlm_acc,delta,d_lo,d_hi
turn_yaw,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.655,0.465,-0.19,-0.26137764293163934,-0.11608205937338407
turn_yaw,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.655,0.47,-0.185,-0.2519706612015964,-0.11804963724106236
turn_yaw,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.655,0.465,-0.19,-0.2506211572475364,-0.1300173244545504
turn_yaw,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",,,,,
turn_yaw,lat3,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.805,0.6275,-0.1775,-0.2584541062801932,-0.10189176554984536
turn_yaw,lat3,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.805,0.655,-0.15,-0.231775683578582,-0.07853270594472794
turn_yaw,lat3,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.805,0.6575,-0.1475,-0.2292678857666263,-0.07597482174688057
turn_yaw,lat3,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",,,,,
turn_yaw,lat,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.595,0.5675,-0.0275,-0.052635050687404525,-0.007024131017132426
turn_yaw,lat,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.595,0.595,0.0,0.0,0.0
turn_yaw,lat,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.595,0.595,0.0,0.0,0.0
turn_yaw,lat,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),,,,,
turn_yaw,joint,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.5675,0.295,-0.2725,-0.3508771929824561,-0.19678285726252312
turn_yaw,joint,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.5675,0.2775,-0.29,-0.36149770520568036,-0.22632668026499891
turn_yaw,joint,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.5675,0.3,-0.2675,-0.32844680931498565,-0.20689445423273764
turn_yaw,joint,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",,,,,
rater,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.5439330543933054,0.45188284518828453,-0.09205020920502092,-0.14196984652475084,-0.0397489539748954
rater,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.5439330543933054,0.38284518828451886,-0.16108786610878661,-0.21340030525512488,-0.11083206143697977
rater,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.5439330543933054,0.5083682008368201,-0.03556485355648536,-0.07970844658027074,0.012604602510460203
rater,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",0.6666666666666666,0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.0
rater,lat3,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.6694560669456067,0.6548117154811716,-0.014644351464435146,-0.02929023797619361,-0.0020920502092050207
rater,lat3,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.6694560669456067,0.6506276150627615,-0.01882845188284519,-0.033542976939203356,-0.0041841004184100415
