row,n,ade64,ade64_lo,ade64_hi,ade40,ade40_lo,ade40_hi,ade30,ade30_lo,ade30_hi,fde64,fde64_lo,fde64_hi,d_ade64_vs_alp,d_lo,d_hi,median_ade64
openpilot small,31,2.8597885881416336,2.1977232974263794,3.6003695918286565,1.4060548626103355,1.0381574534564788,1.8342413668673347,0.9505356409606744,0.6841914805502926,1.2744399272678784,7.349268566064063,5.494236127911833,9.466834922085743,1.0933905420556118,0.4368801766147989,1.8119434146622146,2.4763103127101167
openpilot cinque,31,2.5891505807218738,1.9302067292310088,3.335921651886569,1.354333470718336,0.9946905959196589,1.771949838786014,0.9291925293940352,0.6646224459044399,1.2359942292733073,6.37822705583254,4.481116014201397,8.597232991910937,0.8227525346358513,0.14594727696866786,1.584472224169544,1.8674598134474691
openpilot lebowski,31,2.3489147693012047,1.7425791274130087,3.025953924386129,1.275724950659474,0.9383341329813748,1.671381023882959,0.8940277327650332,0.6426924158362043,1.1905397289315593,5.727669170851247,4.15263872488319,7.39768944610864,0.5825167232151837,0.030264948979339443,1.2238955059662144,1.840424066142813
"cv (straight, current speed)",31,4.629436256102086,3.6404154768901598,5.6759280370993315,1.9353008611958213,1.5141641788572013,2.36441868199477,1.1449052437066145,0.8935237730619303,1.3954903719146055,13.061363566817125,10.097883136927454,16.259243146675036,2.863038210016066,1.772705498142269,3.9935019677863535,4.322191909478336
"Alpamayo 1.5, one sample (mean of 6)",31,1.7663980460860216,1.4742955180862902,2.087733454005376,0.7343347957354839,0.5903236295696774,0.8832886000382795,,,,,,,0.0,0.0,0.0,1.6785930916666667
"Alpamayo 1.5, ORACLE minADE_6",31,0.7192732532903227,0.5164434384177418,0.9639639587919354,0.3078161203806451,0.2010099791753226,0.4319743382182258,,,,,,,-1.047124792795699,-1.2694651379274196,-0.8604579213817206,0.6249832
