detector,placement,gate,p5_ped_0-10,p5_ped_10-20,p5_ped_20-40,p5_ped_le40,nusc_ped_0-10,nusc_ped_10-20,nusc_ped_20-40,nusc_ped_le40,p5_haz_ped_all,p5_haz_ped_le20,p5_haz_ped_le20_bev_med,nusc_ped_prec,p5_veh_le40,nusc_veh_le40,p5_ped_img_0-10,p5_ped_img_10-20,p5_ped_img_20-40,nusc_ped_img_0-10,nusc_ped_img_10-20,nusc_ped_img_20-40
sam31-orig,flat,fixed2m,0.9012,0.6816,0.1095,0.4818,0.6526,0.4368,0.1481,0.3293,0.4830,0.8802,0.4647,0.3315,0.5401,0.3642,0.9095,0.7959,0.5758,0.6573,0.6012,0.5649
sam31-orig,unidepth,fixed2m,0.8583,0.7172,0.4079,0.6164,0.8521,0.7799,0.4455,0.6339,0.6887,0.9290,0.6056,0.5344,0.4619,0.5318,0.9095,0.7959,0.5758,0.6573,0.6012,0.5649
yolo26x-640,flat,fixed2m,0.9012,0.7060,0.1071,0.4856,0.6737,0.4409,0.1695,0.3434,0.4855,0.8897,0.4440,0.3298,0.6063,0.3826,0.9095,0.7884,0.4590,0.7418,0.6617,0.6059
yolo26x-640,unidepth,fixed2m,0.8548,0.7266,0.3195,0.5754,0.9413,0.8213,0.4590,0.6682,0.6361,0.9311,0.6036,0.5593,0.4574,0.4974,0.9095,0.7884,0.4590,0.7418,0.6617,0.6059
sam31-orig,flat,gate,0.9012,0.6816,0.1265,0.4898,0.6526,0.4368,0.2062,0.3562,0.4920,0.8802,0.4647,0.3767,0.6755,0.4266,0.9095,0.7959,0.5758,0.6573,0.6012,0.5649
sam31-orig,unidepth,gate,0.8583,0.7172,0.4891,0.6548,0.8521,0.7806,0.5606,0.6874,0.7302,0.9290,0.6056,0.6230,0.5673,0.6431,0.9095,0.7959,0.5758,0.6573,0.6012,0.5649
yolo26x-640,flat,gate,0.9012,0.7060,0.1306,0.4967,0.6737,0.4409,0.2191,0.3664,0.4965,0.8897,0.4440,0.3649,0.6997,0.4467,0.9095,0.7884,0.4590,0.7418,0.6617,0.6059
yolo26x-640,unidepth,gate,0.8548,0.7266,0.3974,0.6122,0.9413,0.8213,0.5741,0.7214,0.6752,0.9311,0.6036,0.6323,0.5646,0.6072,0.9095,0.7884,0.4590,0.7418,0.6617,0.6059
