tag,dataset,cls,flat_bin,n,ratio_median
yolo26x-640-da3,p5,pedestrian,0-10 m,864,0.9078567204557231
yolo26x-640-da3,p5,pedestrian,10-20 m,526,0.902082735268921
yolo26x-640-da3,p5,pedestrian,20-40 m,644,0.8445231100618045
yolo26x-640-da3,p5,pedestrian,40-80 m,98,0.6048306369354112
yolo26x-640-da3,p5,vehicle,0-10 m,2665,0.8357656385486076
yolo26x-640-da3,p5,vehicle,10-20 m,3913,0.9068092779263963
yolo26x-640-da3,p5,vehicle,20-40 m,7131,0.8942253443590084
yolo26x-640-da3,p5,vehicle,40-80 m,5099,0.8799464477551182
yolo26x-640-da3,nusc,pedestrian,0-10 m,413,0.9997160832460084
yolo26x-640-da3,nusc,pedestrian,10-20 m,1470,0.9619922351602929
yolo26x-640-da3,nusc,pedestrian,20-40 m,1887,0.8654718796101472
yolo26x-640-da3,nusc,pedestrian,40-80 m,954,0.6358543864338861
yolo26x-640-da3,nusc,vehicle,0-10 m,1513,0.980014104103691
yolo26x-640-da3,nusc,vehicle,10-20 m,3007,1.0292384849521732
yolo26x-640-da3,nusc,vehicle,20-40 m,5456,0.9841078316960877
yolo26x-640-da3,nusc,vehicle,40-80 m,5077,0.7856921568875542
sam31-orig-da3,p5,pedestrian,0-10 m,875,0.9056968727765847
sam31-orig-da3,p5,pedestrian,10-20 m,541,0.8986464272645659
sam31-orig-da3,p5,pedestrian,20-40 m,670,0.842554988520738
sam31-orig-da3,p5,pedestrian,40-80 m,164,0.8540892411221651
sam31-orig-da3,p5,vehicle,0-10 m,2626,0.8218420780243412
sam31-orig-da3,p5,vehicle,10-20 m,3862,0.8984287092234164
sam31-orig-da3,p5,vehicle,20-40 m,7030,0.8779103451153414
sam31-orig-da3,p5,vehicle,40-80 m,5762,0.8553519170206598
sam31-orig-da3,nusc,pedestrian,0-10 m,347,1.0089825936326204
sam31-orig-da3,nusc,pedestrian,10-20 m,1354,0.9711987433632054
sam31-orig-da3,nusc,pedestrian,20-40 m,1683,0.9007280599500542
sam31-orig-da3,nusc,pedestrian,40-80 m,1063,0.6748633251528724
sam31-orig-da3,nusc,vehicle,0-10 m,1443,0.9525792296375533
sam31-orig-da3,nusc,vehicle,10-20 m,2913,1.0103291705159838
sam31-orig-da3,nusc,vehicle,20-40 m,5467,0.9684534509416333
sam31-orig-da3,nusc,vehicle,40-80 m,6237,0.7573820934723375
