route,variant,segment,band,n,invalid_course_count,low_speed_count,frozen_body_error_deg_n,frozen_body_error_deg_mean,frozen_body_error_deg_rms,frozen_body_error_deg_p95_abs,course_error_on_current_reference_deg_n,course_error_on_current_reference_deg_mean,course_error_on_current_reference_deg_rms,course_error_on_current_reference_deg_p95_abs,midpoint_body_error_deg_n,midpoint_body_error_deg_mean,midpoint_body_error_deg_rms,midpoint_body_error_deg_p95_abs,midpoint_course_error_deg_n,midpoint_course_error_deg_mean,midpoint_course_error_deg_rms,midpoint_course_error_deg_p95_abs,body_minus_course_deg_n,body_minus_course_deg_mean,body_minus_course_deg_rms,body_minus_course_deg_p95_abs,residual_model_prediction_offset_deg_n,residual_model_prediction_offset_deg_mean,residual_model_prediction_offset_deg_rms,residual_model_prediction_offset_deg_p95_abs,no_lateral_model_minus_rear_right_mps_n,no_lateral_model_minus_rear_right_mps_mean,no_lateral_model_minus_rear_right_mps_rms,no_lateral_model_minus_rear_right_mps_p95_abs,fixed_k_predicted_residual_mps_n,fixed_k_predicted_residual_mps_mean,fixed_k_predicted_residual_mps_rms,fixed_k_predicted_residual_mps_p95_abs,fixed_k_residual_rms_mps,fixed_k_sign_agreement
26966,baseline-zero,1,window,70,0,0,70,0.9986008937070903,2.600599154937234,4.271546829218098,70,-1.8384786424414836,4.431391112752809,8.664241814741565,70,0.9649273726401331,2.5803882943733307,4.220831293885178,70,-1.201288960868452,3.7733553604450703,7.177660928813083,70,2.1662163335085847,2.8277723698537596,4.792321372088553,70,2.2444841890144356,2.931107177666717,4.985606369422288,70,0.29633694369210717,0.38631357016002976,0.6525494044670243,70,0.3068769038525278,0.4001499604465581,0.6768668640807164,0.02396354085036778,0.9428571428571428
26966,baseline-zero,1,entry,13,0,0,13,0.17186681974246124,0.18975364927429147,0.3161827507216518,13,0.24186941711417267,0.2828272687235266,0.5254022450700478,13,0.1881214422178543,0.20974903042475807,0.3687102929857516,13,0.24186785391123417,0.2828276642274563,0.5254082724415792,13,-0.05374641169337792,0.09188386269643901,0.15925548578511936,13,-0.0537168076103502,0.09691457806553315,0.17045861894115574,13,-0.007193161330672826,0.012305601434759809,0.021302291622183396,13,-0.007197652548510956,0.012993738290254712,0.022781565942055024,0.004412740586546394,0.9230769230769231
26966,baseline-zero,1,pad_before_core,13,0,0,13,-0.3079426902874941,0.33758052442833103,0.4598923987929809,13,-0.2819540053086364,0.40450189919958834,0.7810210570310027,13,-0.27680255685377353,0.31026567684035317,0.4222883608703681,13,-0.2457027644154896,0.334900592868508,0.6107740453729987,13,-0.031099792438291776,0.1245690020385217,0.2123430011933129,13,0.007530430191551418,0.193645293145001,0.39160717767232417,13,-0.004198043389957486,0.01694189525942057,0.028868648341031797,13,0.0010676941709520105,0.026367559635501886,0.05337870127989741,0.011678233185480433,0.7692307692307693
26966,baseline-zero,1,core,45,0,0,45,0.5888758056021253,2.512477667998533,4.327016326706244,45,-3.764193268170921,5.178435725098802,8.776244422268944,45,0.5201237968944163,2.469863511601689,4.2987246961330055,45,-2.8000667905632173,4.2806525730246,7.273634987152347,45,3.320190587457634,3.5184856084214404,4.809136061167338,45,3.4532083893918113,3.648629568033427,4.9866573389240045,45,0.4540191911109706,0.4806304573231765,0.6548797153649322,45,0.4720192151783235,0.4980725229208404,0.6793710438714545,0.028501483117797925,1.0
26966,baseline-zero,1,exit,12,0,0,12,3.95049219009484,3.9567679165097864,4.138412393597735,12,3.696716180483318,3.7165169089587047,4.065529344016413,12,3.9781482053049686,3.9825312380175966,4.128334450188097,12,3.7589095209962076,3.7709116686068596,4.0655293440163325,12,0.21923868430876425,0.4519116504725019,0.8642469620034835,12,0.1351350096574004,0.3923616508677424,0.7268656233939724,12,0.03060808521027227,0.06303914781676219,0.12061584057332801,12,0.01888654686916796,0.05471929776072886,0.10144030241658333,0.012481924650015066,0.9166666666666666
26966,baseline-zero,1,post10m,26,0,0,26,1.3373784411388554,1.5538224888580154,2.930095643615515,26,1.5412156306327205,1.8261355138827884,3.376959021750323,26,1.381159984725578,1.6145787181200477,3.038571239328051,26,1.5412156254809668,1.826134382950227,3.3769590217501895,26,-0.16005564075538878,0.2545964914266831,0.38894124027048016,26,-0.15223042356751817,0.26371813802777383,0.4073330128432973,26,-0.022291135145552195,0.03546232780758188,0.05419649133636535,26,-0.02119849094238185,0.036730749450192834,0.05674655099356485,0.004720949343533183,0.9615384615384616
26966,candidate-fixed-k,1,window,70,0,0,70,1.644473916420089,3.16034107600202,5.449550739360296,70,-1.1860420711995938,4.308265181833396,8.154537066825824,70,1.6135159009227111,3.1395304175736127,5.394687266807702,70,-0.5489212486210632,3.755146729233307,6.6716370678405195,70,2.1624371495437757,2.8841830217421185,4.921166557835769,70,2.2342388753865934,2.986885568479934,5.123274386428025,70,0.2955872828884945,0.39378344663187576,0.6706169527356857,70,0.3052163713351552,0.4075078730632903,0.6942425913960414,0.024600147084905283,0.9428571428571428
26966,candidate-fixed-k,1,entry,13,0,0,13,0.12743674550314765,0.15613328691032008,0.29606404069551817,13,0.20488016515921342,0.25912774044120446,0.5098896162694478,13,0.14538744226352532,0.17850267858613733,0.34963223722269765,13,0.20487860314930004,0.2591286756655592,0.5098956484899867,13,-0.059491160885780506,0.09405712942908127,0.1621468319069382,13,-0.05934659200443648,0.09863962563648368,0.17367956784987368,13,-0.007964859696932504,0.012595655380287913,0.02168924914892325,13,-0.007953055922913364,0.013222513848118586,0.023212014869615414,0.004208814493628892,0.9230769230769231
26966,candidate-fixed-k,1,pad_before_core,13,0,0,13,-0.36096872689764636,0.3855394979503256,0.5085067599478478,13,-0.33739221503949535,0.44275093815967786,0.8309524450139057,13,-0.33035990114534,0.35774695942293083,0.4735036335813319,13,-0.3011619927089217,0.3754127320358119,0.660812849745399,13,-0.029197908436416335,0.12390496841481428,0.21138496650152538,13,0.009238236082982947,0.19380847773573384,0.3937645729758425,13,-0.003939662422641611,0.016852772671572886,0.028739788189436913,13,0.0012996561772363304,0.026391088585857227,0.053673238245748364,0.011714613763424012,0.7692307692307693
26966,candidate-fixed-k,1,core,45,0,0,45,1.5044430313883481,3.2153765521256896,5.556238156572905,45,-2.9145999850402973,4.8665108234226295,8.253471275927973,45,1.4214961348789907,3.1512208926792873,5.505813143552342,45,-1.9501308965481965,4.076662214124104,6.734104847608156,45,3.371627031427187,3.5892128576521127,4.948472336921711,45,3.5009636656937264,3.7172667176831653,5.131493030173779,45,0.4608367781278378,0.4900011661986458,0.6739786229065976,45,0.4783077208552598,0.5071186008677204,0.6973204891027285,0.028902124664538467,1.0
