row,n,rfs,rfs_frame,ade5_rater,lon5_bias,lon5_bias_moving,d_rfs_frame,d_lo,d_hi
op_cinque@base,479,8.004841407343838,7.941643611482611,2.4600062370300293,0.8548562526702881,2.0763516426086426,0.0,0.0,0.0
op_cinque@front-only,479,7.980566614830572,7.9241586232590535,2.4419002532958984,0.9592458009719849,2.6903748512268066,-0.017484988223557804,-0.09064502884191748,0.05875782644295635
op_cinque@h1.52,479,8.050193442732297,7.985034654592122,2.6940016746520996,2.684490203857422,5.634486198425293,0.04339104310951117,-0.08636300363867976,0.17487270010217476
op_lebowski@base,479,7.886014214238918,7.804739978231672,2.6735005378723145,0.28524839878082275,0.6366865634918213,0.0,0.0,0.0
op_lebowski@front-only,479,7.8581517272011965,7.821641123644514,2.7241744995117188,-0.04176689684391022,0.30025991797447205,0.016901145412841607,-0.054459573375263325,0.08808456366526714
op_lebowski@h0.92,479,6.364107446616758,6.307997568394176,4.9121174812316895,8.041579246520996,16.154918670654297,-1.4967424098374973,-1.727336283379356,-1.2641474488981188
op_lebowski@h1.22,479,7.40311130891958,7.356170080788749,3.394819498062134,4.484499931335449,8.532790184020996,-0.44856989744292464,-0.660768495240269,-0.24183839492652787
op_lebowski@h1.52,479,7.993261790859881,7.95237562412619,2.7009456157684326,2.377272367477417,4.753791332244873,0.14763564589451653,0.009545884614521771,0.294768982047286
