group,variant,model,n,lat@2s,lon@2s,lat@4s,lon@4s,curv_mae,curv_r,d_lat@2s,d_lat@2s_segmin,d_lat@2s_segmax,d_lon@2s,d_lon@2s_segmin,d_lon@2s_segmax,d_lat@4s,d_lat@4s_segmin,d_lat@4s_segmax
single camera,fisheye180-720p,cinque,8800,0.1726,0.8619,0.7733,2.6456,0.0011,0.9782,0.009,-0.0069,0.0316,0.0046,-0.3124,0.3411,0.0593,-0.0593,0.2942
single camera,fisheye180-720p,lebowski,4400,0.2353,1.1749,1.1812,3.5837,0.0015,0.9927,0.0225,-0.0064,0.0563,0.096,0.0089,0.1939,0.1018,0.0022,0.3051
dataset rigs,nuplan-f0,small,4400,0.3716,1.793,1.681,5.1243,0.0015,0.9923,-0.0066,-0.0232,0.0107,0.0183,-0.0042,0.0403,-0.0154,-0.0517,0.0447
dataset rigs,nuplan-f0,cinque,8800,0.1634,0.8562,0.713,2.5725,0.0011,0.9786,-0.0002,-0.0041,0.0022,-0.0012,-0.2116,0.2295,-0.001,-0.0214,0.0301
dataset rigs,nuplan-f0,lebowski,4400,0.2117,1.0652,1.0744,3.444,0.0014,0.9936,-0.0011,-0.0035,0.0009,-0.0136,-0.0472,0.0048,-0.005,-0.0226,0.0179
dataset rigs,nuplan-l0f0r0,small,4400,0.3716,1.7929,1.681,5.1242,0.0015,0.9923,-0.0066,-0.0235,0.0106,0.0182,-0.0042,0.0402,-0.0155,-0.0522,0.0444
dataset rigs,nuplan-l0f0r0,cinque,8800,0.1634,0.8561,0.7132,2.5722,0.0011,0.9786,-0.0002,-0.0041,0.0023,-0.0012,-0.2118,0.228,-0.0007,-0.0216,0.0304
dataset rigs,nuplan-l0f0r0,lebowski,4400,0.2118,1.0652,1.0743,3.4444,0.0014,0.9936,-0.0011,-0.0035,0.0008,-0.0136,-0.0471,0.0052,-0.0051,-0.0227,0.0172
dataset rigs,waymo-front3,small,4400,0.3784,1.8015,1.7037,5.1199,0.0015,0.9924,0.0002,-0.0253,0.0282,0.0268,-0.0032,0.0588,0.0073,-0.0597,0.1128
dataset rigs,waymo-front3,cinque,8800,0.1647,0.8989,0.7218,2.6659,0.0011,0.9786,0.0011,-0.0075,0.0059,0.0415,-0.2467,0.6717,0.0078,-0.0486,0.0541
dataset rigs,waymo-front3,lebowski,4400,0.2166,1.0841,1.0942,3.4569,0.0014,0.9937,0.0037,-0.0027,0.0088,0.0053,-0.011,0.0138,0.0148,-0.0345,0.0477
dataset rigs,b2d-nuscenes3,small,4400,0.3734,1.7921,1.6996,5.1416,0.0015,0.9925,-0.0048,-0.0258,0.0198,0.0175,0.0107,0.0337,0.0032,-0.0308,0.0966
dataset rigs,b2d-nuscenes3,cinque,8800,0.164,0.9261,0.7202,2.7217,0.0011,0.9778,0.0004,-0.0044,0.005,0.0688,-0.2303,0.8637,0.0062,-0.031,0.0451
dataset rigs,b2d-nuscenes3,lebowski,4400,0.2118,1.058,1.0712,3.4334,0.0014,0.9936,-0.0011,-0.0056,0.0017,-0.0208,-0.0705,0.0138,-0.0082,-0.0436,0.0238
dataset rigs,tfpp-110,small,4400,0.3825,1.8771,1.7923,5.2034,0.0014,0.9924,0.0043,-0.0205,0.03,0.1025,-0.1575,0.3256,0.0958,-0.0683,0.2026
dataset rigs,tfpp-110,cinque,8800,0.1764,0.9355,0.7884,2.7549,0.0012,0.9769,0.0128,-0.0124,0.0368,0.0781,-0.3091,0.5575,0.0745,-0.0677,0.3292
dataset rigs,tfpp-110,lebowski,4400,0.2581,1.3147,1.2599,3.8002,0.0015,0.9921,0.0453,0.0114,0.0936,0.2359,0.1803,0.3739,0.1805,0.0427,0.4334
mount,pitch+2,small,4400,0.4715,2.2114,2.0861,6.9715,0.0016,0.9886,0.0933,0.0615,0.1464,0.4367,0.0572,0.9042,0.3896,0.1844,0.6039
mount,pitch+2,cinque,8800,0.1996,1.0198,0.829,2.9261,0.0016,0.9676,0.036,-0.0132,0.121,0.1625,-0.0945,0.5588,0.1151,-0.0475,0.4702
mount,pitch+2,lebowski,4400,0.2736,1.5064,1.2143,4.2288,0.0017,0.9901,0.0608,0.012,0.115,0.4276,0.0828,0.8644,0.1349,-0.0921,0.4303
mount,pitch-2,small,4400,0.3757,1.9556,1.6674,5.2315,0.0015,0.9921,-0.0026,-0.0354,0.0524,0.1809,-0.0954,0.6676,-0.029,-0.2325,0.1645
mount,pitch-2,cinque,8800,0.1707,1.1497,0.7392,3.1335,0.0013,0.9693,0.0071,-0.0094,0.0147,0.2924,-0.2098,2.6414,0.0252,-0.0422,0.0858
mount,pitch-2,lebowski,4400,0.2232,1.0851,1.0808,3.408,0.0017,0.9939,0.0104,-0.0197,0.0342,0.0063,-0.0587,0.0359,0.0014,-0.099,0.0687
mount,pitch+5,small,4400,0.7806,3.4685,2.9032,8.5875,0.0026,0.981,0.4024,0.1935,0.7168,1.6939,0.966,2.9879,1.2068,0.6877,1.938
mount,pitch+5,cinque,8800,0.2546,1.4123,0.9705,3.4411,0.0022,0.9557,0.091,0.0126,0.2459,0.555,-0.0914,1.1539,0.2565,-0.0742,0.9469
mount,pitch+5,lebowski,4400,0.3438,2.0793,1.3047,5.0626,0.0023,0.982,0.131,0.0509,0.2424,1.0005,0.5034,1.2078,0.2253,-0.0306,0.6828
mount,yaw+2,small,4400,0.5019,2.094,1.8609,5.5358,0.0025,0.9912,0.1237,0.1147,0.1442,0.3193,0.1814,0.5594,0.1645,0.0956,0.2519
mount,yaw+2,cinque,8800,0.7453,0.9018,1.7783,2.6626,0.0069,0.8586,0.5817,0.1582,0.9789,0.0444,-0.1397,0.2223,1.0643,0.38,1.5679
mount,yaw+2,lebowski,4400,0.7479,1.1943,2.0347,3.7517,0.0038,0.9864,0.5351,0.2179,0.9102,0.1155,-0.1364,0.266,0.9554,0.4091,1.695
mount,height0.92,small,4400,0.3897,3.3221,1.6899,7.4365,0.0016,0.9911,0.0115,-0.0426,0.1059,1.5474,0.1071,3.0884,-0.0065,-0.2001,0.3862
mount,height0.92,cinque,8800,0.229,3.6963,0.9656,7.6307,0.0013,0.9794,0.0654,0.0102,0.1351,2.839,0.621,5.155,0.2517,0.0902,0.4545
mount,height0.92,lebowski,4400,0.3391,3.4892,1.4926,7.5043,0.0024,0.9936,0.1262,0.0304,0.26,2.4104,0.5687,4.4188,0.4132,0.0987,0.8577
mount,height1.43,small,4400,0.4666,3.1518,1.974,7.199,0.0015,0.9925,0.0884,0.02,0.1807,1.3772,0.4099,2.6503,0.2776,0.0627,0.6437
mount,height1.43,cinque,8800,0.2256,2.4816,0.9229,5.1741,0.0015,0.9757,0.062,-0.0054,0.1918,1.6243,-0.2293,3.5632,0.2089,0.0203,0.943
mount,height1.43,lebowski,4400,0.3281,2.9495,1.4697,6.5883,0.0017,0.9931,0.1153,0.0185,0.2748,1.8707,0.9057,3.6744,0.3903,0.0724,1.142
mount,height1.60,small,4400,0.5441,3.9106,2.2103,8.4489,0.0015,0.9922,0.1659,0.0506,0.3191,2.1359,1.2051,3.5914,0.5139,0.1549,1.1408
mount,height1.60,cinque,8800,0.2772,3.1309,1.0956,6.271,0.0018,0.9727,0.1136,0.0086,0.3086,2.2735,0.9877,3.7019,0.3816,0.0845,1.3874
mount,height1.60,lebowski,4400,0.4187,4.0141,1.7569,8.0709,0.0021,0.992,0.2059,0.0849,0.3912,2.9353,2.0465,4.1105,0.6775,0.0963,1.6307
mount,height1.81,small,4400,0.6311,5.1031,2.5146,10.4721,0.0016,0.9913,0.2529,0.0853,0.4827,3.3285,1.688,5.6783,0.8182,0.2501,1.7429
