t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,0,Q9b hard grid,lebowski,cut-in,289,0.2257,0.2233
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,lebowski,pedestrian,82,0.01911,0.02655
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,lebowski,cut-in,289,0.2743,0.2233
1.79e+09,q9b_insample,1,Q9b pair grid s0,lebowski,pedestrian,134,0.1337,0.008138
1.79e+09,q9b_insample,1,Q9b pair grid s0,lebowski,cut-in,306,0.2718,0.1949
1.79e+09,q9b_insample,1,Q9b pair grid s1,lebowski,pedestrian,134,0.003067,0.008138
1.79e+09,q9b_insample,1,Q9b pair grid s1,lebowski,cut-in,306,0.1658,0.1949
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,pedestrian,134,0.0118,0.008138
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,cut-in,306,0.2273,0.1949
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,pedestrian,134,0.218,0.008138
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,cut-in,306,0.3207,0.1949
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,pedestrian,134,0.04237,0.008138
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,cut-in,306,0.2245,0.1949
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,pedestrian,106,0.00982,0.0007167
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,cut-in,283,0.1659,0.09604
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,pedestrian,106,0.6153,0.0007167
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,cut-in,283,0.3986,0.09604
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,pedestrian,106,0.0182,0.0007167
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,cut-in,283,0.1595,0.09604
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,pedestrian,106,0.01418,0.0007167
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,cut-in,283,0.1066,0.09604
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,pedestrian,106,0.0282,0.0007167
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,cut-in,283,0.136,0.09604
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,pedestrian,131,0.6106,-0.002544
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,cut-in,280,0.5869,0.171
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,pedestrian,131,0.661,-0.002544
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,cut-in,280,0.5888,0.171
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,pedestrian,131,0.01703,-0.002544
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,cut-in,280,0.2374,0.171
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,pedestrian,131,0.002459,-0.002544
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,cut-in,280,0.1584,0.171
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,pedestrian,131,0.029,-0.002544
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,cut-in,280,0.2167,0.171
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,pedestrian,83,0.0393,0.006914
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,cut-in,282,0.1457,0.1507
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,pedestrian,83,0.5696,0.006914
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,cut-in,282,0.3649,0.1507
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,pedestrian,83,0.0273,0.006914
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,cut-in,282,0.148,0.1507
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,pedestrian,83,0.134,0.006914
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,cut-in,282,0.1915,0.1507
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,pedestrian,83,0.05278,0.006914
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,cut-in,282,0.1812,0.1507
