group,n,d_rfs_frame,lo,hi
straight,427,-0.015147230172337397,-0.03890633873414312,0.007764306678303584
turn,52,-0.016362368819670244,-0.1899066331287639,0.1361828393346865
all,479,-0.015279145015054113,-0.04247976109855252,0.010816689796411512
