row,n,rfs,rfs_lo,rfs_hi,rfs_frame,rfs_frame_lo,rfs_frame_hi,in_trust,floored,ade3_rater,ade5_rater,ade5_rater_lo,ade5_rater_hi,ade5_log,lon5_bias,lat5_absmean,d_cv,d_cv_lo,d_cv_hi,d_logged_future,d_logged_future_lo,d_logged_future_hi,d_ours cls ego,d_ours cls ego_lo,d_ours cls ego_hi
rater_best,479,9.586889620846677,9.500342906548985,9.668637144127652,9.60125260960334,9.526096033402922,9.670146137787057,1.0,0.0,0.0,0.0,0.0,0.0,2.6991818,2.2063982,1.2212658,2.4835108994946653,2.236036395576109,2.728487082939279,1.4561348823062943,1.263049193455111,1.648849734016023,2.2755272790620564,2.0447272129928082,2.5071483274854995
rater_worst,479,7.714774200795999,7.534398598226693,7.890926201020566,7.666526971122232,7.512075800361015,7.8196604875755265,1.0,0.029227557411273485,1.2688311,3.495262,3.2550619900226594,3.7451442778110504,3.1264071,-0.6761206,1.8901349,0.6113954794439875,0.3323410876321431,0.8903002809534604,-0.4159805377443835,-0.6386565434870243,-0.19421059761417434,0.40341185901137866,0.13363510948270757,0.6730544502142314
logged_future,479,8.130754738540382,7.925860581127542,8.330610137063028,8.175144927007192,7.987450678841344,8.353508705046899,0.7724425887265136,0.09394572025052192,1.340367,2.6991818,2.3958879351615905,3.0257149934768677,0.0,0.0,0.0,1.027376017188371,0.7156186422462303,1.3329899127910094,0.0,0.0,0.0,0.8193923967557621,0.5491843086501121,1.0955810731363336
cv,479,7.103378721352011,6.853566981883403,7.353032778909809,7.045712040010445,6.828569689301327,7.261448645169635,0.5511482254697286,0.27139874739039666,1.4922061,3.345515,3.0748460352420808,3.624528908729553,3.720535,1.6141247,1.76286,0.0,0.0,0.0,-1.027376017188371,-1.3329899127910096,-0.7156186422462304,-0.20798362043260887,-0.44757525802547193,0.026446109086151158
zero,479,5.382563207731378,5.160169616952271,5.613138990357615,5.387233508921671,5.204384488236947,5.576501019868856,0.2797494780793319,0.6179540709812108,7.2495904,12.32037,11.270387029647827,13.383701133728028,11.413255,-21.81334,1.76286,-1.7208155136206331,-1.972466428250473,-1.466987060073426,-2.748191530809004,-3.0394583203953527,-2.4557133745578827,-1.928799134053242,-2.199816357386082,-1.6605683289697821
ours ridge ego,479,7.059278503433897,6.81161883409229,7.308582110648965,7.055803829125608,6.839232109349782,7.267670344296084,0.5386221294363257,0.27139874739039666,1.3250598,3.157146,2.903706729412079,3.430308532714844,2.4327745,-0.4905312,1.5630676,-0.044100217918114026,-0.3128359720619831,0.22921113144763594,-1.071476235106485,-1.3405619943493305,-0.8088625258200839,-0.2520838383507229,-0.4889888457807535,-0.01565073639524244
ours cls ego,479,7.31136234178462,7.060302172489995,7.559150911606135,7.342672500465909,7.131821199863067,7.545066838599929,0.6283924843423799,0.21294363256784968,1.402305,3.2675812,2.987543934583664,3.5670730769634247,2.5704932,-0.8222486,1.3343667,0.20798362043260887,-0.02644610908615123,0.4475752580254718,-0.8193923967557621,-1.0955810731363338,-0.5491843086501121,0.0,0.0,0.0
ours cls_late vision+ego,479,7.30145994727521,7.056708734268611,7.549656601609206,7.29186318033832,7.084323310444982,7.4901309054752385,0.6179540709812108,0.20668058455114824,1.4004424,3.2331452,2.96653191447258,3.516002726554871,2.5153952,-0.6142987,1.259045,0.19808122592319855,-0.04585489533639595,0.44279079167102076,-0.8292947912651725,-1.1076062653812107,-0.5600174844782857,-0.009902394509410328,-0.14258190112265876,0.12480213505002408
alpamayo_nav | E[1 sample],479,7.85685628276692,7.66967305176304,8.036362042232046,7.8066361510482025,7.650877276244805,7.962585066565334,0.6809324982602644,0.029227557411273485,1.2293215,2.7471104,2.5353678584098818,2.973982626199722,2.507121,3.3357255,0.990522,0.7534775614149085,0.5037397796218286,0.9952101193456324,-0.2738984557734625,-0.4824922554547966,-0.0676020493200285,0.5454939409822996,0.3260477621861892,0.7572026739744817
alpamayo_nav | sample 0,479,7.673443494496129,7.431900617602411,7.9034445900222146,7.62716601511296,7.426736744877451,7.820634441913173,0.6492693110647182,0.14822546972860126,1.2991681,2.8761778,2.6356531143188477,3.129182702302933,2.6644433,3.422387,1.0737616,0.570064773144118,0.27333381595255407,0.865387035442709,-0.45731124404425305,-0.7007766470617276,-0.21776769090334488,0.3620811527115091,0.09814822326923123,0.6233974297654987
