row,n,rfs,rfs_lo,rfs_hi,rfs_frame,rfs_frame_lo,rfs_frame_hi,in_trust,floored,ade3_rater,ade5_rater,ade5_rater_lo,ade5_rater_hi,ade5_log,lon5_bias,lat5_absmean,d_cv,d_cv_lo,d_cv_hi,d_logged_future,d_logged_future_lo,d_logged_future_hi,d_ours cls ego,d_ours cls ego_lo,d_ours cls ego_hi
alpamayo_nav | medoid-of-6,479,8.033591145636196,7.815110849495866,8.248398684519929,8.004630150031458,7.822099806375919,8.189070384148598,0.7306889352818372,0.08977035490605428,1.175525,2.5675902,2.3447544038295747,2.80444917678833,2.2871144,2.902829,1.0050672,0.9302124242841847,0.6558228739440543,1.198553420733141,-0.0971635929041863,-0.32607223219823117,0.13084746112581422,0.7222288038515758,0.475741908897909,0.9700785359845777
alpamayo_nav | ORACLE best-of-6 RFS,479,8.949742580224727,8.790342325591585,9.098640294120905,8.907134773213363,8.767756724816016,9.041311449682892,0.8997912317327766,0.027139874739039668,1.030068,2.1552653,1.9256357222795486,2.404310184717178,2.2744782,2.9891093,0.89457023,1.8463638588727163,1.60113413419856,2.0892499729722256,0.8189878416843452,0.6186381836933652,1.0216173361277934,1.6383802384401074,1.41019851291801,1.8662293701883546
alpamayo_nav | ORACLE minADE_6,479,8.672721077453128,8.478914266812424,8.860228023277267,8.573832166992242,8.400631379966196,8.743315901546733,0.7995824634655533,0.07306889352818371,0.8250317,1.6212783,1.4402483731508255,1.8220683485269547,2.2586,3.2059238,0.91218215,1.5693423561011164,1.3021103403951255,1.8330785406044254,0.5419663389127454,0.33750701220492085,0.7442953058393031,1.3613587356685075,1.1277100593983247,1.594427580039439
alpamayo_nonav | E[1 sample],479,7.879341566258477,7.690113377528114,8.060366241382967,7.821915296063257,7.664835132511081,7.978465104994693,0.6809324982602644,0.025052192066805846,1.229642,2.7418363,2.5299036145210265,2.9697149336338042,2.5203097,3.4293582,0.9870353,0.7759628449064655,0.5271586842997945,1.0219047200526543,-0.2514131722819055,-0.46253171793575354,-0.046144921831592106,0.5679792244738566,0.34903909616352163,0.7826207952391667
alpamayo_nonav | sample 0,479,7.687989702299045,7.455618907586962,7.913268769164549,7.6277807442121155,7.432214352378986,7.824806658374529,0.6325678496868476,0.14613778705636743,1.3208067,2.911381,2.6677345633506775,3.1724976718425753,2.7496102,3.6851075,1.0919862,0.5846109809470335,0.2942889024289288,0.8732833625132608,-0.44276503624133756,-0.6709945947135021,-0.21909836841628472,0.3766273605144246,0.11968994459169964,0.6325638740263763
alpamayo_nonav | medoid-of-6,479,8.096492444475373,7.880638473843821,8.305375154174753,8.057201169697379,7.87673276681283,8.241247553395318,0.7432150313152401,0.0918580375782881,1.1678886,2.549886,2.328562194108963,2.7871802508831025,2.2761996,2.9575121,1.0057666,0.9931137231233622,0.7292057150275668,1.255983101094671,-0.0342622940650088,-0.2671642119561078,0.19027263321940988,0.7851301026907533,0.5472542349986336,1.0250344052390588
alpamayo_nonav | ORACLE best-of-6 RFS,479,8.908710361244937,8.740315359756988,9.067836944745638,8.877953378113766,8.7354645027671,9.016017222474458,0.8810020876826722,0.022964509394572025,1.0324489,2.147118,1.9232731640338898,2.393221914768219,2.3161428,3.1306806,0.91822803,1.805331639892926,1.5509071825313179,2.06238540273783,0.777955622704555,0.5851111883664896,0.9720286260583888,1.5973480194603171,1.37045876726818,1.826634739110424
alpamayo_nonav | ORACLE minADE_6,479,8.634611758678089,8.438096164459449,8.820938293042323,8.546483576478087,8.371302062412868,8.714882825290543,0.7807933194154488,0.06471816283924843,0.8257966,1.6228878,1.441884657740593,1.824251863360405,2.2577631,3.248863,0.9172408,1.5312330373260776,1.263864609131659,1.7945972579433207,0.5038570201377066,0.3028078696576162,0.7049223641795984,1.3232494168934688,1.0862903425055983,1.5579248157149062
op_small,479,7.63982911536394,7.412770044448233,7.861579800211816,7.697655341214368,7.502126995254669,7.888370309540745,0.6534446764091858,0.1336116910229645,1.3262733,2.8763878,2.660973769426346,3.101368510723114,3.1514118,0.72477657,1.3848734,0.5364503940119292,0.27846197506020953,0.7977816955731789,-0.49092562317644184,-0.7524018190752699,-0.23453017186110867,0.3284667735793203,0.057349681851404724,0.5973187978867298
op_cinque,479,8.004841407343838,7.785494002191028,8.21786601451211,7.941643611482611,7.749834682337128,8.125355034003988,0.7160751565762005,0.10020876826722339,1.0914133,2.4600062,2.2525560200214385,2.677449870109558,2.4647188,0.85485625,1.0979135,0.9014626859918264,0.6187555838252604,1.1799056620208526,-0.12591333119654458,-0.35349195478507484,0.09670718001508742,0.6934790655592176,0.4353246972318106,0.9528669197476749
op_lebowski,479,7.886014214238918,7.65840801330889,8.107677714451993,7.804739978231672,7.609129042392969,7.996758901074811,0.6659707724425887,0.12526096033402923,1.208295,2.6735005,2.4581824839115143,2.901429313421249,2.6465516,0.2852484,1.1757063,0.7826354928869064,0.5069047531048857,1.0534811299553501,-0.24474052430146465,-0.4890238333784553,-0.0069114736078659126,0.5746518724542975,0.3139111014884559,0.8332105102729854
