,straight,turn
rater_best,9.613583138173302,9.5
rater_worst,7.712255326209798,7.291026824537796
logged_future,8.381496491099051,6.480681121868268
cv,7.185297556709901,5.899500200959133
zero,5.325021834526593,5.898087065973571
ours ridge ego,7.38377799242334,4.3626313728153905
ours cls ego,7.506283489340319,5.999174572593346
ours cls_late vision+ego,7.460282815518151,5.9088788683808575
alpamayo_nav | E[1 sample],7.940755684202444,6.705308446108568
alpamayo_nav | sample 0,7.753800621148635,6.587301077089245
alpamayo_nav | medoid-of-6,8.145461081216004,6.848191542035297
alpamayo_nav | ORACLE best-of-6 RFS,8.978364148055343,8.322232022107102
alpamayo_nav | ORACLE minADE_6,8.691879447284531,7.604482384592081
alpamayo_nonav | E[1 sample],7.955902914374782,6.721670814928239
alpamayo_nonav | sample 0,7.771248043800685,6.449693495667518
alpamayo_nonav | medoid-of-6,8.188353933054794,6.9802352090509165
alpamayo_nonav | ORACLE best-of-6 RFS,8.941317689297243,8.357634899741761
alpamayo_nonav | ORACLE minADE_6,8.659821121440038,7.615807966886674
op_small,7.8335880758218845,6.581438462802645
op_cinque,8.093407754027748,6.695426517890819
op_lebowski,7.929368257727729,6.781350067754435
n,427.0,52.0
