row,n,ade3_log,ade5_log,ade5_lo,ade5_hi
cv,958,1.1619632,2.8287683,2.6502565860748293,3.0355057060718535
ctra,958,0.8490644,2.6696997,2.4659037053585053,2.8855229973793026
zero,958,8.48222,13.713985,12.625443291664123,14.785918021202088
ours ridge ego,958,0.63196796,1.9062304,1.7917755782604217,2.0416142344474792
ours cls ego,958,0.8187827,2.0517943,1.905138647556305,2.2159339666366575
ours cls_late vision+ego,958,0.8322935,2.0211658,1.8708687037229539,2.1908847749233242
op_small,958,1.2103962,2.451963,2.297705519199371,2.6157059371471405
op_cinque,958,0.96467113,1.9426914,1.8032805919647217,2.080627566576004
op_lebowski,958,1.0738908,2.0897284,1.9350477486848832,2.247606635093689
