source,variant,ticks,mean_abs_steer,gap_mean,gap_closed,gap_closed_fraction
D3b,"B aim, C law",187,0.08568843030118434,0.16347590036728418,4.043275320364911e-05,0.0002472704251131661
D3b,"B PID, C aim",187,0.13547120074781813,0.1136931299206504,0.049823203199837456,0.3046986331519859
D3b,no rate limit,187,0.08591324158600128,0.16325108908246727,0.0002652440380205971,0.0016221256492166484
D3b,no max limit,187,0.08564799754798069,0.16351633312048786,6.35272898605544e-18,3.885073047335521e-17
D3b,lookahead 0.3 s,187,0.08474978986802913,0.16441454080043938,-0.0008982076799515347,-0.005493076213308219
D3b,lookahead 0.4 s,187,0.08487834287633317,0.16428598779213532,-0.00076965467164749,-0.004706897818460533
D3b,lookahead 0.6 s,187,0.09634533193055253,0.152818998737916,0.010697334382571842,0.06542058630124402
D3b,lookahead 0.7 s,187,0.11071454745628594,0.1384497832121826,0.02506654990830526,0.15329691798943929
D3b,lookahead 1.0 s,187,0.12797182334324045,0.12119250732522807,0.04232382579525978,0.25883546302419375
W2,"B aim, C law",1598,0.14516482997339736,0.07724934169713471,-0.004834396517984141,-0.06675965169930201
W2,"B PID, C aim",1598,0.17970998036575309,0.042704191304778955,0.029710753874371602,0.41028483555250705
W2,no rate limit,1598,0.15643182384375598,0.06598234782677607,0.006432597352374492,0.08882969304831485
W2,no max limit,1598,0.15041564904873644,0.07199852262179561,0.00041642255735494915,0.005750505732273121
W2,lookahead 0.3 s,1598,0.15095119761133652,0.07146297405919552,0.000951971119955037,0.01314605869824127
W2,lookahead 0.4 s,1598,0.15089881568980956,0.07151535598072249,0.0008995891984280641,0.012422700814072707
W2,lookahead 0.6 s,1598,0.15087544282221105,0.071538728848321,0.0008762163308295632,0.012099937777510603
W2,lookahead 0.7 s,1598,0.15173587936759225,0.07067829230293979,0.0017366528762107645,0.02398196769899337
W2,lookahead 1.0 s,1598,0.15290475725462296,0.06950941441590909,0.002905530763241464,0.0401233579070362
all,"B aim, C law",1785,0.13893396905535596,0.0862826002244837,-0.00432370011814542,-0.05275449173348592
all,"B PID, C aim",1785,0.17507544154863608,0.05014112773120358,0.03181777237513469,0.3882161953595332
all,no rate limit,1785,0.14904416284532454,0.07617240643451514,0.005786493671823131,0.0706023831983518
all,no max limit,1785,0.14363046651056202,0.08158610276927765,0.0003727973370606219,0.004548588824117122
all,lookahead 0.3 s,1785,0.14401581203822814,0.08120075724161155,0.0007581428647267296,0.009250281101174743
all,lookahead 0.4 s,1785,0.14398238520458823,0.08123418407525146,0.0007247160310868157,0.008842432367278314
all,lookahead 0.6 s,1785,0.145162764538323,0.08005380474151666,0.0019050953648216114,0.023244520879975562
all,lookahead 0.7 s,1785,0.1474384065006935,0.07777816277914619,0.004180737327192092,0.05101016877688401
all,lookahead 1.0 s,1785,0.15029273560676384,0.07492383367307585,0.00703506643326243,0.0858365159138876
