group,lower,upper,ticks,runs,b_abs_mean,c_abs_mean,d_abs_mean,c_gap_mean,c_gap_median,d_gap_mean,c_weak_over_005,opposite_sign,rate_clamped,max_clamped,horizon_capped,horizon_m_median,c_lookahead_m_median,b_aim_m_median
curvature,0,0.01,1351,41,0.15825274837879583,0.13464737157993198,0.1825759675061829,0.023605376798863868,0.02685033703263738,-0.024323219127387056,0.30717986676535897,0.04441154700222058,0.008882309400444115,0.0,0.0029607698001480384,14.382196212942883,3.6126690791339375,3.9456421959370886
curvature,0.01,0.03,799,45,0.13896892590445928,0.1054288534264026,0.13871728315275203,0.03354007247805669,0.04328751759770795,0.0002516427517072615,0.3967459324155194,0.11639549436795996,0.04130162703379224,0.0037546933667083854,0.0050062578222778474,13.345382471155956,3.370552091971153,3.890594835100973
curvature,0.03,0.06,495,45,0.19951116233462035,0.1442960475294062,0.19091725837593146,0.05521511480521417,0.046806995994918305,0.008593903958688861,0.46464646464646464,0.1595959595959596,0.05454545454545454,0.00202020202020202,0.0,13.319332036624225,3.0,3.650103816867191
curvature,0.06,0.12,848,40,0.23736622954174033,0.1566545317660719,0.2037601882655283,0.08071169777566845,0.09794813886916909,0.033606041276212,0.6875,0.21816037735849056,0.054245283018867926,0.007075471698113208,0.0,12.889238514792268,3.0,3.396829283196836
curvature,0.12,1000000.0,442,30,0.2306945433427171,0.11639220138012439,0.14033692476612733,0.1143023419625927,0.10988062322884005,0.09035761857658976,0.6742081447963801,0.3597285067873303,0.07918552036199095,0.0,0.0,12.349444822530357,3.0,3.3375441073592125
speed,1,2,229,28,0.22680804723930673,0.17670807220136858,0.19156031835316206,0.05009997503793813,0.07593790153362928,0.03524772888614468,0.5676855895196506,0.45414847161572053,0.18340611353711792,0.03056768558951965,0.0,8.383593248779835,3.0,2.7522754358610912
speed,2,4,409,34,0.2473208991797017,0.15690942892090814,0.17877227267019874,0.09041147025879359,0.10916358886191849,0.06854862650950296,0.684596577017115,0.33496332518337407,0.05867970660146699,0.0,0.0,11.52571842116921,3.0,3.296766225428139
speed,4,6,534,39,0.24175432909014966,0.14898705755080288,0.19648314577343343,0.09276727153934675,0.09321695687891499,0.04527118331671623,0.6292134831460674,0.2303370786516854,0.052434456928838954,0.0,0.0,13.125850023385157,3.0,3.3863629764703287
speed,6,8,441,39,0.1899803332105921,0.11807785926590082,0.16830311716279298,0.07190247394469126,0.058536623558936296,0.021677216047799087,0.5510204081632653,0.13151927437641722,0.031746031746031744,0.0,0.0,13.147334993880332,3.4478186834881708,3.4651452644069654
speed,8,1000000.0,172,19,0.20953573780350906,0.1130314525787451,0.19298114159937102,0.09650428522476397,0.09850475668805411,0.01655459620413802,0.7093023255813954,0.005813953488372093,0.0,0.0,0.0,19.31350648201893,4.7254448186415505,4.991442549614953
distance,-10,-5,45,8,0.3192965019080374,0.06938116613584987,0.13260875093014485,0.24991533577218752,0.28051988062058253,0.18668775097789256,0.8444444444444444,0.2,0.0,0.0,0.0,12.219059471459628,3.44605226439215,3.2465498129912276
distance,-5,0,178,12,0.30962969777121974,0.10162805080457153,0.16194735847501318,0.2080016469666482,0.20526388711245963,0.14768233929620656,0.9550561797752809,0.11797752808988764,0.0056179775280898875,0.0,0.0,13.027125624992852,3.0,3.5604197231463086
distance,0,5,130,12,0.16195123032308542,0.08268192819409075,0.09932125169873246,0.07926930212899468,0.07959429970131998,0.06262997862435295,0.6076923076923076,0.6230769230769231,0.06923076923076923,0.0,0.0,16.92762412703911,3.0,3.7177843526196215
