source,route,seed,path,ticks,max_c_replay_diff,max_b_replay_diff
W2,3514,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-3514/seed-2/B/attempt-1/frames.jsonl,2354,7.105427357601002e-15,9.811223800060276e-08
W2,2050,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2050/seed-0/B/attempt-1/frames.jsonl,255,9.957312752106873e-16,6.051111928195851e-08
W2,2050,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2050/seed-1/B/attempt-1/frames.jsonl,257,1.1275702593849246e-15,5.131763364252251e-08
W2,2050,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2050/seed-2/B/attempt-1/frames.jsonl,265,1.0443035325380379e-15,4.338825221328335e-08
W2,2084,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2084/seed-0/B/attempt-1/frames.jsonl,579,2.4147350785597155e-15,7.9582399559186e-08
W2,2084,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2084/seed-1/B/attempt-1/frames.jsonl,635,1.9699411372975373e-15,4.1432832664778374e-08
W2,2084,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-2084/seed-2/B/attempt-1/frames.jsonl,556,2.6645352591003757e-15,4.507297873823646e-08
W2,25318,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-25318/seed-0/B/attempt-1/frames.jsonl,553,4.052314039881821e-15,5.081681425656015e-08
W2,25318,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-25318/seed-1/B/attempt-1/frames.jsonl,554,3.4746511223815446e-15,1.0562116709023073e-07
W2,25318,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-25318/seed-2/B/attempt-1/frames.jsonl,557,3.318526009543632e-15,7.054323808430851e-08
W2,27529,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-27529/seed-0/B/attempt-1/frames.jsonl,1238,6.561418075534675e-14,8.991571820438082e-08
W2,27529,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-27529/seed-1/B/attempt-1/frames.jsonl,671,1.8600572471161314e-15,4.818609417034381e-08
W2,27529,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-27529/seed-2/B/attempt-1/frames.jsonl,1238,7.771561172376096e-14,4.944045717270029e-08
W2,28154,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-28154/seed-0/B/attempt-1/frames.jsonl,648,5.336009412104659e-15,9.000404484205138e-09
W2,28154,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-28154/seed-1/B/attempt-1/frames.jsonl,650,5.64479019082853e-15,1.1416855544288396e-08
W2,28154,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-28154/seed-2/B/attempt-1/frames.jsonl,652,4.277828091758806e-15,1.5425510938027465e-08
W2,3072,0,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-3072/seed-0/B/attempt-1/frames.jsonl,404,3.191891195797325e-16,6.777229943910612e-09
W2,3072,1,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-3072/seed-1/B/attempt-1/frames.jsonl,401,2.914335439641036e-16,7.794567422059195e-09
W2,3072,2,/data/runs/b2d/tfv6-w2/formal/level2/cases/2/route-3072/seed-2/B/attempt-1/frames.jsonl,406,2.3592239273284576e-16,4.148935965619938e-09
