source,ticks,runs,b_abs_mean,c_abs_mean,d_abs_mean,c_gap_mean,c_gap_median,d_gap_mean,c_weak_over_005,opposite_sign,rate_clamped,max_clamped,horizon_capped,horizon_m_median,c_lookahead_m_median,b_aim_m_median
D3b,187,6,0.24916433066846852,0.08564799754798068,0.1299073799266124,0.16351633312048786,0.16141406420114185,0.11925695074185615,0.8021390374331551,0.31016042780748665,0.0053475935828877,0.0,0.0,13.369837053308949,3.0,3.614636342167591
W2,1598,40,0.22241417167053204,0.14999922649138148,0.19088167912741294,0.07241494517915056,0.07866644506079537,0.031532492543119114,0.6013767209011264,0.2284105131414268,0.06695869837296621,0.004380475594493116,0.0,12.816692597733661,3.0,3.3876340070353432
all,1785,46,0.22521656927983968,0.1432576691735014,0.1844938954016148,0.08195890010633827,0.08753994910076678,0.040722673878224896,0.6224089635854342,0.23697478991596638,0.06050420168067227,0.00392156862745098,0.0,12.931835011547326,3.0,3.4052366995859695
