method,run,route_id,ds,rc,success,source
TF++,tfpp,4937,100.0,100.0,True,official
TF++,tfpp,4683,30.318,50.53,False,official
TF++,tfpp,4669,42.0,100.0,False,official
TF++,tfpp,4468,60.0,100.0,False,official
TF++,tfpp,4183,100.0,100.0,True,official
TF++,tfpp,3936,100.0,100.0,True,official
TF++,tfpp,3905,100.0,100.0,True,official
TF++,tfpp,3904,100.0,100.0,True,official
TF++,tfpp,3890,100.0,100.0,True,official
TF++,tfpp,3876,100.0,100.0,True,official
TF++,tfpp,3869,70.0,100.0,False,official
TF++,tfpp,3865,70.0,100.0,False,official
TF++,tfpp,3813,100.0,100.0,True,official
TF++,tfpp,3800,100.0,100.0,True,official
TF++,tfpp,3785,36.0,100.0,False,official
TF++,tfpp,3749,100.0,100.0,True,official
TF++,tfpp,3737,25.0,100.0,False,official
TF++,tfpp,3731,100.0,100.0,True,official
TF++,tfpp,3717,80.0,100.0,False,official
TF++,tfpp,3712,100.0,100.0,True,official
TF++,tfpp,3708,100.0,100.0,True,official
TF++,tfpp,3697,100.0,100.0,True,official
TF++,tfpp,3676,60.0,100.0,False,official
TF++,tfpp,3670,60.0,100.0,False,official
TF++,tfpp,3666,100.0,100.0,True,official
TF++,tfpp,3575,100.0,100.0,True,official
TF++,tfpp,3572,100.0,100.0,True,official
TF++,tfpp,3564,100.0,100.0,True,official
TF++,tfpp,3561,100.0,100.0,True,official
TF++,tfpp,3540,100.0,100.0,True,official
TF++,tfpp,3520,100.0,100.0,True,official
TF++,tfpp,3514,100.0,100.0,True,official
TF++,tfpp,3482,60.0,100.0,False,official
TF++,tfpp,3476,100.0,100.0,True,official
TF++,tfpp,3472,60.0,100.0,False,official
TF++,tfpp,3464,100.0,100.0,True,official
TF++,tfpp,3457,100.0,100.0,True,official
TF++,tfpp,3436,100.0,100.0,True,official
TF++,tfpp,3410,60.0,100.0,False,official
TF++,tfpp,3380,70.0,100.0,False,official
TF++,tfpp,3378,70.0,100.0,False,official
TF++,tfpp,3373,70.0,100.0,False,official
TF++,tfpp,3364,70.0,100.0,False,official
TF++,tfpp,3307,100.0,100.0,True,official
TF++,tfpp,3255,25.60781,100.0,False,official
