frame,timestamp,arm,desired_speed_mps,desired_recomputed_mps,desired_recompute_error_mps,input_speed_mps,forward_count,native_pid_calls,reason,truth_aligned,speed_truth_mps,speed_3d_mps,speed_error_mps,input_speed_error_mps,accel_lon_mps2,accel_lat_mps2,jerk_lon_mps3,jerk_lat_mps3,jerk_world_norm_mps3,body_accel_lon_derivative_mps3,target_change_rate_mps2,throttle,steer,brake,steer_rate_per_s,steer_saturated,gear,applied_pedals_previous_command_max_diff,native_steer_difference,selected_branch_max_diff,nominal_interval,prediction_present,prediction_fault,raw_speed_finite,raw_waypoints_finite,raw_target_finite,raw_imu_finite,sensor_frames_aligned,model_rgb_hash_present,official_tail_throttle_difference,official_tail_steer_difference,official_tail_brake_difference
2515,0.05000000074505806,pi_common,,,,9.30318851449577e-05,0,,initialization_or_missing,True,9.303188514495734e-05,0.14288834596459743,,,-0.0011559981509352557,-0.005244868913261419,,,,,,0.0,0.0,0.0,,False,0,,,,,False,,True,,,True,True,True,0.0,0.0,0.0
2516,0.10000000149011612,pi_common,5.698349475860596,5.698349525259368,-4.93987721839062e-08,0.00012689719743686043,1,1,tracking,True,0.00012689719743686024,0.11494525115119593,-5.698222578663159,-5.698222578663159,0.0007594063602284272,0.005158802125287665,0.03795016220220204,0.20806676205889993,1.2993388244503283,0.03830808965243864,,0.75,-0.009349892847239971,0.0,-0.18699785415831424,False,0,0.0,-7.625835553304317e-11,7.625835553304317e-11,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2517,0.15000000223517418,pi_common,5.216787894566854,5.216787856019241,3.854761310151389e-08,8.035755794073406e-05,1,1,tracking,True,8.035755794073391e-05,0.09133502273494902,-5.216707537008913,-5.216707537008913,-0.0008768007543020353,-0.000738735133424385,-0.032986540759875435,-0.11798037874220334,1.737544911120205,-0.03272414180298154,-9.631231482358293,0.75,0.0040069641545414925,0.0,0.26713713605497574,False,0,0.0,9.685046948454401e-11,9.685046948454401e-11,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2518,0.20000000298023224,pi_common,4.0926289558410645,4.092628956512609,-6.715445977079071e-10,6.447531224628377e-05,1,1,tracking,True,6.44753122462837e-05,0.0716980054963429,-4.092564480528818,-4.092564480528818,-0.00028759565817150197,0.003053037086576337,0.011628746690118803,0.07574992719168144,1.5909285137888596,0.011784101747013867,-22.483178439490334,0.75,-0.0031384360045194626,0.0,-0.14290800105172394,False,0,0.0,1.385248469751299e-11,1.385248469751299e-11,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2519,0.2500000037252903,pi_common,5.279671112696329,5.279671159340924,-4.6644594853262333e-08,3.865417324327514e-05,1,1,tracking,True,3.865417324327508e-05,0.05568405411994121,-5.279632458523086,-5.279632458523086,-0.0004988156240296706,-0.010689222562932284,-0.004320847705527871,-0.27474897031789874,1.4752119324548845,-0.004224399254214918,23.74084278333917,0.75,0.0071179065853357315,0.0,0.20512684874047565,False,0,0.0,1.5582372545064338e-10,1.5582372545064338e-10,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2520,0.30000000447034836,pi_common,5.05950649579366,5.059506604719124,-1.0892546420393501e-07,4.8653431424739964e-05,1,1,tracking,True,4.8653431424739754e-05,0.04270641773284867,-5.059457842362235,-5.059457842362235,0.00021126714935099523,0.005142919567796358,0.01413660168546626,0.31660537734810407,1.25542864549831,0.014201655255992162,-4.403292272439211,0.75,0.0031539187766611576,0.0,-0.07927975499213107,False,0,0.0,-4.5946962380638556e-11,4.5946962380638556e-11,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2521,0.3500000052154064,pi_common,4.354329268137613,4.354329148987471,1.1915014219709974e-07,5.449527781814544e-05,1,1,tracking,True,5.4495277818145434e-05,0.03299591225787535,-4.354274772859795,-4.354274772859795,0.0001264074575976958,-0.0010653465372224857,-0.0017554394421341584,-0.12422067496862509,1.3124908811009917,-0.00169719380977583,-14.103544342961749,0.75,-0.009859646670520306,0.0,-0.2602713050652846,False,0,0.0,1.4608746157218633e-10,1.4608746157218633e-10,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2522,0.4000000059604645,pi_common,4.8288179238637285,4.828817960132113,-3.626838473991256e-08,5.315983543493949e-05,1,1,tracking,True,5.315983543493941e-05,0.025637162930640032,-4.828764764028294,-4.828764764028294,-2.2853862450054108e-05,0.0028506864665542382,-0.0030079151671604854,0.07833100616947161,0.9439356391773713,-0.002985226356471659,9.489772973113668,0.75,-0.0006142350030131638,0.0,0.1849082305947955,False,0,0.0,-2.7060071197682056e-11,2.7060071197682056e-11,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2523,0.45000000670552254,pi_common,4.938462416330974,4.938462376703433,3.9627540360243074e-08,5.2357606198440566e-05,1,1,tracking,True,5.235760619844047e-05,0.018733856551907097,-4.9384100587247755,-4.9384100587247755,-9.50467114792308e-06,-0.0030459566709420596,0.00022943858752370877,-0.11793285824436564,0.2170729989079196,0.00026698382206425157,2.1928898166682966,0.75,0.009350529871881008,0.0,0.19929529452815212,False,0,0.0,3.29705837284755e-10,3.29705837284755e-10,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
2524,0.5000000074505806,pi_common,4.2033224900563555,4.2033225105260055,-2.0469649975041193e-08,4.282079386249779e-05,1,1,tracking,True,4.282079386249779e-05,0.01443861281178156,-4.203279669262493,-4.203279669262493,-0.00018894963923529355,0.0016688403455260442,-0.0036020753302892367,0.09429153382115568,1.0475078910331432,-0.0035888993082686424,-14.702798306403595,0.75,-0.011460554786026478,0.0,-0.4162216869559633,False,0,0.0,2.910982774273485e-10,2.910982774273485e-10,True,True,,True,True,True,True,True,True,0.25,0.0,0.0
