arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,stuck_cause,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med
E-b,1833,Completed,100.0,100,0,30.65,,,,,,,,,,,,,,,,
E-b,1852,Completed,100.0,100,0,39.7,,,,,,,,,,,,,,,,
E-b,1956,Completed,100.0,100,0,21.75,,,,,,,,,,,,,,,,
E-b,2084,Completed,100.0,100,0,16.1,,,,,,,,,,,,,,,,
E-b,2086,Completed,100.0,100,0,15.1,,,,,,,,,,,,,,,,
E-b,2091,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-b,2115,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
E-b,2286,Completed,100.0,100,0,9.05,,,,,,,,,,,,,,,,
E-b,2373,Completed,100.0,100,0,57.5,,,,,,,,,,,,,,,,
E-b,2390,Completed,100.0,100,0,6.05,,,,,,,,,,,,,,,,
E-b,24211,Completed,100.0,100,0,16.45,,,,,,,,,,,,,,,,
E-b,24330,Completed,100.0,100,0,24.65,,,,,,,,,,,,,,,,
E-b,26458,Completed,100.0,100,0,12.25,,,,,,,,,,,,,,,,
E-b,2668,Completed,100.0,100,0,26.65,,,,,,,,,,,,,,,,
E-b,3564,Failed - Agent got blocked,15.086208,51.01,2,302.3,,,,,,,,,,,,,,,,
E-b,4183,Completed,100.0,100,0,13.35,,,,,,,,,,,,,,,,
z2,11381,Failed - Agent got blocked,11.94,11.94,0,,,,0.0,Completed,100.0,0,1,1,other,71,0.002,0.014,-6.845,6.845,9.122,0.13
z2,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,313,0.002,0.038,-14.1,14.1,34.641,0.04
z2,17563,Failed - Agent got blocked,16.457,23.51,0,,,,0.0,Completed,100.0,0,1,1,other,161,0.001,0.003,-8.102,8.102,11.861,0.033
z2,1825,Failed - Agent got blocked,16.996,24.28,0,,,,0.0,Completed,100.0,0,1,1,other,165,0.002,0.008,-7.565,7.565,15.115,0.031
z2,1833,Failed - Agent got blocked,21.091,30.13,0,,,,0.0,Completed,100.0,0,1,1,other,190,0.001,0.008,-7.23,7.23,12.604,0.027
z2,1852,Failed - Agent got blocked,23.723,33.89,0,,,,0.0,Completed,100.0,0,1,1,other,235,0.001,0.004,-6.599,6.599,13.273,0.033
z2,1956,Completed,42.0,100,1,,5.3,vehicle.mercedes.coupe_2020,234.8,Completed,100.0,1,0,0,,26,0.383,1.696,1.274,1.274,3.333,26.94
z2,2084,Failed - Agent got blocked,17.766,25.38,0,,,,0.0,Completed,100.0,0,1,1,other,127,0.001,0.006,-8.578,8.578,13.21,0.031
z2,2086,Failed - Agent got blocked,16.128,23.04,0,,,,0.0,Completed,100.0,0,1,1,other,125,0.035,0.041,-11.646,11.646,23.783,0.211
z2,2091,Failed - Agent got blocked,10.932346,65.89,3,,25.9,vehicle.chevrolet.impala,151.8,Completed,100.0,1,1,1,other,119,0.001,0.006,-10.049,10.049,35.003,0.025
z2,2115,Failed - Agent got blocked,17.514,25.02,0,,,,0.0,Completed,100.0,0,1,1,other,119,0.007,0.012,-9.463,9.463,32.626,0.126
z2,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,163,0.001,0.003,-3.38,3.38,5.939,0.014
z2,2373,Failed - Agent got blocked,7.74,7.74,0,,,,0.0,Completed,100.0,0,1,1,gap_stop,40,0.005,0.019,1.405,1.405,3.504,0.165
z2,2390,Completed,23.194955,100,3,,6.1,vehicle.dodge.charger_2020,7.8,Completed,100.0,1,0,0,,102,0.144,1.331,-10.4,10.4,24.478,1.907
z2,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,242,0.001,0.005,-16.932,16.932,70.437,0.025
z2,24330,Failed - Agent got blocked,8.04,8.04,0,,,,0.0,Completed,100.0,0,1,1,other,82,0.001,0.005,-6.397,6.397,9.317,0.082
z2,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,219,0.004,2.103,-8.407,8.407,12.023,0.135
z2,2668,Failed - Agent got blocked,24.801,35.43,0,,,,0.0,Completed,100.0,0,1,1,other,173,0.019,0.057,-4.257,4.257,25.763,0.163
z2,3564,Failed - Agent got blocked,26.103,37.29,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,other,180,0.001,0.018,-9.847,9.847,13.682,0.024
z2,4183,Failed - Agent got blocked,14.833,21.19,0,,,,0.0,Completed,100.0,0,1,1,other,107,0.001,0.006,-9.39,9.39,34.961,0.047
z5,11381,Failed - Agent got blocked,11.94,11.94,0,,,,0.0,Completed,100.0,0,1,1,other,62,0.001,0.002,-7.559,7.559,9.279,0.058
z5,1711,Completed,60.0,100,1,,13.1,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,,245,0.004,0.02,-6.479,6.479,10.641,0.068
z5,17563,Failed - Agent got blocked,16.457,23.51,0,,,,0.0,Completed,100.0,0,1,1,other,164,0.01,0.019,-8.397,8.397,12.432,0.066
z5,1825,Failed - Agent got blocked,16.996,24.28,0,,,,0.0,Completed,100.0,0,1,1,other,165,0.007,0.027,-8.794,8.794,14.52,0.207
z5,1833,Failed - Agent got blocked,21.091,30.13,0,,,,0.0,Completed,100.0,0,1,1,other,186,0.001,0.004,-7.782,7.782,14.51,0.021
z5,1852,Failed - Agent got blocked,23.723,33.89,0,,,,0.0,Completed,100.0,0,1,1,other,222,0.002,0.007,-5.888,5.888,10.725,0.036
z5,1956,Failed - Agent got blocked,4.329522,23.37,2,,5.1,vehicle.mercedes.coupe_2020,295.4,Completed,100.0,1,1,1,other,26,0.357,1.634,1.238,1.238,3.267,25.65
z5,2084,Failed - Agent got blocked,17.766,25.38,0,,,,0.0,Completed,100.0,0,1,1,other,131,0.004,0.007,-9.575,9.575,12.928,0.051
z5,2086,Failed - Agent got blocked,16.128,23.04,0,,,,0.0,Completed,100.0,0,1,1,other,117,0.011,0.025,-10.973,10.973,13.659,0.13
z5,2091,Completed,28.8,100,2,,28.7,vehicle.chevrolet.impala,182.8,Completed,100.0,1,0,0,,109,0.001,0.005,-9.735,9.735,17.054,0.034
z5,2115,Failed - Agent got blocked,17.514,25.02,0,,,,0.0,Completed,100.0,0,1,1,other,111,0.05,0.093,-9.068,9.068,13.438,0.508
z5,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,163,0.001,0.004,-3.597,3.597,6.052,0.016
z5,2373,Failed - Agent got blocked,7.74,7.74,0,,,,0.0,Completed,100.0,0,1,1,gap_stop,38,0.002,0.02,2.398,2.398,3.627,0.124
z5,2390,Failed - Agent got blocked,26.964801,79.94,2,,5.8,vehicle.dodge.charger_2020,63.0,Completed,100.0,1,1,1,other,98,0.025,1.888,-10.046,10.046,18.266,0.675
z5,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,266,0.001,0.004,-16.237,16.237,66.582,0.02
z5,24330,Failed - Agent got blocked,8.04,8.04,0,,,,0.0,Completed,100.0,0,1,1,other,74,0.001,0.003,-6.823,6.823,9.15,0.063
z5,26458,Completed,59.150075,100,1,,12.6,vehicle.dodge.charger_2020,0.0,Completed,100.0,1,0,0,,228,0.022,1.833,-5.178,5.178,6.38,0.5
z5,2668,Failed - Agent got blocked,24.801,35.43,0,,,,0.0,Completed,100.0,0,1,1,other,166,0.013,0.041,-2.564,2.564,12.711,0.128
z5,3564,Failed - Agent got blocked,26.103,37.29,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,other,173,0.003,0.022,-8.673,8.673,14.014,0.088
z5,4183,Failed - Agent got blocked,14.833,21.19,0,,,,0.0,Completed,100.0,0,1,1,other,103,0.002,0.005,-8.104,8.104,11.972,0.045
f2,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,215,0.005,0.816,-2.057,2.057,5.158,0.121
f2,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,333,0.001,0.02,-2.287,2.287,7.479,0.017
f2,17563,Completed,60.0,100,1,,16.2,vehicle.mercedes.coupe_2020,0.0,Completed,100.0,1,0,0,,219,0.014,0.438,-5.187,5.187,10.287,0.2
f2,1825,Completed,65.0,100,1,,25.3,static.prop.constructioncone,0.0,Completed,100.0,1,0,0,,171,0.001,0.487,-5.667,5.667,11.917,0.135
f2,1833,Completed,65.0,100,1,,25.5,static.prop.constructioncone,0.0,Completed,100.0,1,0,0,,184,0.005,0.498,-5.38,5.38,9.44,0.079
f2,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,315,0.003,0.52,-4.083,4.083,8.959,0.083
f2,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,317,0.003,0.54,-0.189,0.189,5.993,0.072
f2,2084,Completed,60.0,100,1,,12.5,vehicle.mini.cooper_s_2021,7.0,Completed,100.0,1,0,0,,125,0.001,0.108,-2.952,2.952,7.562,0.03
f2,2086,Completed,60.0,100,1,,11.3,vehicle.lincoln.mkz_2017,0.0,Completed,100.0,1,0,0,,135,0.028,0.067,-1.896,1.896,8.091,0.285
f2,2091,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,184,0.013,0.81,-4.223,4.223,7.527,0.323
f2,2115,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,200,0.016,0.793,-1.822,1.822,7.862,0.192
f2,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,158,0.001,0.004,-8.865,8.865,16.667,0.022
f2,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,161,0.042,0.732,-3.096,3.096,4.98,0.692
f2,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,96,0.099,1.031,-13.565,13.565,18.335,1.415
f2,24211,Completed,50.0,100,1,,7.3,walker.pedestrian.0020,0.0,Completed,100.0,1,0,0,,123,0.0,0.001,-7.352,7.352,12.335,0.014
f2,24330,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,261,0.207,0.316,-2.83,2.83,5.125,0.262
f2,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,219,0.001,0.803,-1.033,1.033,5.215,0.034
f2,2668,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,372,0.024,0.362,-2.603,2.603,9.143,0.163
f2,3564,Failed - Agent got blocked,14.506595,51.01,2,,11.9,static.prop.mesh,315.5,Failed - Agent got blocked,9.806035,0,1,0,other,149,0.001,0.206,-5.853,5.853,8.137,0.044
f2,4183,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,175,0.027,0.647,-4.756,4.756,7.084,0.462
f5,11381,Completed,9.0,100,4,,4.6,vehicle.ford.mustang,40.2,Completed,100.0,1,0,0,,70,0.001,0.007,-2.276,3.151,4.97,0.027
f5,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,326,0.0,0.005,-0.64,0.803,3.13,0.01
f5,17563,Completed,60.0,100,1,,8.1,vehicle.nissan.patrol_2021,0.0,Completed,100.0,1,0,0,,120,0.001,0.082,-2.406,3.167,6.838,0.026
f5,1825,Completed,55.084504,100,1,,9.4,vehicle.dodge.charger_2020,89.2,Completed,100.0,1,0,0,,166,0.005,0.986,-0.988,6.141,14.904,0.211
f5,1833,Completed,33.679554,100,2,,9.4,vehicle.dodge.charger_2020,178.6,Completed,100.0,1,0,0,,167,0.002,0.953,-1.369,5.405,11.299,0.061
f5,1852,Completed,21.720428,100,2,,30.2,vehicle.ford.mustang,213.5,Completed,100.0,1,0,0,,199,0.002,0.309,-0.131,2.166,7.179,0.07
f5,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,317,0.0,0.53,-0.412,0.412,5.965,0.012
f5,2084,Completed,17.28,100,3,,7.3,vehicle.mini.cooper_s_2021,180.9,Completed,100.0,1,0,0,,126,0.002,0.315,-1.172,4.951,8.547,0.063
f5,2086,Completed,48.0,100,1,,7.4,vehicle.dodge.charger_2020,14.5,Completed,100.0,1,0,0,,123,0.024,0.288,-1.256,5.82,8.737,0.278
f5,2091,Failed - Agent got blocked,16.38672,48.77,1,,8.0,vehicle.mini.cooper_s_2021,291.8,Completed,100.0,1,1,1,pinned,138,0.007,0.242,3.1,5.686,9.256,0.454
f5,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,,233,0.045,0.324,-0.515,2.895,7.488,0.602
f5,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,159,0.0,0.002,-4.635,4.635,7.954,0.013
f5,2373,Completed,70.0,100,0,,,,0.0,Completed,100.0,0,0,0,,228,0.084,0.394,1.909,4.521,11.03,0.505
f5,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,97,0.095,1.031,-12.838,12.838,17.478,1.354
f5,24211,Completed,50.0,100,1,,6.7,walker.pedestrian.0020,0.0,Completed,100.0,1,0,0,,113,0.0,0.002,-6.464,6.464,9.059,0.018
f5,24330,Completed,60.0,100,1,,7.9,vehicle.dodge.charger_2020,6.8,Completed,100.0,1,0,0,,112,0.002,0.025,1.272,4.039,7.346,0.103
f5,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,204,0.003,0.925,-1.866,1.866,4.725,0.072
f5,2668,Completed,36.0,100,2,,8.8,vehicle.mini.cooper_s_2021,8.5,Completed,100.0,1,0,0,,155,0.034,0.344,-0.833,1.746,3.958,0.172
f5,3564,Failed - Agent timed out,22.317838,51.01,1,,45.5,static.prop.mesh,317.2,Failed - Agent got blocked,9.806035,0,0,0,,123,0.002,0.633,-3.146,4.622,6.566,0.05
f5,4183,Completed,60.0,100,1,,8.7,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,,139,0.004,0.333,2.688,5.645,9.858,0.148
p1,11381,Failed - Agent got blocked,11.94,11.94,0,,,,0.0,Completed,100.0,0,1,1,other,76,0.001,0.003,-6.685,6.685,8.786,0.021
p1,1711,Completed,60.0,100,1,,13.4,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,,242,0.002,0.007,-12.855,12.855,16.741,0.03
p1,17563,Failed - Agent got blocked,16.457,23.51,0,,,,0.0,Completed,100.0,0,1,1,other,164,0.001,0.002,-9.146,9.146,12.972,0.02
p1,1825,Failed - Agent got blocked,16.996,24.28,0,,,,0.0,Completed,100.0,0,1,1,other,165,0.001,0.012,-8.528,8.528,15.12,0.068
p1,1833,Failed - Agent got blocked,21.091,30.13,0,,,,0.0,Completed,100.0,0,1,1,other,195,0.001,0.002,-7.406,7.406,14.838,0.023
p1,1852,Failed - Agent got blocked,23.723,33.89,0,,,,0.0,Completed,100.0,0,1,1,other,225,0.001,0.007,-5.729,5.729,12.778,0.044
p1,1956,Completed,60.0,100,1,,6.5,vehicle.mercedes.coupe_2020,0.0,Completed,100.0,1,0,0,,48,0.115,0.47,3.668,3.668,7.859,5.062
p1,2084,Failed - Agent got blocked,17.766,25.38,0,,,,0.0,Completed,100.0,0,1,1,other,138,0.003,0.011,-9.596,9.596,24.412,0.061
p1,2086,Failed - Agent got blocked,16.128,23.04,0,,,,0.0,Completed,100.0,0,1,1,other,120,0.027,0.037,-11.489,11.489,13.994,0.175
p1,2091,Completed,60.0,100,1,,26.9,vehicle.chevrolet.impala,0.0,Completed,100.0,1,0,0,,123,0.001,0.002,-9.172,9.172,21.421,0.017
p1,2115,Failed - Agent got blocked,17.514,25.02,0,,,,0.0,Completed,100.0,0,1,1,other,127,0.001,0.006,-11.197,11.197,41.901,0.038
p1,2286,Completed,60.0,100,1,,9.5,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,,163,0.001,0.002,-3.506,3.506,6.139,0.014
p1,2373,Failed - Agent got blocked,7.74,7.74,0,,,,0.0,Completed,100.0,0,1,1,gap_stop,40,0.001,0.007,1.858,1.858,3.918,0.012
p1,2390,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,101,0.069,0.987,-10.264,10.264,15.447,1.16
p1,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,226,0.001,0.006,-19.275,19.275,68.265,0.028
p1,24330,Failed - Agent got blocked,8.04,8.04,0,,,,0.0,Completed,100.0,0,1,1,other,74,0.001,0.005,-5.605,5.605,8.771,0.027
p1,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,224,0.001,0.813,-7.28,7.28,8.625,0.02
p1,2668,Failed - Agent got blocked,24.801,35.43,0,,,,0.0,Completed,100.0,0,1,1,other,181,0.027,0.034,-4.409,4.409,38.814,0.107
p1,3564,Failed - Agent got blocked,26.103,37.29,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,other,171,0.002,0.068,-8.178,8.178,13.563,0.03
p1,4183,Failed - Agent got blocked,14.833,21.19,0,,,,0.0,Completed,100.0,0,1,1,other,104,0.001,0.004,-8.27,8.27,20.494,0.021
p2,11381,Failed - Agent got blocked,11.94,11.94,0,,,,0.0,Completed,100.0,0,1,1,other,75,0.002,0.006,-6.94,6.94,8.86,0.024
p2,1711,Completed,60.0,100,1,,13.9,vehicle.mini.cooper_s_2021,0.0,Completed,100.0,1,0,0,,244,0.002,0.006,-11.842,11.842,18.062,0.031
p2,17563,Failed - Agent got blocked,16.457,23.51,0,,,,0.0,Completed,100.0,0,1,1,other,159,0.001,0.005,-8.82,8.82,12.902,0.027
p2,1825,Failed - Agent got blocked,16.996,24.28,0,,,,0.0,Completed,100.0,0,1,1,other,167,0.001,0.004,-8.35,8.35,16.391,0.015
p2,1833,Failed - Agent got blocked,21.091,30.13,0,,,,0.0,Completed,100.0,0,1,1,other,197,0.003,0.008,-8.002,8.002,15.422,0.02
p2,1852,Failed - Agent got blocked,23.723,33.89,0,,,,0.0,Completed,100.0,0,1,1,other,229,0.009,0.019,-6.131,6.131,11.934,0.038
p2,1956,Completed,60.0,100,1,,5.2,vehicle.mercedes.coupe_2020,16.2,Completed,100.0,1,0,0,,27,0.377,1.504,1.352,1.352,3.742,20.721
p2,2084,Failed - Agent got blocked,17.766,25.38,0,,,,0.0,Completed,100.0,0,1,1,other,133,0.001,0.003,-9.656,9.656,29.467,0.026
p2,2086,Failed - Agent got blocked,16.128,23.04,0,,,,0.0,Completed,100.0,0,1,1,other,130,0.059,0.088,-10.991,10.991,18.798,0.256
p2,2091,Completed,48.0,100,1,,26.9,vehicle.mini.cooper_s_2021,1.2,Completed,100.0,1,0,0,,121,0.006,0.018,-10.771,10.771,33.881,0.137
p2,2115,Failed - Agent got blocked,17.514,25.02,0,,,,0.0,Completed,100.0,0,1,1,other,113,0.004,0.011,-9.294,9.294,29.744,0.123
p2,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,163,0.001,0.001,-3.319,3.319,5.913,0.014
p2,2373,Failed - Agent got blocked,7.74,7.74,0,,,,0.0,Completed,100.0,0,1,1,gap_stop,35,0.001,0.034,1.713,1.713,4.587,0.032
p2,2390,Failed - Agent got blocked,11.094136,26.03,1,,3.3,static.fence,60.1,Completed,100.0,1,1,1,pinned,49,0.053,1.567,-3.036,3.036,8.863,3.447
p2,24211,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,256,0.001,0.006,-17.283,17.283,68.377,0.021
p2,24330,Failed - Agent got blocked,8.04,8.04,0,,,,0.0,Completed,100.0,0,1,1,other,77,0.001,0.003,-5.798,5.798,8.378,0.046
p2,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,,204,0.001,1.307,-14.566,14.566,16.732,0.026
p2,2668,Failed - Agent got blocked,24.801,35.43,0,,,,0.0,Completed,100.0,0,1,1,other,170,0.068,0.142,-3.807,3.807,37.001,0.305
p2,3564,Failed - Agent got blocked,26.103,37.29,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,other,194,0.016,0.096,-12.627,12.627,16.832,0.13
p2,4183,Failed - Agent got blocked,14.833,21.19,0,,,,0.0,Completed,100.0,0,1,1,other,106,0.002,0.005,-7.722,7.722,10.35,0.044
