seed,prior,arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,e_layer,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi
0,cinque,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0511,False,0.0000,-0.7692,-0.8548,-0.6686
0,cinque,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0480,False,0.0000,-0.7692,-0.8548,-0.6686
0,cinque,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0529,False,0.0000,-0.7692,-0.8548,-0.6686
0,cinque,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0677,False,0.0044,-0.7648,-0.8548,-0.6564
0,cinque,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0679,False,0.0592,-0.7101,-0.8133,-0.5933
0,cinque,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0552,False,0.0947,-0.6746,-0.7735,-0.5586
0,cinque,ridge_late siglip2 pooled,406,0.0123,0.0000,0.0297,0.0497,False,0.1524,-0.6169,-0.7218,-0.4985
0,cinque,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0539,False,0.4172,-0.3521,-0.4572,-0.2544
0,cinque,prior [cinque],406,0.0025,0.0000,0.0079,0.0505,False,0.7692,0.0000,0.0000,0.0000
0,cinque,pair-Δ qwen L18_last [cinque],406,0.4212,0.3350,0.5000,0.0493,True,0.7145,-0.0547,-0.1106,-0.0138
0,cinque,pair-Δ dual qwen L18_last [cinque],406,0.4335,0.3504,0.5067,0.0510,True,0.8003,0.0311,0.0058,0.0579
0,cinque,pair-Δ vjepa2 mean [cinque],406,0.4581,0.3683,0.5493,0.0584,True,0.7559,-0.0133,-0.0297,0.0029
0,cinque,pair-Δ dual vjepa2 mean [cinque],406,0.4704,0.3817,0.5633,0.0540,True,0.8151,0.0459,0.0250,0.0677
0,cinque,pair-Δ vjepa2 last_mean [cinque],406,0.4631,0.3750,0.5536,0.0502,True,0.7618,-0.0074,-0.0246,0.0102
