route,variant,segment,kind,band,subset,count,pose_position_error_m_rms,pose_position_error_m_p90_abs,pose_position_error_m_p95_abs,pose_position_error_m_max_abs,pose_left_error_m_mean,pose_forward_error_m_mean,pose_heading_error_deg_p95_abs,cte_m_rms,heading_deg_p95_abs,lateral_jerk_mps3_p95_abs
26966,baseline-zero,1,right-sharp,window,all,70,0.35796225491304234,0.49872019639465,0.5341944136105111,0.5837417317134121,-0.28422965312315407,0.12149908528281642,0.4493088645236962,0.5586937052558099,4.271546829218098,33.81120271213004
26966,baseline-zero,1,right-sharp,entry,all,13,0.08191601253800254,0.11755504423438162,0.1237898662527931,0.1328652593919249,0.06278545366563032,0.003498065988597789,0.028806000748946375,0.06007461428117538,0.3161827507216518,10.162340564564843
26966,baseline-zero,1,right-sharp,core,all,45,0.38921178148027474,0.5266164304969159,0.5458285448075216,0.5837417317134121,-0.33278953942367073,0.12459573292061504,0.4617278603922952,0.6089106137415474,4.327016326706244,35.40138527636472
26966,baseline-zero,1,right-sharp,exit,all,12,0.41288960055757723,0.45425807473082686,0.47100159847629375,0.49085382212654877,-0.34859149593966926,0.21467380419828444,0.33339880858595083,0.6529257327061225,4.138412393597735,9.186432261160386
26966,baseline-zero,1,right-sharp,post10m,all,26,0.2658058055899177,0.38273735118617014,0.39873937432773404,0.4055725961166394,-0.20878083027341335,0.10858856876400326,0.1737368117998572,0.31704522217735676,2.930095643615515,12.424234699350592
26966,baseline-zero,1,right-sharp,full_route,all,387,0.21172411451095458,0.39805620840934297,0.45426684639729653,0.5837417317134121,-0.10197845683344456,0.03435627084158164,0.30848583346856057,0.25789643245957167,7.738825230980087,26.08450114976189
26966,baseline-zero,1,right-sharp,endpoint_last5m,all,160,0.1039255876888394,0.15440183302510735,0.1658697093977116,0.21250577182448,-0.024092551599826095,0.029818211582586757,0.15304529257945948,0.06636853632513028,7.738825230980087,23.24615688164153
26966,baseline-zero,1,right-sharp,terminal_hold,all,101,0.09507845138272233,0.13459359149049224,0.15274264807555135,0.16556643969836976,0.005590220607345187,0.0167093338062122,0.06155914847633598,0.07439315775614598,7.738825230980087,0.6318257495550799
26966,baseline-zero,1,right-sharp,straight_guard_1,all,87,0.22386655785023482,0.34597860757943866,0.43573802728687167,0.5075701052529328,-0.10444104909017439,-0.055925885552354206,0.036468755158058315,0.04275629587445598,1.0249502113389486,7.81251134111716
26966,candidate-fixed-k,1,right-sharp,window,all,70,0.11229347204453821,0.17157123095802557,0.18469882901264498,0.2244440015298604,-0.08364909832878943,0.03051970991912047,0.46269493469936696,0.42902121471791116,5.449550739360296,34.23395679233288
26966,candidate-fixed-k,1,right-sharp,entry,all,13,0.07998650212455079,0.11521755303957533,0.12112371879227093,0.1298635677031423,0.06047444384402644,0.0035367973915212017,0.02892989352716756,0.06393634648328757,0.29606404069551817,9.677487645139113
26966,candidate-fixed-k,1,right-sharp,core,all,45,0.09835551068265712,0.1549664813282277,0.1773512072687197,0.21068956765263513,-0.07767669965198394,0.01656163545579723,0.4741215091447263,0.5008625724752003,5.556238156572905,35.10037270757515
26966,candidate-fixed-k,1,right-sharp,exit,all,12,0.16664939160712328,0.19626423947678753,0.2098672373411474,0.2244440015298604,-0.13039249766351052,0.08916388738741958,0.35579297559915884,0.35903797387646563,5.0801823375145885,14.24918666503441
26966,candidate-fixed-k,1,right-sharp,post10m,all,25,0.177942235085184,0.24427772276015633,0.252303074692704,0.26591430998928633,-0.14369979496492202,0.059843611754393074,0.18352884960504845,0.10164823025767283,2.149624318694889,12.75912142465447
26966,candidate-fixed-k,1,right-sharp,full_route,all,387,0.14516521322077713,0.21041975202287239,0.2623015470323449,0.5075701052529328,-0.05942245931715015,0.013491655699411225,0.3255323750601089,0.1917023803223627,7.517237573051612,28.639937628791095
26966,candidate-fixed-k,1,right-sharp,endpoint_last5m,all,160,0.10374437312315064,0.1544661169415508,0.16583533322235133,0.21254368788691685,-0.02409101628453984,0.02957619575185853,0.11607057333102683,0.06353855379204297,7.517237573051612,29.075394161375762
26966,candidate-fixed-k,1,right-sharp,terminal_hold,all,101,0.09510447734319187,0.13459637721563236,0.1527459640728005,0.16556875950074873,0.005638770451271029,0.016823502779792443,0.04072728532017844,0.07139302860894452,7.517237573051612,0.6013456223815272
26966,candidate-fixed-k,1,right-sharp,straight_guard_1,all,87,0.22408360228821958,0.34597860757943866,0.43573802728687167,0.5075701052529328,-0.10224756341680548,-0.055938489162924834,0.03706186322007148,0.0426848313485415,1.0279607708798109,7.145140665744971
17563,baseline-zero,1,S,window,all,70,0.1906970565683305,0.2822434768344697,0.2984709831293214,0.3401979045872541,0.04711857420407054,0.14704979232633753,0.6740495954014868,0.22524996129433336,3.8667923747290076,41.173538197837885
17563,baseline-zero,1,S,entry,all,17,0.0686700432182605,0.09503760612309599,0.10175386986966156,0.11651326563151325,0.04826552698521252,-0.03080858054761332,0.10382499070320181,0.035265192581975684,1.5186180110303094,14.601443251261646
17563,baseline-zero,1,S,core,all,36,0.23002748616724478,0.2983306813144644,0.3010517585111822,0.3401979045872541,0.09344840817931345,0.18532266945821518,0.716605834673529,0.2985452904591189,3.759536075998367,43.54077062744674
17563,baseline-zero,1,S,exit,all,17,0.13592436621953363,0.1744166914146387,0.18602423717018288,0.22689716744812374,-0.05453824253688229,0.10265740531828942,0.23280080189653868,0.12446131742782612,4.929597519144412,23.737871049004283
17563,baseline-zero,1,S,post10m,all,33,0.09432965309240267,0.14004971753250664,0.15136746158273615,0.16520078009345301,0.03776542439586436,0.053597355181064614,0.14058107030274006,0.066904373569724,1.4055502833232012,15.572732535603503
17563,baseline-zero,1,S,full_route,all,559,0.1458514264826194,0.2186916295817553,0.2690062781668043,0.5071539982707352,0.04965692516501798,0.0444379504932094,0.4717203046843876,0.1431001117818039,4.148923183255355,30.043571527913198
17563,baseline-zero,1,S,endpoint_last5m,all,156,0.12103428179667607,0.1767168378585426,0.2079319451366422,0.23576306744217373,0.05547903581093745,0.047084994615498824,0.12876168082430994,0.09755188307166433,4.148923183255355,23.349719976361307
17563,baseline-zero,1,S,terminal_hold,all,101,0.13430361993957937,0.20460762920717593,0.21284460398680444,0.23576306744217373,0.052328250095524186,0.07730346325967252,0.07711273838472582,0.10990553987665416,4.148923183255355,0.9682173922416926
17563,baseline-zero,1,S,straight_guard_1,all,111,0.1973099948943963,0.3351582795939583,0.38009924109153825,0.5071539982707352,0.08493692533093816,0.014318295935931216,0.09737475232057208,0.05728397550604951,1.4431423077544974,14.522088327926994
17563,baseline-zero,1,S,straight_guard_2,all,50,0.10044878116307446,0.1415851295285539,0.15451505954506278,0.16520078009345301,0.05074168729976619,0.05557736705859171,0.09611258873555958,0.06847151401359927,1.3738949523645583,11.897180599383836
17563,baseline-zero,2,S,window,all,71,0.1268318153658611,0.19918217293659268,0.23959503849800806,0.27173494868558534,0.045486729447739495,0.053380117390581745,0.7583197469466112,0.2734101602558478,5.773899005711279,50.66021538278907
17563,baseline-zero,2,S,entry,all,17,0.15784531203682045,0.18994487502725285,0.19517942602417113,0.20609625671048512,0.08976846171850406,0.12352090961799624,0.1084497568203783,0.019033517190218934,1.1750257203220402,15.112621858167225
17563,baseline-zero,2,S,core,all,38,0.1542860107058929,0.23650007512428764,0.25619739908856926,0.27173494868558534,0.08644348214190657,0.0572375708880626,0.8219660306561976,0.3248140020266882,6.500852264697306,54.42191439118579
17563,baseline-zero,2,S,exit,all,16,0.09328411412786768,0.12987831571259084,0.13227875630908806,0.13279854746025394,-0.039645586240824454,0.06450369327625526,0.24124933639592056,0.27134063926626595,4.6535766528062865,31.90653058709374
17563,baseline-zero,2,S,post10m,all,34,0.10599707274729378,0.14314423561977468,0.15191228165279952,0.16164955029917333,-0.05129223853396957,-0.060702615682604044,0.21498972857875506,0.09375486641071998,2.962024761823786,16.079532549595648
17563,candidate-fixed-k,1,S,window,all,70,0.16547231408349117,0.2577705840781893,0.2690533990621549,0.296503298077414,0.03427869886761936,0.1375674593995149,0.6379816694454543,0.20977379741485228,3.7047696411926427,43.23124687868295
17563,candidate-fixed-k,1,S,entry,all,17,0.07272827359866166,0.09915654392476178,0.10803398299642161,0.12119561218292497,0.05347118483964368,-0.03115813368732913,0.10497067555075276,0.036630317787379726,1.579907062279329,13.673078333837328
17563,candidate-fixed-k,1,S,core,all,36,0.19480295865674102,0.2689872226929357,0.27292128559620316,0.296503298077414,0.03809813849470701,0.17195065108824534,0.6869826628202378,0.27233761730208084,3.661663470729923,44.54848513004784
17563,candidate-fixed-k,1,S,exit,all,17,0.11633079311558443,0.1555577685546526,0.17826394134274645,0.23528577588004182,0.01277583993678372,0.09191817368766578,0.24263761822297253,0.1389556848980282,4.553450844050614,19.093475171929434
17563,candidate-fixed-k,1,S,post10m,all,33,0.10163144568833665,0.15140671241246204,0.16457736105584472,0.173936585642057,0.06417309179642308,0.04994284178569576,0.1638759973358892,0.05405972166145774,1.8501156373592034,20.607571560319357
17563,candidate-fixed-k,1,S,full_route,all,559,0.13889119452562557,0.19680390770357553,0.25289446321221887,0.5080358556848821,0.049789727116791624,0.04126153907284832,0.49839645792408616,0.13623467492209232,3.9642002828647676,27.927999595856672
17563,candidate-fixed-k,1,S,endpoint_last5m,all,156,0.12102490347928341,0.17656158087884127,0.20758754562947745,0.23547382423678917,0.056146540989014504,0.047063046216505984,0.12228094960573745,0.09787463924657444,3.9642002828647676,23.22420263171786
17563,candidate-fixed-k,1,S,terminal_hold,all,101,0.13411311542009935,0.20450868826399637,0.21261893187418576,0.23547382423678917,0.05251939778959787,0.07695015339782865,0.020761213912535964,0.11052610511484204,3.9642002828647676,1.071661319498065
17563,candidate-fixed-k,1,S,straight_guard_1,all,111,0.1978542013754824,0.3350803167151925,0.38078587523866747,0.5080358556848821,0.084048332932092,0.015011707325791861,0.10514851668762795,0.057274351529998435,1.4342139464706503,14.353023257492485
17563,candidate-fixed-k,1,S,straight_guard_2,all,50,0.1046577095423704,0.1464289677606472,0.1616545921239088,0.173936585642057,0.05480634200318422,0.054197722067770536,0.10091364520333891,0.07640609201936074,1.2432202573307685,12.528705705774374
