arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass,model,seed
M-C pair [cinque],406,0.4334975369458128,0.350400550029417,0.5067287505095801,0.0509593936632048,0.8002958579881657,0.0310650887573964,0.0058306916029044,0.0579494799405646,True,True,True,True,cinque,0
prior s0 [cinque],406,0.0024630541871921,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False,cinque,0
ridge_late NAV [cinque],406,0.0394088669950738,0.019108280254777,0.0623642817371937,0.0504537132532239,0.2322485207100591,-0.5369822485207101,-0.6356856273355859,-0.4408209081667231,False,False,True,False,cinque,0
cls_late P5 s0 [cinque],406,0.0172413793103448,0.0024627523423162,0.0371310161413163,0.0518368391176776,0.2810650887573964,-0.4881656804733728,-0.595538174512055,-0.3826593877948918,False,False,True,False,cinque,0
cls_late NAV s0 [cinque],406,0.0246305418719211,0.0074803685575144,0.0452402873330635,0.0621279351449883,0.0784023668639053,-0.6908284023668639,-0.7845571953658291,-0.5905137855634865,False,False,True,False,cinque,0
prior s1 [cinque],406,0.0,0.0,0.0,0.0449264065110849,0.7736686390532544,0.0,0.0,0.0,False,True,True,False,cinque,1
cls_late P5 s1 [cinque],406,0.0049261083743842,0.0,0.0121960542999925,0.053431431335396,0.2130177514792899,-0.5606508875739645,-0.6626699963627654,-0.4575897954946539,False,False,True,False,cinque,1
prior s2 [cinque],406,0.0024630541871921,0.0,0.0080005347593582,0.0444103326697527,0.7855029585798816,0.0,0.0,0.0,False,True,True,False,cinque,2
cls_late P5 s2 [cinque],406,0.0073891625615763,0.0,0.0190223861283643,0.0491997057859432,0.2174556213017751,-0.5680473372781065,-0.6905890957093959,-0.4494838462084223,False,False,True,False,cinque,2
M-C pair [lebowski],406,0.4162561576354679,0.3243885959129862,0.5,0.0495606776517241,0.772189349112426,0.0665680473372781,0.0162235914345667,0.1213665450885035,True,True,True,True,lebowski,0
prior s0 [lebowski],406,0.0270935960591133,0.0030950284507815,0.0589570498010525,0.0515786023233316,0.7056213017751479,0.0,0.0,0.0,False,True,True,False,lebowski,0
ridge_late NAV [lebowski],406,0.0320197044334975,0.0126254675215632,0.0544045856684642,0.0520842827333125,0.0917159763313609,-0.613905325443787,-0.723584335214537,-0.5044056673447441,False,False,True,False,lebowski,0
cls_late P5 s0 [lebowski],406,0.0098522167487684,0.0,0.0224509748356381,0.0490653906730946,0.1804733727810651,-0.5251479289940828,-0.6344589378232562,-0.4239343777331895,False,False,True,False,lebowski,0
cls_late NAV s0 [lebowski],406,0.0320197044334975,0.0116942064463484,0.0547574751638516,0.0522857554025855,0.0813609467455621,-0.6242603550295858,-0.7212426031559868,-0.5139880997172742,False,False,True,False,lebowski,0
prior s1 [lebowski],406,0.022167487684729,0.0,0.0506681159420289,0.0524352609151016,0.7026627218934911,0.0,0.0,0.0,False,True,True,False,lebowski,1
cls_late P5 s1 [lebowski],406,0.0073891625615763,0.0,0.0188246392896781,0.0498600884241159,0.2352071005917159,-0.4674556213017751,-0.5891272653129234,-0.3416762103127034,False,False,True,False,lebowski,1
prior s2 [lebowski],406,0.0344827586206896,0.0099436232879187,0.0649421230942969,0.0525024184715259,0.7071005917159763,0.0,0.0,0.0,False,True,True,False,lebowski,2
cls_late P5 s2 [lebowski],406,0.0024630541871921,0.0,0.0080005347593582,0.0505104773782969,0.1183431952662721,-0.5887573964497042,-0.7044801472695605,-0.4738376209582252,False,False,True,False,lebowski,2
