metric,row,n,score,lo,hi
PDMS,ridge_late [cinque],12146,73.52350931819456,72.85648262514759,74.18197337625922
PDMS,cls_late G3 [cinque],12146,77.87813540799537,77.2621241024853,78.47875725345152
PDMS,Hydra s0 [cinque],12146,84.18316569113811,83.70409831964636,84.69561617363809
PDMS,Hydra s0 + g2 Delta [cinque],12146,79.04776752729077,78.60701687690634,79.49206346607389
PDMS,Hydra s1 [cinque],12146,83.75252137397065,83.27768153252435,84.22620048230439
PDMS,Hydra s1 + g2 Delta [cinque],12146,78.64236675596177,78.21098169518099,79.0653299916861
PDMS,Hydra s2 [cinque],12146,84.26243696649924,83.79960677893386,84.69824401845533
PDMS,Hydra s2 + g2 Delta [cinque],12146,78.76990851569762,78.35467192047567,79.20254877346915
PDMS,Hydra s0 + Delta [cinque],12146,69.0115760669356,68.5428222389279,69.48433392417923
PDMS,ridge_late [lebowski],12146,72.4149628176169,71.75249626004715,73.11769090987107
PDMS,cls_late G3 [lebowski],12146,77.25295128207758,76.63175002073933,77.8735829248548
PDMS,Hydra s0 [lebowski],12146,84.36951119129209,83.91089471134066,84.86481495096399
PDMS,Hydra s0 + g2 Delta [lebowski],12146,76.0356673460452,75.57764305606905,76.4687534497329
PDMS,Hydra s1 [lebowski],12146,84.19686602965042,83.68559939526799,84.68232860103763
PDMS,Hydra s1 + g2 Delta [lebowski],12146,75.71343848991332,75.2594611961774,76.12985656301574
PDMS,Hydra s2 [lebowski],12146,84.16389588125067,83.66749729854547,84.64340299395208
PDMS,Hydra s2 + g2 Delta [lebowski],12146,76.30428011907284,75.83494092904712,76.78752375927519
PDMS,Hydra s0 + Delta [lebowski],12146,64.2731389972351,63.82835491520783,64.71499827421032
EPDMS,ridge_late [cinque],12146,73.851093705465,73.15401236477813,74.54855947390743
EPDMS,cls_late G3 [cinque],12146,77.39989186709589,76.71426417843904,78.02308280956997
EPDMS,Hydra s0 [cinque],12146,82.57280494766384,82.0600402408947,83.0621850530873
EPDMS,Hydra s0 + g2 Delta [cinque],12146,74.52308192742414,74.08261803491835,74.95222135852195
EPDMS,Hydra s1 [cinque],12146,77.96446638843028,77.49535750966744,78.41690539256662
EPDMS,Hydra s1 + g2 Delta [cinque],12146,72.5005669471889,72.08477447191733,72.9197846158075
EPDMS,Hydra s2 [cinque],12146,82.31707942929971,81.86662997534485,82.78081085569544
EPDMS,Hydra s2 + g2 Delta [cinque],12146,74.21757491478185,73.80400292612109,74.64539105390352
EPDMS,Hydra s0 + Delta [cinque],12146,63.61711372476194,63.179732431334855,64.0194646759826
EPDMS,ridge_late [lebowski],12146,72.87266915773264,72.21089061005479,73.60599734523007
EPDMS,cls_late G3 [lebowski],12146,76.66159455049765,76.03364189906468,77.33260774224357
EPDMS,Hydra s0 [lebowski],12146,82.15160870453165,81.66055166993628,82.68146569654232
EPDMS,Hydra s0 + g2 Delta [lebowski],12146,71.44514995290989,71.006054473948,71.89349938141217
EPDMS,Hydra s1 [lebowski],12146,82.01526188778632,81.5423539186278,82.51856038714119
EPDMS,Hydra s1 + g2 Delta [lebowski],12146,71.24067261489107,70.78380766103145,71.68425519019759
EPDMS,Hydra s2 [lebowski],12146,82.14153021553126,81.61273019309793,82.64451468096695
EPDMS,Hydra s2 + g2 Delta [lebowski],12146,71.89513844854007,71.43421157328572,72.35369706633047
EPDMS,Hydra s0 + Delta [lebowski],12146,59.374758806598535,58.95432060720055,59.78772901784794
