model,seed,set,null_frames,top10_overlap,cls_late_top10_overlap (post hoc),distinct_anchors_null,distinct_anchors_navtest,dac_sel_null,dac_sel_navtest,dac_sel_diff,dac_all_diff,comparable
cinque,0,p5,6352,0.1,0.0,282,901,0.9505451321601868,0.8968333005905151,0.05371183156967163,0.14634284377098083,False
cinque,0,i3,1584,0.1,0.0,250,901,0.7997259497642517,0.8968333005905151,-0.09710735082626343,-0.008834093809127808,False
cinque,1,p5,6352,0.1,0.0,324,808,0.9698101878166199,0.9253067374229431,0.04450345039367676,0.14661255478858948,False
cinque,1,i3,1584,0.1,0.0,238,808,0.8720250129699707,0.9253067374229431,-0.05328172445297241,-0.009142577648162842,False
cinque,2,p5,6352,0.3,0.0,291,819,0.963071882724762,0.9210582971572876,0.042013585567474365,0.14435362815856934,True
cinque,2,i3,1584,0.2,0.0,255,819,0.8608324527740479,0.9210582971572876,-0.060225844383239746,-0.005499839782714844,False
lebowski,0,p5,6352,0.0,0.0,321,886,0.9056093692779541,0.9018158316612244,0.0037935376167297363,0.11472553014755249,False
lebowski,0,i3,1584,0.0,0.1,287,886,0.8198421001434326,0.9018158316612244,-0.08197373151779175,0.014822065830230713,False
lebowski,1,p5,6352,0.2,0.0,309,849,0.9085590839385986,0.9080522656440735,0.0005068182945251465,0.11398527026176453,False
lebowski,1,i3,1584,0.0,0.0,267,849,0.8272168040275574,0.9080522656440735,-0.08083546161651611,0.014438509941101074,False
lebowski,2,p5,6352,0.0,0.0,283,882,0.9010545015335083,0.8999137878417969,0.0011407136917114258,0.11224067211151123,False
lebowski,2,i3,1584,0.0,0.0,277,882,0.8098793625831604,0.8999137878417969,-0.09003442525863647,0.017703741788864136,False
