metric,a,b,group,n,delta,lo,hi
PDMS,Hydra s0 [cinque],ridge_late [cinque],all,12146,10.659656372943562,9.96314302547746,11.360150944288167
PDMS,Hydra s0 [cinque],ridge_late [cinque],ped_cyc_corridor,897,12.881821112932169,10.385142942242812,15.381457340293137
PDMS,Hydra s0 [cinque],ridge_late [cinque],straight,4365,10.573716333855046,9.545690210135966,11.601966339063994
PDMS,Hydra s1 [cinque],ridge_late [cinque],all,12146,10.229012055776098,9.504420266607195,10.920145342313758
PDMS,Hydra s1 [cinque],ridge_late [cinque],ped_cyc_corridor,897,12.861056375055266,10.325421205910718,15.44086198644185
PDMS,Hydra s1 [cinque],ridge_late [cinque],straight,4365,9.158195129919037,8.098641785268525,10.21487170445783
PDMS,Hydra s2 [cinque],ridge_late [cinque],all,12146,10.738927648304685,10.062284882223683,11.440407636774893
PDMS,Hydra s2 [cinque],ridge_late [cinque],ped_cyc_corridor,897,13.686409487436539,11.277778591711,16.14822934701769
PDMS,Hydra s2 [cinque],ridge_late [cinque],straight,4365,10.006760207403936,8.999551425935708,11.03583503144771
PDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],all,12146,-5.135398163847343,-5.519358266569535,-4.758085440081845
PDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],ped_cyc_corridor,897,-8.869428399755291,-10.538440190568538,-7.16130198005962
PDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],straight,4365,-5.745744229380979,-6.251835575543825,-5.233659087422984
PDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],all,12146,-5.110154618008894,-5.47429460340698,-4.740632677040679
PDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],ped_cyc_corridor,897,-8.955638410497903,-10.563182729988968,-7.374569485905616
PDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],straight,4365,-5.601473261627829,-6.121306015652332,-5.076175348189116
PDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],all,12146,-5.492528450801603,-5.8429633537026096,-5.137984867880078
PDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],ped_cyc_corridor,897,-9.861087979745335,-11.429023510825715,-8.314825021865694
PDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],straight,4365,-6.013810059162323,-6.509230302532918,-5.512811728193386
PDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],all,12146,-15.171589624202522,-15.700581957861736,-14.615210996023539
PDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],ped_cyc_corridor,897,-18.40536515336364,-20.377168307573704,-16.472019620800342
PDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],straight,4365,-14.86412868452525,-15.539552437532617,-14.20286064120336
PDMS,Hydra s0 [lebowski],ridge_late [lebowski],all,12146,11.954548373675195,11.222931039505509,12.690887952804037
PDMS,Hydra s0 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,13.12842555292818,10.644742465255723,15.62399967044609
PDMS,Hydra s0 [lebowski],ridge_late [lebowski],straight,4365,11.332526171337607,10.261154994080494,12.402368765536584
PDMS,Hydra s1 [lebowski],ridge_late [lebowski],all,12146,11.781903212033525,11.065224621367037,12.518454797448653
PDMS,Hydra s1 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,13.135556036111481,10.638389738107744,15.612176562461025
PDMS,Hydra s1 [lebowski],ridge_late [lebowski],straight,4365,10.799449333116744,9.706215825023847,11.880294469783937
PDMS,Hydra s2 [lebowski],ridge_late [lebowski],all,12146,11.748933063633777,11.021167277139787,12.475971327057756
PDMS,Hydra s2 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,11.829089725466893,9.22093692467955,14.451637774047441
PDMS,Hydra s2 [lebowski],ridge_late [lebowski],straight,4365,11.3923308043631,10.315037000321677,12.472613114358232
PDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],all,12146,-8.333843845246875,-8.77745652136544,-7.870384985653124
PDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],ped_cyc_corridor,897,-13.518628335590597,-15.285736549918362,-11.653357511965403
PDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],straight,4365,-9.636074691064326,-10.19808189059092,-9.035640110246183
PDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],all,12146,-8.483427539737104,-8.937051179701804,-8.03972705054328
PDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],ped_cyc_corridor,897,-12.91503734217663,-14.791746830718244,-11.075816129455376
PDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],straight,4365,-9.259907535092323,-9.862039144177746,-8.663182387010773
PDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],all,12146,-7.859615762177817,-8.31796109247107,-7.396569525843982
PDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],ped_cyc_corridor,897,-12.073758203667808,-13.999280051159804,-10.128468583101808
PDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],straight,4365,-9.672513406883118,-10.270213534053886,-9.072246077214228
PDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],all,12146,-20.096372194056997,-20.702588779098093,-19.484768663922942
PDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],ped_cyc_corridor,897,-26.133293423493797,-28.41585116373989,-23.92499579873714
PDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],straight,4365,-18.169104688068867,-18.870910584657498,-17.464557502441398
EPDMS,Hydra s0 [cinque],ridge_late [cinque],all,12146,8.721711242198865,8.033688881324737,9.402876888226967
EPDMS,Hydra s0 [cinque],ridge_late [cinque],ped_cyc_corridor,897,11.524772528356156,8.980688359390822,14.17068991003039
EPDMS,Hydra s0 [cinque],ridge_late [cinque],straight,4365,7.240703414925154,6.195958229529047,8.294227042407593
