metric,a,b,group,n,delta,lo,hi
EPDMS,Hydra s1 [cinque],ridge_late [cinque],all,12146,4.113372682965284,3.4176018292604673,4.821082750309646
EPDMS,Hydra s1 [cinque],ridge_late [cinque],ped_cyc_corridor,897,7.3434072376271216,4.8355155931353195,9.938249361648891
EPDMS,Hydra s1 [cinque],ridge_late [cinque],straight,4365,1.1336427660632036,0.0736971175379265,2.1734993433531864
EPDMS,Hydra s2 [cinque],ridge_late [cinque],all,12146,8.465985723834713,7.777194150444883,9.171150759994063
EPDMS,Hydra s2 [cinque],ridge_late [cinque],ped_cyc_corridor,897,11.927973219120755,9.4723001019628,14.348280766015725
EPDMS,Hydra s2 [cinque],ridge_late [cinque],straight,4365,6.07760240957071,5.0792271959909145,7.098785269886111
EPDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],all,12146,-8.049723020239702,-8.429398909270956,-7.659381173391179
EPDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],ped_cyc_corridor,897,-12.57139433019433,-14.185432418945418,-10.897413567590686
EPDMS,Hydra s0 + g2 Delta [cinque],Hydra s0 [cinque],straight,4365,-10.602959434578302,-11.087859217066542,-10.109766249802801
EPDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],all,12146,-5.463899441241373,-5.811539031266558,-5.123467844406491
EPDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],ped_cyc_corridor,897,-9.663916707488697,-11.156181438024323,-8.157989362490852
EPDMS,Hydra s1 + g2 Delta [cinque],Hydra s1 [cinque],straight,4365,-7.13683069138962,-7.616287424498995,-6.635767418839002
EPDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],all,12146,-8.09950451451787,-8.454810267173743,-7.746030469791918
EPDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],ped_cyc_corridor,897,-13.425941980965753,-14.990302215439133,-11.882527113683086
EPDMS,Hydra s2 + g2 Delta [cinque],Hydra s2 [cinque],straight,4365,-10.252510651200922,-10.735154502795051,-9.764790521754446
EPDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],all,12146,-18.955691222901923,-19.493408072851974,-18.429962753281984
EPDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],ped_cyc_corridor,897,-23.084550079237953,-24.982107585732365,-21.224271194389452
EPDMS,Hydra s0 + Delta [cinque],Hydra s0 [cinque],straight,4365,-20.647256260648295,-21.287799783546475,-19.99950361657335
EPDMS,Hydra s0 [lebowski],ridge_late [lebowski],all,12146,9.278939546799013,8.551172218899369,9.99920524603882
EPDMS,Hydra s0 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,10.218297862338469,7.676635473672108,12.74173096407144
EPDMS,Hydra s0 [lebowski],ridge_late [lebowski],straight,4365,7.094042650001253,5.987094866309157,8.169394217631815
EPDMS,Hydra s1 [lebowski],ridge_late [lebowski],all,12146,9.142592730053686,8.42150702851885,9.857963732771518
EPDMS,Hydra s1 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,9.941765467487528,7.392569782322708,12.480745246566812
EPDMS,Hydra s1 [lebowski],ridge_late [lebowski],straight,4365,6.5412814117308145,5.451608683542495,7.652992417971441
EPDMS,Hydra s2 [lebowski],ridge_late [lebowski],all,12146,9.268861057798624,8.537878049077227,9.996727473081956
EPDMS,Hydra s2 [lebowski],ridge_late [lebowski],ped_cyc_corridor,897,8.903005576537812,6.2295669197846975,11.537120315277212
EPDMS,Hydra s2 [lebowski],ridge_late [lebowski],straight,4365,7.592100458665718,6.521647191842791,8.678480020812001
EPDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],all,12146,-10.706458751621774,-11.14646301840905,-10.258702326527336
EPDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],ped_cyc_corridor,897,-16.373523922576496,-18.174011362218824,-14.583054869201922
EPDMS,Hydra s0 + g2 Delta [lebowski],Hydra s0 [lebowski],straight,4365,-13.577707390658606,-14.146826596650333,-12.997614228932925
EPDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],all,12146,-10.77458927289526,-11.220992893895485,-10.325402011000516
EPDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],ped_cyc_corridor,897,-15.589035072181689,-17.381541178650355,-13.731270164522295
EPDMS,Hydra s1 + g2 Delta [lebowski],Hydra s1 [lebowski],straight,4365,-13.147491234225535,-13.750653178662986,-12.536557611001955
EPDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],all,12146,-10.246391766991202,-10.691746338920495,-9.781932081861362
EPDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],ped_cyc_corridor,897,-15.004381122072443,-16.893368898542395,-13.124390691327642
EPDMS,Hydra s2 + g2 Delta [lebowski],Hydra s2 [lebowski],straight,4365,-13.774665491856588,-14.374918265512008,-13.18021852265286
EPDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],all,12146,-22.77684989793311,-23.358315082345012,-22.19516871573805
EPDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],ped_cyc_corridor,897,-29.095800951706153,-31.23188287224627,-26.92462261397764
EPDMS,Hydra s0 + Delta [lebowski],Hydra s0 [lebowski],straight,4365,-22.937363687357276,-23.664850229176924,-22.20782065456956
