comparison,route_id,preset,before,after,cruise_mps,before_pass,after_pass,before_status,after_status,before_failed_gates,after_failed_gates,full_cte_rms_m_before,full_cte_rms_m_after,full_cte_rms_m_delta_after_minus_before,full_cte_p95_m_before,full_cte_p95_m_after,full_cte_p95_m_delta_after_minus_before,moving_cte_rms_m_before,moving_cte_rms_m_after,moving_cte_rms_m_delta_after_minus_before,cruise_speed_rms_mps_before,cruise_speed_rms_mps_after,cruise_speed_rms_mps_delta_after_minus_before,endpoint_error_m_before,endpoint_error_m_after,endpoint_error_m_delta_after_minus_before,controller_step_median_ms_before,controller_step_median_ms_after,controller_step_median_ms_delta_after_minus_before,controller_step_p95_ms_before,controller_step_p95_ms_after,controller_step_p95_ms_delta_after_minus_before
adapter_revision,1773,carla,v1,v2,8,True,True,completed,completed,,,0.03985076788006684,0.037118082090734326,-0.0027326857893325146,0.07011572143872641,0.06841705442582573,-0.0016986670129006815,0.042550440176002326,0.0394632905468169,-0.0030871496291854233,0.2211600633226624,0.22769226746084317,0.006532204138180786,0.2244270956554546,0.15797066461132953,-0.06645643104412507,0.15455949869647156,0.14833400200586766,-0.006225496690603904,0.22949540143599734,0.2059739999822341,-0.023521401453763247
adapter_revision,1773,tcp,v1,v2,8,True,True,completed,completed,,,0.11008515728879159,0.07387638608379157,-0.03620877120500002,0.2377481284309077,0.16542597836101988,-0.07232215006988782,0.1250184392637272,0.08455413602614455,-0.04046430323758264,0.18383393376863846,0.20246233649792714,0.018628402729288673,0.06683439646625852,0.1288365933524075,0.06200219688614897,0.14397250015463214,0.1535164992674254,0.009543999112793244,0.22290900051302742,0.21453155422932466,-0.008377446283702766
adapter_revision,1773,pursuit,v1,v2,8,True,True,completed,completed,,,0.045859338471581794,0.04230393577958821,-0.0035554026919935866,0.07787807730976283,0.0715056215947536,-0.0063724557150092315,0.04909245039104654,0.043291647193192874,-0.005800803197853664,0.2216097865147679,0.2230767251716312,0.0014669386568633147,0.14093242328410116,0.19257334860083433,0.05164092531673317,0.14833400018687826,0.1517389973741956,0.003404997187317349,0.2254409497254527,0.207697601581458,-0.017743348143994697
matched_lookahead_ablation,1773,pursuit,v2,v2max,8.0,True,True,completed,completed,,,0.04230393577958821,0.04547082425782011,0.003166888478231905,0.0715056215947536,0.08292990238106394,0.011424280786310345,0.043291647193192874,0.048544863536896174,0.0052532163437033,0.2230767251716312,0.21996501177643032,-0.003111713395200888,0.19257334860083433,0.18784860647168947,-0.0047247421291448655,0.1517389973741956,0.15126999642234296,-0.00046900095185264945,0.207697601581458,0.20689879893325266,-0.0007988026482053379
adapter_revision,17563,carla,v1,v2,6.0,False,False,completed,completed,cruise_speed,cruise_speed,0.18895094050773328,0.18611255158692644,-0.0028383889208068447,0.5202805748223919,0.51516321036181,-0.0051173644605818636,0.21176264783051382,0.20893179751640165,-0.0028308503141121766,0.663271268879291,0.6389039693870894,-0.02436729949220162,0.22029252550685266,0.25940408532214126,0.039111559815288605,0.11857199569931254,0.12670249998336658,0.008130504284054041,0.19995239708805454,0.1849937470979057,-0.014958649990148842
adapter_revision,17563,tcp,v1,v2,6.0,False,False,completed,completed,"full_lateral_rms,full_lateral_p95,cruise_speed","full_lateral_rms,full_lateral_p95,cruise_speed",0.9051409326681112,0.6957156639153074,-0.20942526875280387,1.8941938084154313,1.643780856906411,-0.2504129515090203,1.012888133349662,0.7820750104843412,-0.23081312286532074,0.9215698647016686,0.6223592838215517,-0.29921058088011687,0.8860243307435474,0.21822221068527847,-0.6678021200582689,0.1293599998462014,0.12430000060703605,-0.005059999239165336,0.20460680243559184,0.179604603908956,-0.02500219852663585
adapter_revision,17563,pursuit,v1,v2,6.0,False,False,completed,completed,cruise_speed,cruise_speed,0.18905214010360266,0.1954286708006344,0.006376530697031729,0.44232928438953883,0.45569127365299206,0.013361989263453222,0.21239884170844106,0.21964674692549277,0.007247905217051709,0.6363210535788577,0.6443963143653287,0.008075260786471028,0.26593054153310075,0.26657390584259105,0.0006433643094903019,0.11922600242542103,0.11047999942093156,-0.008746003004489467,0.19051680283155287,0.1655644991842564,-0.024952303647296475
matched_lookahead_ablation,17563,pursuit,v2,v2max,6.0,False,False,completed,completed,cruise_speed,cruise_speed,0.1954286708006344,0.1543226995945846,-0.04110597120604978,0.45569127365299206,0.38060444643464375,-0.0750868272183483,0.21964674692549277,0.17299077374061564,-0.04665597318487713,0.6443963143653287,0.7547347732038965,0.11033845883856774,0.26657390584259105,0.2812230822623201,0.01464917641972907,0.11047999942093156,0.1249939996341709,0.014514000213239342,0.1655644991842564,0.17808974916988518,0.012525249985628789
adapter_revision,24240,carla,v1,v2,8,True,True,completed,completed,,,0.12849802391582105,0.13200230127848128,0.0035042773626602353,0.24177870418570085,0.24391722306062272,0.002138518874921863,0.15061887815528863,0.1537205379629192,0.00310165980763058,0.22639193465377125,0.22177933717656934,-0.004612597477201913,0.08572056391818059,0.07952746150361902,-0.0061931024145615715,0.09310399946116377,0.09830199996940792,0.005198000508244149,0.1588997489307075,0.15103040350368246,-0.007869345427025026
adapter_revision,24240,tcp,v1,v2,8,True,True,completed,completed,,,0.16460395154790755,0.19841951630455867,0.03381556475665112,0.36394688117440704,0.5043170976779217,0.1403702165035146,0.18620778028305499,0.23415112585172626,0.047943345568671275,0.19027495490692847,0.19528296846480683,0.00500801355787836,0.11507459297868558,0.09160034059550479,-0.023474252383180794,0.10362600005464628,0.0997139941318892,-0.003912005922757089,0.1747734007949475,0.1565681974170729,-0.018205203377874596
adapter_revision,24240,pursuit,v1,v2,8,True,True,completed,completed,,,0.09932043651723829,0.09917910721808287,-0.00014132929915541825,0.17692864701481367,0.1815314575923397,0.00460281057752604,0.11365797993968846,0.1142590847609792,0.000601104821290735,0.22645855549247884,0.24139377530801345,0.014935219815534612,0.08150552278368815,0.11654655021660816,0.03504102743292001,0.09466100163990632,0.09902799865812995,0.004366997018223628,0.1687919997493736,0.15299934930226297,-0.015792650447110618
