version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete
v1,1773,carla,8,completed,True,534,/data/runs/b2d/controller/development3/1773/carla,0.03985076788006684,0.07011572143872641,414,0.042550440176002326,0.07252182973406739,0.2211600633226624,2.232200237871402,0.2244270956554546,5.000000074505806,0.0009749375107585557,0.004416704542258688,534,0.15455949869647156,0.22949540143599734,0.32810400080052204,134,0,0,,,9.151851166540945,13.33101669341564,"{""stationary_trajectory"": 102, ""tracking"": 432}",{},0,0,0.5076071005468162,,419cbfd3c9a2e0fcd85d2d509889a0436fefb6b0aad27090d1aa3563939f03cd,True,True,True,True,True,True,True,True,True,True,True,True
v2,1773,carla,8.0,completed,True,541,/data/runs/b2d/controller/development-v2/1773/baseline/carla,0.037118082090734326,0.06841705442582573,416,0.0394632905468169,0.06921799905362142,0.22769226746084317,2.2306340092869443,0.15797066461132953,5.000000074505806,0.000619475465802344,0.01311943207700315,541,0.14833400200586766,0.2059739999822341,0.2798450004775077,136,136,7,0.051470588235294115,10.538635334255119,7.999999526987832,7.999999997432905,"{""stationary_trajectory"": 101, ""tracking"": 440}","{""rejoin"": 103, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071005468162,,fa519830aff1d8191050eea32690bea1255b718e9ef9c46c9f6111b900c0fd5b,True,True,True,True,True,True,True,True,True,True,True,True
v1,1773,tcp,8,completed,True,532,/data/runs/b2d/controller/development3/1773/tcp,0.11008515728879159,0.2377481284309077,406,0.1250184392637272,0.24087922096023195,0.18383393376863846,2.232820961109194,0.06683439646625852,5.000000074505806,0.0005870948214521862,0.012030291240254508,532,0.14397250015463214,0.22290900051302742,0.3118389977316838,133,0,0,,,9.217700743979982,13.3310155675571,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 431}",{},0,0,0.5076071017930431,,6c7b02adc4b87a3bf785f3f894ef5acbf4fb9ba46f7f8024ae2ce4caf7b54049,True,True,True,True,True,True,True,True,True,True,True,True
v2,1773,tcp,8.0,completed,True,530,/data/runs/b2d/controller/development-v2/1773/baseline/tcp,0.07387638608379157,0.16542597836101988,404,0.08455413602614455,0.17377796383538746,0.20246233649792714,2.2353231558485236,0.1288365933524075,5.000000074505806,0.0004984404133033978,0.00320542200576639,530,0.1535164992674254,0.21453155422932466,0.34829899959731847,133,133,7,0.05263157894736842,4.236132016197405,7.999998362459022,7.999999900686442,"{""stationary_trajectory"": 102, ""tracking"": 428}","{""rejoin"": 100, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076071017930431,,48305b924204617a28f3a53d7c02d73305de88094ad10f91313aa5ead9cf878c,True,True,True,True,True,True,True,True,True,True,True,True
v1,1773,pursuit,8,completed,True,534,/data/runs/b2d/controller/development3/1773/pursuit,0.045859338471581794,0.07787807730976283,410,0.04909245039104654,0.08917279662181629,0.2216097865147679,2.2303365001979176,0.14093242328410116,5.000000074505806,0.000516840145945503,0.0017248101914969108,534,0.14833400018687826,0.2254409497254527,0.3362540010130033,134,0,0,,,9.163206739280406,13.3310155675571,"{""stationary_trajectory"": 102, ""tracking"": 432}",{},0,0,0.5076071017930431,,f00f70b954366fbf130281a5cf255211979d085a5a73b66b3a5b9b61f49beb5b,True,True,True,True,True,True,True,True,True,True,True,True
v2,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/baseline/pursuit,0.04230393577958821,0.0715056215947536,410,0.043291647193192874,0.07470298193611108,0.2230767251716312,2.2293727321272243,0.19257334860083433,5.000000074505806,0.0004958216312455485,0.008711125357356093,529,0.1517389973741956,0.207697601581458,0.41723399772308767,133,133,6,0.045112781954887216,0.9189910678081676,7.99999961387331,7.999999976209266,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 101, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 26}",0,0,0.5076071017930431,,1dee23554a5c792e6d70389b8c0767e26bb56e43d68ea4da1837c75b3a41ca67,True,True,True,True,True,True,True,True,True,True,True,True
v2max,1773,pursuit,8.0,completed,True,529,/data/runs/b2d/controller/development-v2/1773/max/pursuit,0.04547082425782011,0.08292990238106394,410,0.048544863536896174,0.08491838704180871,0.21996501177643032,2.229833392005131,0.18784860647168947,5.000000074505806,0.0009714331379453773,0.008642357058617824,529,0.15126999642234296,0.20689879893325266,0.2642250037752092,133,133,5,0.03759398496240601,1.0817153127221055,7.999999456812403,7.999999978691271,"{""stationary_trajectory"": 101, ""tracking"": 428}","{""rejoin"": 102, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,0,0.5076071017930431,,c5c96ee046d134127f52bf0bac868fdd92a8e8d5ea2ea03031516085bce6afc6,True,True,True,True,True,True,True,True,True,True,True,True
v1,17563,carla,6.0,completed,False,585,/data/runs/b2d/controller/development-s-v1/17563/carla,0.18895094050773328,0.5202805748223919,464,0.21176264783051382,0.5645162284367009,0.663271268879291,1.517118727320441,0.22029252550685266,5.000000074505806,0.0005442370678128101,0.004112793308675435,585,0.11857199569931254,0.19995239708805454,0.4062980005983263,147,0,0,,,7.071483462184085,12.877653959722066,"{""stationary_trajectory"": 101, ""tracking"": 484}",{},0,0,0.5071539982707352,cruise_speed,5942a1e0eb304640c83a4834a2bb5885ae0c09824b33eabd7c938024311273ce,True,True,True,True,False,True,True,True,True,True,True,True
v2,17563,carla,6.0,completed,False,590,/data/runs/b2d/controller/development-v2/17563/baseline/carla,0.18611255158692644,0.51516321036181,468,0.20893179751640165,0.5632251340530627,0.6389039693870894,1.5071398883528409,0.25940408532214126,5.000000074505806,0.0014834577212320022,0.0031563651006852973,590,0.12670249998336658,0.1849937470979057,0.25422099861316383,148,148,7,0.0472972972972973,8.555942552844426,5.999998987359688,5.999999993713021,"{""stationary_trajectory"": 102, ""tracking"": 488}","{""rejoin"": 115, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076021738590414,cruise_speed,4ecd9744c1942bbb8834dcd085e21c86ef355be45256671cba0fd5de80e20a9b,True,True,True,True,False,True,True,True,True,True,True,True
v1,17563,tcp,6.0,completed,False,549,/data/runs/b2d/controller/development-s-v1/17563/tcp,0.9051409326681112,1.8941938084154313,434,1.012888133349662,2.0529119040521056,0.9215698647016686,1.6396451894648498,0.8860243307435474,5.000000074505806,0.008356694915009736,0.044881095211910825,549,0.1293599998462014,0.20460680243559184,0.3714830017997883,138,0,0,,,10.664085059522519,12.881960106401284,"{""invalid_motion"": 2, ""tracking"": 444, ""trajectory_behind"": 103}",{},2,103,0.5080358556848821,"full_lateral_rms,full_lateral_p95,cruise_speed",46f1428709df07a7cd9441db52b4350d718a5e2d74996b4e504d9df41e864f1b,True,True,False,False,False,True,True,True,True,True,True,True
