run,route,scenario,status,RC,DS,length_m,T_s,T_ref_s,dist_m,t_col,v_col,col_type,moving_s,stall_pre_stop_s,stall_pre_go_s,stall_pre_none_s,pinned_s,post_moving_s,v_moving,ep_start_n,ep_start_s,ep_start_stop_s,ep_brake_over_n,ep_brake_over_s,ep_brake_over_stop_s,ep_brake_stop_n,ep_brake_stop_s,ep_brake_stop_stop_s,ep_other_n,ep_other_s,ep_other_stop_s,pinned_throttle_s,pinned_bursts,pinned_burst_v05,pinned_burst_disp1,pinned_go_plan_share,n_moving_windows,efficiency,desired_moving_med,n_brake_over,brake_over_share,brake_over_v1_over_des,brake_over_to_stall,lat_big,lat_big_target,dist_pre_m,pace_pre,T_proj_s,pinned_abs_steer
f1,1711,ParkingCutIn,Completed,100,100.0,133.138,53.6,18.65,132.4,,,,32.6,13.4,7.5,0.0,0.0,0.0,4.04,1,2.45,1.5,8,10.75,5.95,4,7.75,6.0,0,0.0,0.0,0.0,0,,,,65,0.869,5.52,14,0.215,0.062,8,0,0,132.4,2.47,,
f1,1773,ParkedObstacle,Completed,100,100.0,132.062,51.7,22.0,132.6,,,,32.1,12.8,6.8,0.0,0.0,0.0,4.12,1,1.15,0.5,7,12.3,7.5,3,6.15,4.75,0,0.0,0.0,0.0,0,,,,68,0.856,4.73,15,0.221,0.618,7,4,2,132.6,2.57,,
f1,1790,HazardAtSideLane,Completed,100,100.0,119.119,23.5,16.25,119.0,,,,20.2,1.4,1.8,0.0,0.0,0.0,5.88,1,1.15,0.5,2,1.2,0.5,1,0.9,0.4,0,0.0,0.0,0.0,0,,,,41,0.875,7.12,5,0.122,0.669,1,2,1,119.0,5.06,,
f1,1792,HazardAtSideLane,Completed,100,100.0,133.1,23.2,12.9,132.4,,,,18.0,2.4,2.7,0.0,0.0,0.0,7.33,1,1.15,0.5,2,2.6,1.0,1,1.4,0.95,0,0.0,0.0,0.0,0,,,,38,0.871,7.46,10,0.263,0.857,2,3,1,132.4,5.71,,
f1,1825,ConstructionObstacleTwoWays,Failed - TickRuntime,33.37,21.6905,132.064,200.0,31.45,46.2,25.3,5.3,static.prop.trafficwarning,12.9,9.1,3.8,0.0,174.2,0.6,3.49,1,1.7,1.0,4,9.6,7.0,1,1.55,1.1,0,0.0,0.0,56.1,64,0.025,0.008,0.324,26,0.79,4.47,6,0.231,0.0,4,6,3,43.8,1.74,76.2,0.023
f1,1833,ConstructionObstacleTwoWays,Failed - TickRuntime,37.65,24.4725,133.121,200.0,31.45,51.1,31.0,5.0,static.prop.trafficwarning,16.4,10.4,4.7,0.1,168.5,0.6,3.06,1,0.8,0.0,3,6.15,4.0,4,8.25,6.4,0,0.0,0.0,47.1,56,0.028,0.007,0.281,33,0.827,3.88,7,0.212,0.384,3,4,2,49.1,1.59,83.9,0.014
f1,1852,AccidentTwoWays,Failed - TickRuntime,39.15,23.49,133.12,200.0,40.9,54.3,24.5,0.5,vehicle.dodge.charger_police_2020,13.0,7.1,4.4,0.0,175.5,0.0,4.01,1,1.65,1.0,3,5.25,3.0,3,4.55,3.1,0,0.0,0.0,41.6,66,0.027,0.015,0.239,29,0.807,4.95,7,0.241,0.671,3,2,1,52.6,2.15,62.0,0.02
f1,1956,ParkingExit,Failed - TickRuntime,3.09,1.854,133.124,200.0,22.9,4.8,6.3,1.2,vehicle.mercedes.coupe_2020,1.9,3.2,1.2,0.0,193.7,0.0,2.17,1,2.2,1.5,0,0.0,0.0,1,2.2,1.7,0,0.0,0.0,46.6,68,0.024,0.005,0.241,4,0.87,2.15,0,0.0,,0,1,1,4.1,0.66,203.5,0.008
f1,2050,SignalizedJunctionRightTurn,Completed,100,58.473647,78.623,40.9,11.9,82.2,29.0,5.3,vehicle.nissan.patrol_2021,19.8,12.8,4.2,0.1,4.0,8.0,4.12,1,2.55,1.5,4,8.75,6.0,1,5.8,5.35,0,0.0,0.0,6.2,2,0.507,0.757,0.849,26,0.885,3.17,8,0.308,0.39,4,3,1,48.6,1.68,46.9,0.059
f1,2082,OppositeVehicleRunningRedLight,Completed,100,30.091142,83.186,44.9,10.0,113.0,16.9,3.3,vehicle.lincoln.mkz_2020,23.8,2.5,2.2,0.0,16.4,11.7,4.5,1,2.45,1.5,2,2.25,1.0,0,0.0,0.0,0,0.0,0.0,11.5,7,0.405,0.569,0.578,25,0.871,5.36,5,0.2,0.528,2,12,5,67.6,4.02,20.7,0.537
