model,stats,verdict,tau,null_ff_oos,fold_lams,max_head_diff
cinque,carla,harmful,1.6276710629463196,0.0509593936632048,"[0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999]",0.00038242340087890625
cinque,wod-train,descriptive,1.6276710629463196,0.0509593936632048,"[0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999]",0.00038242340087890625
lebowski,carla,harmful,1.6549868881702423,0.0495606776517241,"[0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999]",0.0003948211669921875
lebowski,wod-train,descriptive,1.6549868881702423,0.0495606776517241,"[0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999]",0.0003948211669921875
