scope,n,activation,lo,hi,delta_mag_median_m,model,stats,tau
straight_yaw,11597,0.16659480900232818,0.1475335471496,0.18563738474855643,2.040355920791626,cinque,carla,1.6276710629463196
pre_onset,1458,0.12825788751714678,0.09507459603689508,0.1643280569895738,1.7935984134674072,cinque,carla,1.6276710629463196
all,19663,0.15582566241163606,0.14105625093228083,0.17099938411587806,2.0874950885772705,cinque,carla,1.6276710629463196
Pedestrians,1831,0.1441835062807209,0.10801379959833017,0.18177305128679871,2.312626361846924,cinque,carla,1.6276710629463196
Cyclists,2830,0.1431095406360424,0.10666528210453445,0.1838487121398553,1.9702656269073486,cinque,carla,1.6276710629463196
Cut_ins,885,0.1344632768361582,0.0747328278322926,0.21156473850153493,1.938463807106018,cinque,carla,1.6276710629463196
FOD,3561,0.17382757652344846,0.13870092563304104,0.21241947287294247,2.2171223163604736,cinque,carla,1.6276710629463196
Intersections,4772,0.13809723386420789,0.11507164698277189,0.16226705537659492,1.9918286800384521,cinque,carla,1.6276710629463196
straight_yaw,11597,0.06484435629904285,0.05540043084279733,0.07464951656995245,1.0097124576568604,cinque,wod-train,1.6276710629463196
pre_onset,1458,0.07133058984910837,0.04692871410963978,0.0979212906303802,1.141627311706543,cinque,wod-train,1.6276710629463196
all,19663,0.06006204546610385,0.05251518723313765,0.0677512043450394,1.0560715198516846,cinque,wod-train,1.6276710629463196
Pedestrians,1831,0.04478427089022392,0.030284300937341555,0.060574425935953594,1.0035476684570312,cinque,wod-train,1.6276710629463196
Cyclists,2830,0.06819787985865725,0.051581431549722494,0.0862507393439353,1.0648701190948486,cinque,wod-train,1.6276710629463196
Cut_ins,885,0.10734463276836158,0.06421994205697731,0.1657337919855475,1.160176396369934,cinque,wod-train,1.6276710629463196
FOD,3561,0.05391743892165122,0.038880700611406235,0.07186128334441783,1.0425477027893066,cinque,wod-train,1.6276710629463196
Intersections,4772,0.04756915339480302,0.03379325802013345,0.06262218959402058,1.025151252746582,cinque,wod-train,1.6276710629463196
straight_yaw,11597,0.40657066482711046,0.37741320313966403,0.43502833281232406,3.1119415760040283,lebowski,carla,1.6549868881702423
pre_onset,1458,0.2503429355281207,0.1995939768742649,0.30175986500466856,2.468456268310547,lebowski,carla,1.6549868881702423
all,19663,0.3312821034430148,0.3083968798653389,0.35349758334816506,2.9832444190979004,lebowski,carla,1.6549868881702423
Pedestrians,1831,0.298197706171491,0.23459673709381396,0.36525111465336013,3.1491470336914062,lebowski,carla,1.6549868881702423
Cyclists,2830,0.3088339222614841,0.25685746160913503,0.3600409583705814,2.940186023712158,lebowski,carla,1.6549868881702423
Cut_ins,885,0.2858757062146893,0.17747118110605198,0.41113937857111216,2.6077065467834473,lebowski,carla,1.6549868881702423
FOD,3561,0.37124403257511934,0.31319706010903353,0.43065254545835124,3.073896884918213,lebowski,carla,1.6549868881702423
Intersections,4772,0.33466051969823973,0.2896673003364564,0.38079779298025007,2.9463415145874023,lebowski,carla,1.6549868881702423
straight_yaw,11597,0.07424333879451582,0.06373521255739453,0.08537488183293884,1.0717411041259766,lebowski,wod-train,1.6549868881702423
pre_onset,1458,0.08984910836762688,0.0598059902263317,0.12285920329670327,1.206364631652832,lebowski,wod-train,1.6549868881702423
all,19663,0.06835172659309363,0.06002388610384687,0.077078482066773,1.086245059967041,lebowski,wod-train,1.6549868881702423
Pedestrians,1831,0.0655379574003277,0.0416203901151261,0.09335819125399245,1.0008995532989502,lebowski,wod-train,1.6549868881702423
Cyclists,2830,0.07667844522968198,0.05876309496654112,0.09580060082604201,1.1071574687957764,lebowski,wod-train,1.6549868881702423
Cut_ins,885,0.12090395480225989,0.06900234165502135,0.18318356374807984,1.1803276538848877,lebowski,wod-train,1.6549868881702423
FOD,3561,0.06543105869137883,0.04351394076761551,0.09088492820199619,1.0883228778839111,lebowski,wod-train,1.6549868881702423
Intersections,4772,0.056789606035205366,0.0432710916267139,0.07176954508459552,1.0817031860351562,lebowski,wod-train,1.6549868881702423
