scope,judge,n,delta,lo,hi,model,stats
all,RFS (rater),478,-1.0154282799805536,-1.2106355990726319,-0.8236232907272377,cinque,carla
all,ADE dec1-9,17389,1.388085961341858,1.3153913828131094,1.4622423209826745,cinque,carla
all,ADE pre_onset dec1-9,1245,0.9483892321586609,0.7525757507230878,1.141081340370387,cinque,carla
Pedestrians,RFS (rater),52,-1.1894453908060878,-1.8572912169059559,-0.5231502069380662,cinque,carla
Pedestrians,ADE dec1-9,1637,1.4454079866409302,1.217808700187003,1.6732335992398626,cinque,carla
Pedestrians,ADE pre_onset dec1-9,83,0.6566995978355408,-0.007007753826115332,1.389707652221571,cinque,carla
Cyclists,RFS (rater),71,-1.1208408237092877,-1.653704068616652,-0.6022769441078974,cinque,carla
Cyclists,ADE dec1-9,2326,1.2079793214797974,1.0246074842653272,1.3984243722594205,cinque,carla
Cyclists,ADE pre_onset dec1-9,206,0.9562123417854309,0.5008715407876172,1.5628457355355265,cinque,carla
Cut_ins,RFS (rater),20,-1.2344774480037368,-2.3259605966575365,-0.18807772389068167,cinque,carla
Cut_ins,ADE dec1-9,724,1.251146674156189,0.9683905797174251,1.5805841139685288,cinque,carla
Cut_ins,ADE pre_onset dec1-9,16,0.47274452447891235,-0.07434527079264323,0.9495745301246643,cinque,carla
FOD,RFS (rater),78,-1.0888377371502658,-1.540798927377825,-0.6340498853533159,cinque,carla
FOD,ADE dec1-9,3175,1.5753792524337769,1.4150859667421796,1.7394686142774056,cinque,carla
FOD,ADE pre_onset dec1-9,252,1.2700681686401367,0.9113318692077672,1.6101536138197265,cinque,carla
Intersections,RFS (rater),116,-0.824834134357714,-1.2236269788054372,-0.43301154037152856,cinque,carla
Intersections,ADE dec1-9,4299,1.3091726303100586,1.1643359804240778,1.459634304656985,cinque,carla
Intersections,ADE pre_onset dec1-9,301,0.8946249485015869,0.4953382431615224,1.2918354517977826,cinque,carla
all,RFS (rater),478,-0.5283986060869269,-0.6901489081325469,-0.3725755943493422,cinque,wod-train
all,ADE dec1-9,17389,0.63401859998703,0.6004303111959913,0.6675833929786802,cinque,wod-train
all,ADE pre_onset dec1-9,1245,0.5187331438064575,0.400710661416804,0.6382856372774367,cinque,wod-train
Pedestrians,RFS (rater),52,-0.4857819629485701,-0.9942014612382626,0.03317762509511784,cinque,wod-train
Pedestrians,ADE dec1-9,1637,0.5634880661964417,0.4724795664523351,0.6623374623879665,cinque,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.32303568720817566,-0.060600524257221886,0.6879175713799152,cinque,wod-train
Cyclists,RFS (rater),71,-0.4332782133627191,-0.9381676889101032,0.0624469918170062,cinque,wod-train
Cyclists,ADE dec1-9,2326,0.6218250393867493,0.5382226314563168,0.7090942785230675,cinque,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.6673558354377747,0.3354468446549727,1.0473643233107117,cinque,wod-train
Cut_ins,RFS (rater),20,-1.1573081035798605,-2.0169967640458384,-0.3386091399254491,cinque,wod-train
Cut_ins,ADE dec1-9,724,0.7017025351524353,0.5738635653401473,0.836835150271449,cinque,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.27698421478271484,-0.4283867532556707,0.6617526233196258,cinque,wod-train
FOD,RFS (rater),78,-0.3940822957768487,-0.7315749364255861,-0.07044825943019926,cinque,wod-train
FOD,ADE dec1-9,3175,0.6682683229446411,0.5949580308662387,0.7487426021722868,cinque,wod-train
FOD,ADE pre_onset dec1-9,252,0.5833212733268738,0.36924033951620455,0.7809923409166027,cinque,wod-train
Intersections,RFS (rater),116,-0.5802312401851699,-0.920948239045724,-0.26506887518931105,cinque,wod-train
Intersections,ADE dec1-9,4299,0.6207534670829773,0.5544751441017112,0.6888699876415413,cinque,wod-train
Intersections,ADE pre_onset dec1-9,301,0.40804722905158997,0.15527114538627407,0.6651588884393189,cinque,wod-train
all,RFS (rater),478,-1.5183744886139259,-1.7375877763293415,-1.301222360330716,lebowski,carla
all,ADE dec1-9,17389,2.07061767578125,1.985561645093675,2.154561488792947,lebowski,carla
all,ADE pre_onset dec1-9,1245,1.33268404006958,1.1293354777892435,1.5385441692351542,lebowski,carla
Pedestrians,RFS (rater),52,-1.3476851345996879,-2.1005657236406154,-0.5755878927585323,lebowski,carla
Pedestrians,ADE dec1-9,1637,2.124295234680176,1.8637471748926033,2.4013445268120375,lebowski,carla
Pedestrians,ADE pre_onset dec1-9,83,1.091429352760315,0.48198784961670393,1.6622082684491788,lebowski,carla
Cyclists,RFS (rater),71,-1.4447918031546223,-2.023923938814312,-0.8746568340702071,lebowski,carla
Cyclists,ADE dec1-9,2326,1.9253053665161133,1.712384945331861,2.1292035542621015,lebowski,carla
Cyclists,ADE pre_onset dec1-9,206,1.4095865488052368,0.9126693721354707,1.9503899925854054,lebowski,carla
Cut_ins,RFS (rater),20,-1.92322440964564,-2.913299103058259,-0.9659091084125775,lebowski,carla
Cut_ins,ADE dec1-9,724,1.7580989599227905,1.406559891796919,2.138255245970146,lebowski,carla
Cut_ins,ADE pre_onset dec1-9,16,0.49674198031425476,-0.4168747266133626,1.2074010133743287,lebowski,carla
FOD,RFS (rater),78,-1.2533123040102931,-1.766357560327335,-0.739059185463017,lebowski,carla
FOD,ADE dec1-9,3175,2.285780429840088,2.0728138744504694,2.507652926191665,lebowski,carla
FOD,ADE pre_onset dec1-9,252,1.5935429334640503,1.1845912260994018,1.981733140933124,lebowski,carla
Intersections,RFS (rater),116,-1.4824495497913706,-1.8961568240176516,-1.0773978249626308,lebowski,carla
