version,route_id,preset,cruise_mps,status,gate_pass,ticks,source_dir,full_cte_rms_m,full_cte_p95_m,moving_ticks,moving_cte_rms_m,moving_cte_p95_m,cruise_speed_rms_mps,all_cruise_speed_rms_mps,endpoint_error_m,stop_hold_s,stop_hold_displacement_m,stop_hold_max_speed_mps,controller_step_count,controller_step_median_ms,controller_step_p95_ms,controller_step_max_ms,plan_count,rejoin_plan_count,rejoin_concern_plans,rejoin_concern_fraction,rejoin_max_curvature_inv_m,first_point_speed_p95_mps,first_point_speed_max_mps,controller_reasons,rejoin_reasons,invalid_motion_ticks,trajectory_behind_ticks,pose_error_max_m,failed_gates,validation_sha256,gate_completed,gate_no_collision,gate_full_lateral_rms,gate_full_lateral_p95,gate_cruise_speed,gate_pose,gate_heading,gate_endpoint,gate_hold_duration,gate_hold_displacement,gate_hold_speed,gate_telemetry_complete,variant,role,longitudinal_gains_observed,cruise_samples,cruise_signed_speed_std_mps,cruise_signed_speed_p95_minus_p5_mps,cruise_signed_speed_min_mps,cruise_signed_speed_max_mps,cruise_under_by_half_mps_fraction,gear_observed_cruise_samples,gear_observed_values,gear_changes,underspeed_episodes,underspeed_episodes_at_least_025s
pi,1773-speed6,pursuit,6.0,completed,True,616,/data/runs/b2d/controller/development-v4/1773-speed6/pi-max/pursuit,0.04871488638500354,0.0947833644756723,499,0.05412465500638976,0.1024085816213909,0.03710718347207354,1.3388250055218751,0.059173889223870846,5.000000074505806,0.0009711119937606969,0.014974325456355289,616,0.15129849998629652,0.2024727491516387,0.27985800261376426,154,154,3,0.01948051948051948,132.8296818124092,5.999999601173986,5.999999999764442,"{""stationary_trajectory"": 100, ""tracking"": 514, ""trajectory_behind"": 2}","{""rejoin"": 126, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 25}",0,2,0.5076071017930431,,625de19d8e4fb5d6f44caf930219262567caa94189581acc86632f2f0b4f89d1,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,"[[0.5, 0.25]]",358,0.033145888076546226,0.0921987056732183,5.823294162750244,6.003025054931641,0.0,358,[2],0,0,0
vendor,17563,carla,6.0,completed,False,590,/data/runs/b2d/controller/development-v2/17563/baseline/carla,0.18611255158692644,0.51516321036181,468,0.20893179751640165,0.5632251340530627,0.6389039693870894,1.5071398883528409,0.25940408532214126,5.000000074505806,0.0014834577212320022,0.0031563651006852973,590,0.12670249998336658,0.1849937470979057,0.25422099861316383,148,148,7,0.0472972972972973,8.555942552844426,5.999998987359688,5.999999993713021,"{""stationary_trajectory"": 102, ""tracking"": 488}","{""rejoin"": 115, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5076021738590414,cruise_speed,4ecd9744c1942bbb8834dcd085e21c86ef355be45256671cba0fd5de80e20a9b,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,[],320,0.47209884895450505,1.314902806282043,4.964620113372803,6.5861992835998535,0.53125,0,[],,15,15
pi,17563,carla,6.0,completed,True,557,/data/runs/b2d/controller/development-v4/17563/pi/carla,0.19050239807830618,0.5115980112898111,440,0.20874485140754115,0.5530565146285616,0.04674703659118392,1.4342430357051597,0.1013391175319244,5.000000074505806,0.0014636107107742905,0.010690145127164223,557,0.1339470036327839,0.1948628007085062,0.28897199808852747,140,140,5,0.03571428571428571,61.443312187970946,5.999999606867206,5.9999999788362235,"{""stationary_trajectory"": 101, ""tracking"": 455, ""trajectory_behind"": 1}","{""rejoin"": 109, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 26}",0,1,0.5076021738590414,,7844a217ba4ba38b1d8f652572de997827ef99b849f2de30fa422c56da274731,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",298,0.043170372350725246,0.13884935379028285,5.813529968261719,6.023024559020996,0.0,298,[2],0,0,0
vendor,17563,pursuit,6.0,completed,False,590,/data/runs/b2d/controller/development-v2/17563/baseline/pursuit,0.1954286708006344,0.45569127365299206,467,0.21964674692549277,0.5245682358667191,0.6443963143653287,1.507566442422412,0.26657390584259105,5.000000074505806,0.0012156507331290446,0.0033126463115952767,590,0.11047999942093156,0.1655644991842564,0.34705000143731013,148,148,7,0.0472972972972973,8.43465006965699,5.99999637062891,5.999999967276348,"{""stationary_trajectory"": 102, ""tracking"": 488}","{""rejoin"": 115, ""rejoin_curvature_concern"": 7, ""terminal_hold"": 26}",0,0,0.5080358556848821,cruise_speed,b01d485d262c23e3f74c7c5fe02dc49f243968a74fe730794508acf448514fea,True,True,True,True,False,True,True,True,True,True,True,True,baseline,vendor,[],321,0.47019801943687245,1.2976503372192383,4.966616630554199,6.523804664611816,0.5295950155763239,0,[],,15,15
pi,17563,pursuit,6.0,completed,True,558,/data/runs/b2d/controller/development-v4/17563/pi/pursuit,0.20563860709351753,0.45780038725133093,438,0.22436622598347342,0.5539517833604187,0.046914015212527076,1.4334047980488998,0.12177501950500189,5.000000074505806,0.0013646200241837405,0.017517809399648306,558,0.1279004973184783,0.18648514960659665,0.33733700547600165,140,140,7,0.05,36.997287756163125,5.999997064089954,5.999999969014682,"{""stationary_trajectory"": 102, ""tracking"": 456}","{""rejoin"": 108, ""rejoin_curvature_concern"": 6, ""terminal_hold"": 25, ""terminal_target_not_forward"": 1}",0,0,0.5080358556848821,,21f7e19739bf1304afbd3c79f4eea404ff12c65eb33c7c298b6db46185736e53,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",299,0.04217669266345427,0.11262683868408185,5.824512958526611,6.041493892669678,0.0,299,[2],0,0,0
vendor,17563,pursuit,6.0,completed,False,596,/data/runs/b2d/controller/development-v2/17563/max/pursuit,0.1543226995945846,0.38060444643464375,473,0.17299077374061564,0.43430297723520445,0.7547347732038965,1.5378578515578234,0.2812230822623201,5.000000074505806,0.0008729443455466541,0.013869307650600345,596,0.1249939996341709,0.17808974916988518,0.41045000398298725,149,149,5,0.03355704697986577,6.192969242262625,5.999999122340359,5.999999968206212,"{""stationary_trajectory"": 100, ""stop_hold"": 1, ""tracking"": 495}","{""rejoin"": 119, ""rejoin_curvature_concern"": 5, ""terminal_hold"": 25}",0,0,0.5080358556848821,cruise_speed,48734632f3964a70a58f0edd74ff5ae3ca4a23df02c85dc7c0903f3f1a4ddc15,True,True,True,True,False,True,True,True,True,True,True,True,max,vendor,[],327,0.5541955566716652,1.753143692016601,3.921448230743408,6.573655128479004,0.5779816513761468,0,[],,15,15
pi,17563,pursuit,6.0,completed,True,559,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit,0.14076830214135558,0.35470645667358697,435,0.1505779102439105,0.38660413124519305,0.09726399184322732,1.430267763545617,0.11119568870946343,5.000000074505806,0.0016242380685834537,0.014466750474494722,559,0.11652000102913007,0.17181360090035014,0.3273659967817366,140,140,6,0.04285714285714286,94.93262262209628,5.99999907179468,5.999999998076709,"{""stationary_trajectory"": 99, ""tracking"": 457, ""trajectory_behind"": 3}","{""rejoin"": 109, ""rejoin_curvature_concern"": 5, ""terminal_curvature_concern"": 1, ""terminal_hold"": 25}",0,3,0.5080358556848821,,27c6d36f9e902e6a217efaccba6f33a3fae16e9ed09403524e5e7e5a2f6de206,True,True,True,True,True,True,True,True,True,True,True,True,pi-max,pi,"[[0.5, 0.25]]",301,0.11019550870154668,0.39470863342285156,5.594910144805908,6.259457588195801,0.0,301,[2],0,0,0
vendor,24240,carla,8.0,completed,True,453,/data/runs/b2d/controller/development-v2/24240/baseline/carla,0.13200230127848128,0.24391722306062272,330,0.1537205379629192,0.25510276130805065,0.22177933717656934,2.551508460370885,0.07952746150361902,5.000000074505806,0.0004704894194000143,0.008472776141167981,453,0.09830199996940792,0.15103040350368246,0.21618900063913316,114,114,8,0.07017543859649122,1.579782515368333,7.999995686748219,7.9999995207118175,"{""stationary_trajectory"": 101, ""tracking"": 352}","{""rejoin"": 80, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075688839609119,,a01c7a5c02d0c0d10ea469baf48bce81030aa17b7dec3fe13c191112060bfd4f,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,[],160,0.15461438494564542,0.45012352466583216,7.61286735534668,8.090985298156738,0.0,0,[],,0,0
pi,24240,carla,8.0,completed,True,437,/data/runs/b2d/controller/development-v4/24240/pi/carla,0.13307419379215013,0.2473712528220392,323,0.1547633489064966,0.2590074159153959,0.08812954356166078,2.5523960034870976,0.07249075893680541,5.000000074505806,0.0015051313197863572,0.02001768142512432,437,0.10076900070998818,0.16881819756235927,0.33633199927862734,110,110,4,0.03636363636363636,7.054198471182045,7.999995721666947,7.999999327170226,"{""stationary_trajectory"": 101, ""tracking"": 336}","{""rejoin"": 80, ""rejoin_curvature_concern"": 4, ""terminal_hold"": 26}",0,0,0.5075688839609119,,fca2eba9b23541fc4f65fec8d5bd3f30ca67a21a2e497cc8eec5a77bea59362b,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",160,0.06614229725038452,0.20315036773681694,7.724319934844971,8.031429290771484,0.0,160,[2],0,0,0
vendor,24240,pursuit,8.0,completed,True,454,/data/runs/b2d/controller/development-v2/24240/baseline/pursuit,0.09917910721808287,0.1815314575923397,328,0.1142590847609792,0.1947123680038898,0.24139377530801345,2.5456471282594633,0.11654655021660816,5.000000074505806,0.0008108836721467279,0.0064280711979661205,454,0.09902799865812995,0.15299934930226297,0.3006449987879023,114,114,8,0.07017543859649122,2.4609006778847387,7.999987407192971,7.9999988560753295,"{""stationary_trajectory"": 102, ""tracking"": 352}","{""rejoin"": 80, ""rejoin_curvature_concern"": 8, ""terminal_hold"": 26}",0,0,0.5075688839609119,,e9b66e9440d7914fee27c724c38aa5764fae11d8839f7cb8113ed16d60d0ac84,True,True,True,True,True,True,True,True,True,True,True,True,baseline,vendor,[],161,0.1658447131419428,0.47254037857055664,7.600772380828857,8.094329833984375,0.0,0,[],,0,0
pi,24240,pursuit,8.0,completed,True,433,/data/runs/b2d/controller/development-v4/24240/pi/pursuit,0.10209769123513272,0.18162291595369323,319,0.11874884006906486,0.19378898061643665,0.08545461330924989,2.545291259392664,0.12043341731046028,5.000000074505806,0.0024725941269287516,0.05157821636104702,433,0.09810199844650924,0.1633970037801191,0.35791099799098447,109,109,3,0.027522935779816515,7.967865306455511,7.999990551281019,7.9999988560753295,"{""stationary_trajectory"": 101, ""tracking"": 332}","{""rejoin"": 80, ""rejoin_curvature_concern"": 3, ""terminal_hold"": 26}",0,0,0.5075688839609119,,3333caefcc669abe54c2d08827e798df641819487efbae4d0e2e900f1cc1946d,True,True,True,True,True,True,True,True,True,True,True,True,pi,pi,"[[0.5, 0.25]]",161,0.06281784155572907,0.18290948867797852,7.739507675170898,7.997003555297852,0.0,161,[2],0,0,0
vendor,24240,pursuit,8.0,completed,True,455,/data/runs/b2d/controller/development-v2/24240/max/pursuit,0.0823043431029986,0.16117302726842128,330,0.09194665567734785,0.176097583140329,0.21980631858473687,2.5473842442877817,0.08863351255630175,5.000000074505806,0.0007571882794989871,0.020350639905598048,455,0.09944500197889283,0.15855230012675742,0.23751999833621085,114,114,9,0.07894736842105263,17.653650094158806,7.99999117043346,7.999998960194885,"{""stationary_trajectory"": 99, ""stop_hold"": 2, ""tracking"": 354}","{""rejoin"": 80, ""rejoin_curvature_concern"": 9, ""terminal_hold"": 25}",0,0,0.5075688839609119,,3c3942cca88f9ec7471dc8ac9af84d3696757a8d22738f5ab12bbf24fc274a5e,True,True,True,True,True,True,True,True,True,True,True,True,max,vendor,[],161,0.15330618829973217,0.4248318672180176,7.627997398376465,8.092239379882812,0.0,0,[],,0,0
