seed,cls,kind,h,src,probe,n_pairs,n_routes,auc,auc_sym,paired_win
0,obstacle,null,5,pred,d_front,1217,40,0.5093,0.5093,0.5316
0,obstacle,null,5,pred,occ,1217,40,0.4672,0.5328,0.4117
0,obstacle,null,5,pred,ped,1217,40,0.4266,0.5734,0.3451
0,obstacle,null,10,oracle,a,1217,40,0.4658,0.5342,0.4248
0,obstacle,null,10,oracle,b,1217,40,0.4976,0.5024,0.4897
0,obstacle,null,10,oracle,c,1217,40,0.5485,0.5485,0.6113
0,obstacle,null,10,oracle,d_front,1217,40,0.4901,0.5099,0.4544
0,obstacle,null,10,oracle,occ,1217,40,0.4784,0.5216,0.4560
0,obstacle,null,10,oracle,ped,1217,40,0.4327,0.5673,0.3615
0,obstacle,null,10,persist,a,1217,40,0.4557,0.5443,0.4215
0,obstacle,null,10,persist,b,1217,40,0.5093,0.5093,0.5267
0,obstacle,null,10,persist,c,1217,40,0.5572,0.5572,0.6401
0,obstacle,null,10,persist,d_front,1217,40,0.4976,0.5024,0.4659
0,obstacle,null,10,persist,occ,1217,40,0.4622,0.5378,0.4240
0,obstacle,null,10,persist,ped,1217,40,0.4284,0.5716,0.3443
0,obstacle,null,10,pred,a,1217,40,0.4396,0.5604,0.4248
0,obstacle,null,10,pred,b,1217,40,0.5246,0.5246,0.5620
0,obstacle,null,10,pred,c,1217,40,0.5677,0.5677,0.6434
0,obstacle,null,10,pred,d_front,1217,40,0.5139,0.5139,0.5448
0,obstacle,null,10,pred,occ,1217,40,0.4645,0.5355,0.4100
0,obstacle,null,10,pred,ped,1217,40,0.4343,0.5657,0.3780
0,obstacle,pair,5,oracle,a,2303,39,0.7790,0.7790,0.8728
0,obstacle,pair,5,oracle,b,2303,39,0.5160,0.5160,0.5454
0,obstacle,pair,5,oracle,c,2303,39,0.4483,0.5517,0.4008
0,obstacle,pair,5,oracle,d_front,2303,39,0.3122,0.6878,0.2314
0,obstacle,pair,5,oracle,occ,2303,39,0.6348,0.6348,0.7364
0,obstacle,pair,5,oracle,ped,2303,39,0.4076,0.5924,0.3838
0,obstacle,pair,5,persist,a,2303,39,0.7235,0.7235,0.8259
0,obstacle,pair,5,persist,b,2303,39,0.5111,0.5111,0.5445
0,obstacle,pair,5,persist,c,2303,39,0.4549,0.5451,0.4212
0,obstacle,pair,5,persist,d_front,2303,39,0.3307,0.6693,0.2245
0,obstacle,pair,5,persist,occ,2303,39,0.6341,0.6341,0.7555
0,obstacle,pair,5,persist,ped,2303,39,0.4305,0.5695,0.3964
0,obstacle,pair,5,pred,a,2303,39,0.7239,0.7239,0.8428
0,obstacle,pair,5,pred,b,2303,39,0.5327,0.5327,0.6114
0,obstacle,pair,5,pred,c,2303,39,0.4836,0.5164,0.4568
0,obstacle,pair,5,pred,d_front,2303,39,0.3108,0.6892,0.1741
0,obstacle,pair,5,pred,occ,2303,39,0.6499,0.6499,0.7950
0,obstacle,pair,5,pred,ped,2303,39,0.4546,0.5454,0.4073
0,obstacle,pair,10,oracle,a,2303,39,0.7933,0.7933,0.8532
0,obstacle,pair,10,oracle,b,2303,39,0.5258,0.5258,0.5558
0,obstacle,pair,10,oracle,c,2303,39,0.4474,0.5526,0.4103
0,obstacle,pair,10,oracle,d_front,2303,39,0.3391,0.6609,0.2901
0,obstacle,pair,10,oracle,occ,2303,39,0.6069,0.6069,0.6726
0,obstacle,pair,10,oracle,ped,2303,39,0.3851,0.6149,0.3552
0,obstacle,pair,10,persist,a,2303,39,0.7235,0.7235,0.8259
0,obstacle,pair,10,persist,b,2303,39,0.5111,0.5111,0.5445
0,obstacle,pair,10,persist,c,2303,39,0.4549,0.5451,0.4212
0,obstacle,pair,10,persist,d_front,2303,39,0.3307,0.6693,0.2245
0,obstacle,pair,10,persist,occ,2303,39,0.6341,0.6341,0.7555
0,obstacle,pair,10,persist,ped,2303,39,0.4305,0.5695,0.3964
0,obstacle,pair,10,pred,a,2303,39,0.7264,0.7264,0.8493
0,obstacle,pair,10,pred,b,2303,39,0.5304,0.5304,0.5953
0,obstacle,pair,10,pred,c,2303,39,0.4772,0.5228,0.4433
0,obstacle,pair,10,pred,d_front,2303,39,0.3366,0.6634,0.1837
0,obstacle,pair,10,pred,occ,2303,39,0.6225,0.6225,0.7707
0,obstacle,pair,10,pred,ped,2303,39,0.4532,0.5468,0.3930
0,other,null,5,oracle,a,484,21,0.4959,0.5041,0.4236
0,other,null,5,oracle,b,484,21,0.5366,0.5366,0.5868
0,other,null,5,oracle,c,484,21,0.5276,0.5276,0.5021
0,other,null,5,oracle,d_front,484,21,0.5151,0.5151,0.5661
0,other,null,5,oracle,occ,484,21,0.4746,0.5254,0.4938
0,other,null,5,oracle,ped,484,21,0.4822,0.5178,0.4112
0,other,null,5,persist,a,484,21,0.4958,0.5042,0.4607
