cls,kind,h,src,probe,auc,auc_sym,auc_min,auc_max,paired_win,n_pairs,n_routes,seeds
cutin,pair,10,pred,c,0.5535,0.5535,0.5444,0.5628,0.7387,1907,26,3
cutin,pair,10,pred,d_front,0.2838,0.7162,0.2819,0.2850,0.2120,1907,26,3
cutin,pair,10,pred,occ,0.6943,0.6943,0.6904,0.6973,0.7735,1907,26,3
cutin,pair,10,pred,ped,0.5078,0.5096,0.4973,0.5176,0.5347,1907,26,3
obstacle,null,5,oracle,a,0.4639,0.5361,0.4507,0.4831,0.4426,1217,40,3
obstacle,null,5,oracle,b,0.5109,0.5116,0.4990,0.5292,0.5352,1217,40,3
obstacle,null,5,oracle,c,0.5394,0.5394,0.5160,0.5546,0.5881,1217,40,3
obstacle,null,5,oracle,d_front,0.4864,0.5136,0.4819,0.4930,0.4443,1217,40,3
obstacle,null,5,oracle,occ,0.4664,0.5336,0.4533,0.4760,0.4374,1217,40,3
obstacle,null,5,oracle,ped,0.4324,0.5676,0.4312,0.4338,0.3621,1217,40,3
obstacle,null,5,persist,a,0.4615,0.5385,0.4497,0.4790,0.4256,1217,40,3
obstacle,null,5,persist,b,0.5119,0.5145,0.4961,0.5302,0.5382,1217,40,3
obstacle,null,5,persist,c,0.5370,0.5370,0.5094,0.5572,0.5848,1217,40,3
obstacle,null,5,persist,d_front,0.4908,0.5092,0.4863,0.4976,0.4593,1217,40,3
obstacle,null,5,persist,occ,0.4601,0.5399,0.4478,0.4704,0.4213,1217,40,3
obstacle,null,5,persist,ped,0.4321,0.5679,0.4284,0.4359,0.3646,1217,40,3
obstacle,null,5,pred,a,0.4601,0.5399,0.4486,0.4789,0.4341,1217,40,3
obstacle,null,5,pred,b,0.5162,0.5166,0.4995,0.5287,0.5549,1217,40,3
obstacle,null,5,pred,c,0.5426,0.5426,0.5167,0.5659,0.5826,1217,40,3
obstacle,null,5,pred,d_front,0.4949,0.5113,0.4766,0.5093,0.4782,1217,40,3
obstacle,null,5,pred,occ,0.4642,0.5358,0.4487,0.4767,0.4207,1217,40,3
obstacle,null,5,pred,ped,0.4292,0.5708,0.4266,0.4309,0.3618,1217,40,3
obstacle,null,10,oracle,a,0.4704,0.5296,0.4552,0.4903,0.4478,1217,40,3
obstacle,null,10,oracle,b,0.5052,0.5106,0.4943,0.5236,0.5174,1217,40,3
obstacle,null,10,oracle,c,0.5341,0.5341,0.5120,0.5485,0.5766,1217,40,3
obstacle,null,10,oracle,d_front,0.4842,0.5158,0.4797,0.4901,0.4448,1217,40,3
obstacle,null,10,oracle,occ,0.4744,0.5256,0.4602,0.4845,0.4486,1217,40,3
obstacle,null,10,oracle,ped,0.4299,0.5701,0.4272,0.4327,0.3591,1217,40,3
obstacle,null,10,persist,a,0.4615,0.5385,0.4497,0.4790,0.4256,1217,40,3
obstacle,null,10,persist,b,0.5119,0.5145,0.4961,0.5302,0.5382,1217,40,3
obstacle,null,10,persist,c,0.5370,0.5370,0.5094,0.5572,0.5848,1217,40,3
obstacle,null,10,persist,d_front,0.4908,0.5092,0.4863,0.4976,0.4593,1217,40,3
obstacle,null,10,persist,occ,0.4601,0.5399,0.4478,0.4704,0.4213,1217,40,3
obstacle,null,10,persist,ped,0.4321,0.5679,0.4284,0.4359,0.3646,1217,40,3
obstacle,null,10,pred,a,0.4561,0.5439,0.4396,0.4810,0.4284,1217,40,3
obstacle,null,10,pred,b,0.5160,0.5188,0.4958,0.5276,0.5579,1217,40,3
obstacle,null,10,pred,c,0.5481,0.5481,0.5230,0.5677,0.5878,1217,40,3
obstacle,null,10,pred,d_front,0.4995,0.5118,0.4816,0.5139,0.4947,1217,40,3
obstacle,null,10,pred,occ,0.4614,0.5386,0.4448,0.4750,0.4059,1217,40,3
obstacle,null,10,pred,ped,0.4310,0.5690,0.4253,0.4343,0.3739,1217,40,3
obstacle,pair,5,oracle,a,0.7698,0.7698,0.7581,0.7790,0.8760,2303,39,3
obstacle,pair,5,oracle,b,0.5168,0.5168,0.5141,0.5202,0.5520,2303,39,3
obstacle,pair,5,oracle,c,0.4504,0.5496,0.4468,0.4560,0.4061,2303,39,3
obstacle,pair,5,oracle,d_front,0.3180,0.6820,0.3122,0.3225,0.2258,2303,39,3
obstacle,pair,5,oracle,occ,0.6428,0.6428,0.6348,0.6500,0.7451,2303,39,3
obstacle,pair,5,oracle,ped,0.4091,0.5909,0.3914,0.4282,0.3679,2303,39,3
