cls,probe,horizon_s,pred_auc,pred_null_auc_sym,pred_auc_min,pred_auc_max,n_pairs,n_routes,n_null,paired_win,pred_auc_ci,persist_auc,persist_null_auc_sym,oracle_auc,oracle_null_auc_sym,pass
ped,ped,1.0000,0.5418,0.5721,0.5362,0.5452,7270,27,2489,0.6565,"[0.516, 0.585]",0.5425,0.5734,0.5405,0.5796,False
ped,ped,2.0000,0.5410,0.5713,0.5342,0.5454,7270,27,2489,0.6544,"[0.515, 0.589]",0.5425,0.5734,0.5402,0.5841,False
cutin,occ,1.0000,0.6848,0.5431,0.6790,0.6898,1907,26,636,0.7380,"[0.610, 0.765]",0.6571,0.5350,0.7077,0.5341,False
cutin,occ,2.0000,0.6943,0.5607,0.6904,0.6973,1907,26,636,0.7735,"[0.622, 0.773]",0.6571,0.5350,0.7635,0.5274,False
obstacle,a,1.0000,0.7108,0.5399,0.6980,0.7239,2303,39,1217,0.8453,"[0.679, 0.781]",0.7144,0.5385,0.7698,0.5361,True
obstacle,a,2.0000,0.7119,0.5439,0.6967,0.7264,2303,39,1217,0.8363,"[0.689, 0.791]",0.7144,0.5385,0.7866,0.5296,True
