seed,test,h,n,n_routes,correct_d_front,median_delta_d_m,occ_lower
0,lat,5,932,38,0.5848,1.5032,0.5751
0,lat,10,932,38,0.3455,-2.1691,0.3315
0,long,5,2249,90,0.0783,-3.8625,0.2712
0,long,10,2249,90,0.0645,-3.7903,0.1859
1,lat,5,932,38,0.5633,1.1664,0.5258
1,lat,10,932,38,0.3498,-2.1533,0.3380
1,long,5,2249,90,0.0854,-3.4533,0.2579
1,long,10,2249,90,0.0525,-4.6685,0.1080
2,lat,5,932,38,0.5182,0.2073,0.5687
2,lat,10,932,38,0.2210,-4.8097,0.2929
2,long,5,2249,90,0.0885,-3.6543,0.2059
2,long,10,2249,90,0.0778,-3.8842,0.1472
