model,variant,rfs_cluster,base_rfs_cluster,d_vs_base,lo,hi,S_share_of_margin_over_cv,lon5_bias,lon5_bias_base,ade5_rater_best
small,ctx1.5,7.5282,7.6398,-0.0687,-0.1543,0.0149,0.1054,0.9402,0.7248,2.9177
small,nav2hz,5.1906,7.6398,-2.5656,-2.8006,-2.3283,3.9352,22.7531,0.7248,13.1129
small,nav2hz-dilate,5.1232,7.6398,-2.6217,-2.8523,-2.3898,4.0213,24.1490,0.7248,13.7033
small,nav2hz - ctx1.5,,,-2.4968,-2.7328,-2.2566,,,,
small,nav2hz-dilate - nav2hz,,,-0.0561,-0.1318,0.0183,,,,
cinque,ctx1.5,7.8783,8.0048,-0.1111,-0.1954,-0.0274,0.1240,0.2384,0.8549,2.6121
cinque,nav2hz,5.1264,8.0048,-2.8749,-3.1110,-2.6406,3.2089,20.9386,0.8549,11.5452
cinque,nav2hz-dilate,5.3645,8.0048,-2.6435,-2.8829,-2.4088,2.9505,22.3169,0.8549,12.7127
cinque,nav2hz - ctx1.5,,,-2.7638,-2.9970,-2.5247,,,,
cinque,nav2hz-dilate - nav2hz,,,0.2314,0.1134,0.3525,,,,
lebowski,ctx1.5,5.7803,7.8860,-2.0015,-2.2553,-1.7397,2.6369,-3.2653,0.2852,5.5422
lebowski,nav2hz,4.9420,7.8860,-2.8871,-3.1270,-2.6480,3.8037,19.4410,0.2852,12.0210
lebowski,nav2hz-dilate,5.2798,7.8860,-2.5909,-2.8293,-2.3517,3.4134,17.2649,0.2852,11.1446
lebowski,nav2hz - ctx1.5,,,-0.8856,-1.1299,-0.6413,,,,
lebowski,nav2hz-dilate - nav2hz,,,0.2962,0.1403,0.4487,,,,
