tag,n,hd,rc,pdms
cv-fixed,64,0.2923,0.3399,0.6578
cv-official,64,0.0390,0.0827,0.4280
ltf-fixed,64,0.2786,0.4332,0.4087
ltf-official,64,0.2497,0.3882,0.3753
