metric,row,agent,n,score,ci_lo,ci_hi,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,traffic_light_compliance,lane_keeping,history_comfort,two_frame_extended_comfort
PDMS,human (log),human,12146,94.5514,94.4532,94.6531,100.0000,100.0000,86.9629,100.0000,99.9012,,,,,
PDMS,constant velocity,cv,12146,20.6517,20.1331,21.1644,68.0183,57.8380,19.4370,50.0329,100.0000,,,,,
PDMS,Alpamayo 1.5 nav,alpamayo_nav,12146,44.2831,43.5302,45.0311,76.7825,70.6488,42.5583,62.6297,96.0316,,,,,
PDMS,op-small native,small_none,12146,47.3455,46.5733,48.1783,70.9493,79.4912,51.1310,61.6088,58.0850,,,,,
PDMS,op-cinque native,cinque_none,12146,52.0711,51.2809,52.8473,78.3674,75.7369,55.6806,67.8166,68.8128,,,,,
PDMS,op-lebowski native,lebowski_none,12146,50.8937,50.1521,51.6283,78.5361,79.1125,49.6565,71.1345,63.3213,,,,,
PDMS,op-cinque native +cmd desire,cinque_cmd,12146,50.6526,49.8378,51.4405,77.9351,74.1232,54.2063,67.3143,68.9198,,,,,
PDMS,op-lebowski native +cmd desire,lebowski_cmd,12146,49.3634,48.5908,50.1265,78.1204,76.8895,47.4735,70.8299,65.0255,,,,,
PDMS,ctrv,heads_ctrv,12146,41.0995,40.3938,41.8269,73.0899,75.4734,37.3361,59.4764,99.9753,,,,,
PDMS,ours ridge ego,heads_ridge_ego,12146,62.6630,61.9547,63.4567,89.6262,79.0054,60.1368,78.3550,99.9424,,,,,
PDMS,ours cls ego K1024,heads_cls_ego_K1024,12146,68.4315,67.7201,69.1162,93.0059,80.2075,64.8708,85.0156,99.9671,,,,,
EPDMS,human (log),human,12146,94.5143,94.3914,94.6266,100.0000,100.0000,87.4244,100.0000,,99.8189,100.0000,100.0000,98.0652,90.0797
EPDMS,constant velocity,cv,12146,25.8812,25.1622,26.5748,68.0636,57.8380,77.7481,66.8862,,84.2335,98.0981,82.6692,97.8676,55.3386
EPDMS,Alpamayo 1.5 nav,alpamayo_nav,12146,43.1714,42.4001,43.9152,76.8072,70.6488,84.8421,73.2175,,86.2712,98.2628,85.3861,91.0176,32.6793
EPDMS,op-small native,small_none,12146,42.5234,41.7682,43.2785,70.9904,79.4912,94.9796,68.2859,,88.9758,95.5953,91.2399,45.2495,12.1116
EPDMS,op-cinque native,cinque_none,12146,46.1571,45.4174,46.9030,78.4415,75.7369,95.2401,75.1688,,85.1309,96.9373,89.5603,52.4946,9.9900
EPDMS,op-lebowski native,lebowski_none,12146,45.4751,44.7307,46.1660,78.6432,79.1125,85.4713,77.5729,,87.1768,97.3736,87.6009,52.4288,12.2809
EPDMS,op-cinque native +cmd desire,cinque_cmd,12146,45.1638,44.4424,45.9131,78.0051,74.1232,95.0682,74.5595,,84.0524,97.0114,88.4159,52.3135,9.9801
EPDMS,op-lebowski native +cmd desire,lebowski_cmd,12146,44.2765,43.5571,44.9795,78.2109,76.8895,84.9617,77.2353,,86.0818,97.4148,86.8269,54.0425,12.3805
EPDMS,ctrv,heads_ctrv,12146,43.8862,43.1233,44.6896,73.1023,75.4734,78.6643,73.3822,,89.1981,98.0734,90.0955,98.3945,54.1135
EPDMS,ours ridge ego,heads_ridge_ego,12146,64.2060,63.4158,64.9987,89.6509,79.0054,85.6068,88.2595,,93.8828,99.3660,91.3222,98.3451,84.9502
EPDMS,ours cls ego K1024,heads_cls_ego_K1024,12146,67.8473,67.0992,68.5380,93.0306,80.2075,86.4761,91.6763,,92.7630,99.4648,90.1614,98.2628,77.0717
