arm,metric,group,n,prior_score,arm_score,delta,lo,hi
mc none cinque,PDMS,all,12146,73.52350931819456,65.35793076922744,-8.165578548967117,-8.867408342282886,-7.4496806454351345
mc none cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,68.25514640969024,-5.9851899687475845,-8.636450122620143,-3.293874731692505
mc none cinque,PDMS,no ped_cyc,11249,73.46634922636076,65.12690557325489,-8.339443653105878,-9.087008753511856,-7.586322800661651
mc none cinque,PDMS,straight,4365,77.24221729361147,72.0989738869118,-5.143243406699657,-6.173622734927124,-4.080135150881061
mc none cinque,EPDMS,all,12146,73.851093705465,60.83251518055861,-13.018578524906394,-13.705430691006912,-12.337802255148535
mc none cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,63.71390104739544,-11.216063227444051,-13.707054532318026,-8.643191308843356
mc none cinque,EPDMS,no ped_cyc,11249,73.76506411165853,60.6027522574052,-13.162311854253335,-13.876683167305757,-12.46726447070567
mc none cinque,EPDMS,straight,4365,80.64803982191032,66.83499827448485,-13.813041547425478,-14.80557321760566,-12.795518089297929
mc g1 cinque,PDMS,all,12146,73.52350931819456,73.24331785837924,-0.2801914598153212,-0.7852044435073936,0.2169366256638504
mc g1 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,76.31736476221802,2.0770283837801884,0.0304764951846008,4.163483481090023
mc g1 cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.99819206295356,-0.4681571634072113,-0.9943614892847584,0.0450464743014716
mc g1 cinque,PDMS,straight,4365,77.24221729361147,79.45279032144941,2.210573027837952,1.510727319111332,2.9265099046571925
mc g1 cinque,EPDMS,all,12146,73.85109370546498,72.1319973408057,-1.7190963646592918,-2.2181276654731663,-1.2217268698857036
mc g1 cinque,EPDMS,ped_cyc_corridor,897,74.92996427483949,76.26728841661817,1.3373241417786697,-0.8073822335905397,3.4081774846259902
mc g1 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,71.80224748792955,-1.962816623728974,-2.479841607779619,-1.438310831065828
mc g1 cinque,EPDMS,straight,4365,80.64803982191032,80.97008278259554,0.3220429606852171,-0.3922377990772094,1.0446730607900754
mc g2 cinque,PDMS,all,12146,73.52350931819456,71.91605973601199,-1.6074495821825574,-2.1437667896834776,-1.0762066363108775
