model,source,gate,scope,n,gate_mean,gate_open
cinque,mc,none,all,12146,1.0,1.0
cinque,mc,none,straight,4365,1.0,1.0
cinque,mc,none,ped_cyc_corridor,897,1.0,1.0
cinque,mc,none,no ped_cyc,11249,1.0,1.0
cinque,mc,g1,all,12146,0.3128324151039123,0.0664416268730446
cinque,mc,g1,straight,4365,0.2523041367530823,0.0364261168384879
cinque,mc,g1,ped_cyc_corridor,897,0.2976479828357696,0.0479375696767001
cinque,mc,g1,no ped_cyc,11249,0.3140432238578796,0.0679171481909503
cinque,mc,g3,all,12146,0.0130781242623925,0.005680882595093
cinque,mc,g3,straight,4365,0.0192912220954895,0.0080183276059564
cinque,mc,g3,ped_cyc_corridor,897,0.0192282479256391,0.007803790412486
cinque,mc,g3,no ped_cyc,11249,0.0125877102836966,0.0055116010312027
cinque,mc,g2,all,12146,0.4287610352039337,0.5292277292935946
cinque,mc,g2,straight,4365,0.4959021210670471,0.706987399770905
cinque,mc,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
cinque,mc,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
lebowski,mc,none,all,12146,1.0,1.0
lebowski,mc,none,straight,4365,1.0,1.0
lebowski,mc,none,ped_cyc_corridor,897,1.0,1.0
lebowski,mc,none,no ped_cyc,11249,1.0,1.0
lebowski,mc,g1,all,12146,0.5163595080375671,0.5232998518030627
lebowski,mc,g1,straight,4365,0.4308755695819855,0.2907216494845361
lebowski,mc,g1,ped_cyc_corridor,897,0.5110350251197815,0.5016722408026756
lebowski,mc,g1,no ped_cyc,11249,0.516784131526947,0.5250244466174772
lebowski,mc,g3,all,12146,0.0195024795830249,0.0046929030133377
lebowski,mc,g3,straight,4365,0.0445050932466983,0.0103092783505154
lebowski,mc,g3,ped_cyc_corridor,897,0.0253387857228517,0.0033444816053511
lebowski,mc,g3,no ped_cyc,11249,0.019037090241909,0.0048004267045959
lebowski,mc,g2,all,12146,0.4287610352039337,0.5292277292935946
lebowski,mc,g2,straight,4365,0.4959021210670471,0.706987399770905
lebowski,mc,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
lebowski,mc,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
cinque,stAs0,none,all,12146,1.0,1.0
cinque,stAs0,none,straight,4365,1.0,1.0
cinque,stAs0,none,ped_cyc_corridor,897,1.0,1.0
cinque,stAs0,none,no ped_cyc,11249,1.0,1.0
cinque,stAs0,g1,all,12146,0.3128324151039123,0.0664416268730446
cinque,stAs0,g1,straight,4365,0.2523041367530823,0.0364261168384879
cinque,stAs0,g1,ped_cyc_corridor,897,0.2976479828357696,0.0479375696767001
cinque,stAs0,g1,no ped_cyc,11249,0.3140432238578796,0.0679171481909503
cinque,stAs0,g3,all,12146,0.0130781242623925,0.005680882595093
cinque,stAs0,g3,straight,4365,0.0192912220954895,0.0080183276059564
cinque,stAs0,g3,ped_cyc_corridor,897,0.0192282479256391,0.007803790412486
cinque,stAs0,g3,no ped_cyc,11249,0.0125877102836966,0.0055116010312027
cinque,stAs0,g2,all,12146,0.4287610352039337,0.5292277292935946
cinque,stAs0,g2,straight,4365,0.4959021210670471,0.706987399770905
cinque,stAs0,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
cinque,stAs0,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
lebowski,stAs0,none,all,12146,1.0,1.0
lebowski,stAs0,none,straight,4365,1.0,1.0
lebowski,stAs0,none,ped_cyc_corridor,897,1.0,1.0
lebowski,stAs0,none,no ped_cyc,11249,1.0,1.0
lebowski,stAs0,g1,all,12146,0.5163595080375671,0.5232998518030627
lebowski,stAs0,g1,straight,4365,0.4308755695819855,0.2907216494845361
lebowski,stAs0,g1,ped_cyc_corridor,897,0.5110350251197815,0.5016722408026756
lebowski,stAs0,g1,no ped_cyc,11249,0.516784131526947,0.5250244466174772
lebowski,stAs0,g3,all,12146,0.0195024795830249,0.0046929030133377
lebowski,stAs0,g3,straight,4365,0.0445050932466983,0.0103092783505154
lebowski,stAs0,g3,ped_cyc_corridor,897,0.0253387857228517,0.0033444816053511
lebowski,stAs0,g3,no ped_cyc,11249,0.019037090241909,0.0048004267045959
lebowski,stAs0,g2,all,12146,0.4287610352039337,0.5292277292935946
lebowski,stAs0,g2,straight,4365,0.4959021210670471,0.706987399770905
lebowski,stAs0,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
lebowski,stAs0,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
cinque,stAs1,none,all,12146,1.0,1.0
cinque,stAs1,none,straight,4365,1.0,1.0
cinque,stAs1,none,ped_cyc_corridor,897,1.0,1.0
cinque,stAs1,none,no ped_cyc,11249,1.0,1.0
cinque,stAs1,g1,all,12146,0.3128324151039123,0.0664416268730446
cinque,stAs1,g1,straight,4365,0.2523041367530823,0.0364261168384879
cinque,stAs1,g1,ped_cyc_corridor,897,0.2976479828357696,0.0479375696767001
cinque,stAs1,g1,no ped_cyc,11249,0.3140432238578796,0.0679171481909503
cinque,stAs1,g3,all,12146,0.0130781242623925,0.005680882595093
cinque,stAs1,g3,straight,4365,0.0192912220954895,0.0080183276059564
cinque,stAs1,g3,ped_cyc_corridor,897,0.0192282479256391,0.007803790412486
cinque,stAs1,g3,no ped_cyc,11249,0.0125877102836966,0.0055116010312027
cinque,stAs1,g2,all,12146,0.4287610352039337,0.5292277292935946
cinque,stAs1,g2,straight,4365,0.4959021210670471,0.706987399770905
cinque,stAs1,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
cinque,stAs1,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
lebowski,stAs1,none,all,12146,1.0,1.0
lebowski,stAs1,none,straight,4365,1.0,1.0
lebowski,stAs1,none,ped_cyc_corridor,897,1.0,1.0
lebowski,stAs1,none,no ped_cyc,11249,1.0,1.0
lebowski,stAs1,g1,all,12146,0.5163595080375671,0.5232998518030627
lebowski,stAs1,g1,straight,4365,0.4308755695819855,0.2907216494845361
lebowski,stAs1,g1,ped_cyc_corridor,897,0.5110350251197815,0.5016722408026756
lebowski,stAs1,g1,no ped_cyc,11249,0.516784131526947,0.5250244466174772
lebowski,stAs1,g3,all,12146,0.0195024795830249,0.0046929030133377
lebowski,stAs1,g3,straight,4365,0.0445050932466983,0.0103092783505154
lebowski,stAs1,g3,ped_cyc_corridor,897,0.0253387857228517,0.0033444816053511
lebowski,stAs1,g3,no ped_cyc,11249,0.019037090241909,0.0048004267045959
lebowski,stAs1,g2,all,12146,0.4287610352039337,0.5292277292935946
lebowski,stAs1,g2,straight,4365,0.4959021210670471,0.706987399770905
lebowski,stAs1,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
lebowski,stAs1,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
cinque,stAs2,none,all,12146,1.0,1.0
cinque,stAs2,none,straight,4365,1.0,1.0
cinque,stAs2,none,ped_cyc_corridor,897,1.0,1.0
cinque,stAs2,none,no ped_cyc,11249,1.0,1.0
cinque,stAs2,g1,all,12146,0.3128324151039123,0.0664416268730446
cinque,stAs2,g1,straight,4365,0.2523041367530823,0.0364261168384879
cinque,stAs2,g1,ped_cyc_corridor,897,0.2976479828357696,0.0479375696767001
cinque,stAs2,g1,no ped_cyc,11249,0.3140432238578796,0.0679171481909503
cinque,stAs2,g3,all,12146,0.0130781242623925,0.005680882595093
cinque,stAs2,g3,straight,4365,0.0192912220954895,0.0080183276059564
cinque,stAs2,g3,ped_cyc_corridor,897,0.0192282479256391,0.007803790412486
cinque,stAs2,g3,no ped_cyc,11249,0.0125877102836966,0.0055116010312027
cinque,stAs2,g2,all,12146,0.4287610352039337,0.5292277292935946
cinque,stAs2,g2,straight,4365,0.4959021210670471,0.706987399770905
cinque,stAs2,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
cinque,stAs2,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
