examinee,tau,flip,vs prior (pp),null ff (oos),non-reactive ff
ridge_late op-cinque temporal,0.53,"70.0 [65.5, 74.5]",,4.4%,18.0%
M-C pair [cinque],1.52,"58.7 [54.2, 63.1]","-11.2 [-13.6, -8.9]",5.8%,4.6%
student A s0 [cinque],0.70,"59.8 [53.1, 65.8]","-10.2 [-14.9, -6.2]",4.9%,15.7%
student A s1 [cinque],0.67,"62.1 [55.9, 67.9]","-7.9 [-11.9, -4.4]",5.2%,16.7%
student A s2 [cinque],0.63,"62.9 [56.6, 68.7]","-7.1 [-11.1, -3.7]",4.9%,17.5%
student B s0 [cinque],0.62,"60.8 [54.1, 67.0]","-9.2 [-13.6, -5.2]",5.2%,16.9%
student B s1 [cinque],0.62,"63.3 [57.2, 69.1]","-6.7 [-10.5, -3.3]",4.8%,16.7%
student B s2 [cinque],0.66,"62.6 [56.5, 68.2]","-7.4 [-11.1, -4.0]",5.2%,16.0%
M-C pair [cinque] x g1,1.33,"59.1 [55.0, 63.1]","-10.9 [-13.4, -8.5]",5.2%,4.4%
M-C pair [cinque] x g3,0.53,"68.4 [63.9, 72.8]","-1.6 [-2.8, -0.6]",4.4%,15.7%
M-C pair [cinque] x g2,0.86,"65.6 [60.8, 70.1]","-4.4 [-6.0, -2.9]",5.4%,9.8%
M-C pair [cinque] x c2,0.71,"68.1 [63.8, 72.3]","-1.9 [-3.1, -0.7]",5.1%,12.9%
student A s0 [cinque] x g1,0.68,"60.4 [54.0, 66.1]","-9.6 [-14.2, -5.8]",4.9%,15.7%
student A s0 [cinque] x g3,0.53,"69.0 [64.5, 73.4]","-1.0 [-2.2, +0.1]",4.4%,18.0%
student A s0 [cinque] x g2,0.55,"70.1 [65.2, 74.8]","+0.1 [-1.3, +1.4]",4.7%,18.3%
student A s0 [cinque] x c2,0.56,"70.1 [65.2, 74.9]","+0.1 [-1.2, +1.3]",4.8%,18.1%
student A s1 [cinque] x g1,0.63,"63.0 [57.0, 68.6]","-6.9 [-10.7, -3.7]",4.8%,17.4%
student A s1 [cinque] x g3,0.53,"69.2 [64.7, 73.7]","-0.8 [-1.8, +0.2]",4.4%,18.0%
student A s1 [cinque] x g2,0.56,"70.1 [65.2, 74.9]","+0.2 [-1.2, +1.4]",4.7%,18.4%
student A s1 [cinque] x c2,0.55,"70.6 [65.6, 75.4]","+0.6 [-0.6, +1.7]",4.9%,18.6%
student A s2 [cinque] x g1,0.63,"63.0 [56.9, 68.8]","-6.9 [-10.8, -3.6]",5.1%,17.1%
student A s2 [cinque] x g3,0.53,"68.7 [64.1, 73.3]","-1.3 [-2.5, -0.1]",4.4%,18.0%
student A s2 [cinque] x g2,0.55,"70.2 [65.3, 75.0]","+0.2 [-1.1, +1.5]",4.8%,18.4%
student A s2 [cinque] x c2,0.55,"70.5 [65.7, 75.2]","+0.5 [-0.7, +1.7]",4.5%,18.2%
student B s0 [cinque] x g1,0.61,"61.4 [54.7, 67.6]","-8.6 [-12.9, -4.8]",5.2%,16.4%
student B s0 [cinque] x g3,0.53,"68.4 [63.8, 73.0]","-1.6 [-3.0, -0.3]",4.4%,17.5%
student B s0 [cinque] x g2,0.55,"69.9 [65.0, 74.6]","-0.1 [-1.4, +1.1]",4.5%,17.8%
student B s0 [cinque] x c2,0.53,"70.3 [65.5, 75.1]","+0.3 [-0.9, +1.5]",4.5%,18.4%
student B s1 [cinque] x g1,0.61,"63.8 [57.8, 69.6]","-6.2 [-9.8, -2.9]",5.1%,16.5%
student B s1 [cinque] x g3,0.53,"68.6 [63.9, 73.1]","-1.4 [-2.6, -0.3]",4.4%,17.6%
student B s1 [cinque] x g2,0.55,"70.3 [65.5, 75.1]","+0.3 [-0.9, +1.5]",4.7%,17.7%
student B s1 [cinque] x c2,0.55,"70.7 [65.8, 75.4]","+0.7 [-0.5, +1.9]",4.5%,17.8%
student B s2 [cinque] x g1,0.62,"63.4 [57.4, 69.0]","-6.6 [-10.2, -3.3]",4.7%,16.2%
student B s2 [cinque] x g3,0.53,"68.3 [63.7, 72.9]","-1.7 [-3.3, -0.4]",4.4%,17.6%
student B s2 [cinque] x g2,0.55,"70.3 [65.5, 75.0]","+0.3 [-1.0, +1.7]",4.7%,17.5%
student B s2 [cinque] x c2,0.53,"70.7 [65.8, 75.3]","+0.7 [-0.6, +2.0]",4.4%,18.2%
ridge_late op-lebowski temporal,0.73,"70.5 [65.8, 74.8]",,4.9%,19.1%
M-C pair [lebowski],1.23,"67.4 [62.8, 71.7]","-3.1 [-4.5, -1.8]",5.2%,9.4%
student A s0 [lebowski],0.95,"67.0 [62.9, 70.9]","-3.5 [-5.0, -2.1]",5.2%,13.7%
student A s1 [lebowski],0.93,"67.0 [63.0, 70.9]","-3.4 [-5.0, -1.9]",5.7%,13.8%
student A s2 [lebowski],0.91,"67.4 [63.3, 71.3]","-3.1 [-4.6, -1.7]",4.9%,14.2%
student B s0 [lebowski],0.96,"67.1 [62.9, 71.3]","-3.3 [-4.7, -2.0]",5.6%,12.3%
student B s1 [lebowski],0.94,"67.7 [63.4, 71.9]","-2.8 [-3.9, -1.7]",4.8%,12.3%
student B s2 [lebowski],0.94,"67.5 [63.2, 71.8]","-2.9 [-4.3, -1.7]",5.1%,12.6%
M-C pair [lebowski] x g1,1.02,"68.9 [64.6, 72.9]","-1.6 [-3.0, -0.2]",5.7%,11.8%
M-C pair [lebowski] x g3,0.73,"70.1 [65.6, 74.3]","-0.4 [-1.4, +0.7]",5.1%,17.0%
M-C pair [lebowski] x g2,0.77,"70.9 [66.4, 75.1]","+0.4 [-0.2, +1.0]",6.6%,16.6%
M-C pair [lebowski] x c2,0.71,"72.3 [67.6, 76.7]","+1.9 [+1.1, +2.6]",5.6%,19.1%
student A s0 [lebowski] x g1,0.86,"68.1 [64.0, 72.1]","-2.3 [-3.5, -1.2]",5.2%,14.1%
student A s0 [lebowski] x g3,0.73,"70.4 [66.0, 74.6]","-0.1 [-0.6, +0.3]",4.9%,18.5%
student A s0 [lebowski] x g2,0.75,"70.2 [65.7, 74.5]","-0.3 [-0.8, +0.2]",5.1%,18.1%
student A s0 [lebowski] x c2,0.75,"70.1 [65.6, 74.5]","-0.3 [-0.8, +0.2]",5.2%,17.8%
student A s1 [lebowski] x g1,0.85,"68.4 [64.3, 72.5]","-2.0 [-3.3, -0.8]",5.1%,14.5%
