model,source,gate,scope,n,tau,activation
lebowski,stAs1,g1,ped_cyc_corridor,897,1.428723305463791,0.0
lebowski,stAs1,g1,no ped_cyc,11249,1.428723305463791,0.0024002133522979
lebowski,stAs1,g3,all,12146,1.428723305463791,0.0
lebowski,stAs1,g3,straight,4365,1.428723305463791,0.0
lebowski,stAs1,g3,ped_cyc_corridor,897,1.428723305463791,0.0
lebowski,stAs1,g3,no ped_cyc,11249,1.428723305463791,0.0
lebowski,stAs1,g2,all,12146,1.428723305463791,0.0063395356495965
lebowski,stAs1,g2,straight,4365,1.428723305463791,0.015807560137457
lebowski,stAs1,g2,ped_cyc_corridor,897,1.428723305463791,0.0022296544035674
lebowski,stAs1,g2,no ped_cyc,11249,1.428723305463791,0.0066672593119388
cinque,stAs2,none,all,12146,1.6529502868652344,0.0132553927218837
cinque,stAs2,none,straight,4365,1.6529502868652344,0.0107674684994272
cinque,stAs2,none,ped_cyc_corridor,897,1.6529502868652344,0.0066889632107023
cinque,stAs2,none,no ped_cyc,11249,1.6529502868652344,0.0137790025780069
cinque,stAs2,g1,all,12146,1.6529502868652344,0.0037872550633953
cinque,stAs2,g1,straight,4365,1.6529502868652344,0.002061855670103
cinque,stAs2,g1,ped_cyc_corridor,897,1.6529502868652344,0.0011148272017837
cinque,stAs2,g1,no ped_cyc,11249,1.6529502868652344,0.0040003555871633
cinque,stAs2,g3,all,12146,1.6529502868652344,0.0
cinque,stAs2,g3,straight,4365,1.6529502868652344,0.0
cinque,stAs2,g3,ped_cyc_corridor,897,1.6529502868652344,0.0
cinque,stAs2,g3,no ped_cyc,11249,1.6529502868652344,0.0
cinque,stAs2,g2,all,12146,1.6529502868652344,0.00279927548164
cinque,stAs2,g2,straight,4365,1.6529502868652344,0.0009163802978235
cinque,stAs2,g2,ped_cyc_corridor,897,1.6529502868652344,0.0033444816053511
cinque,stAs2,g2,no ped_cyc,11249,1.6529502868652344,0.0027558005156013
lebowski,stAs2,none,all,12146,1.4004497528076172,0.0219825456940556
lebowski,stAs2,none,straight,4365,1.4004497528076172,0.0414662084765177
lebowski,stAs2,none,ped_cyc_corridor,897,1.4004497528076172,0.0178372352285395
lebowski,stAs2,none,no ped_cyc,11249,1.4004497528076172,0.0223130944972886
lebowski,stAs2,g1,all,12146,1.4004497528076172,0.0026346122180141
lebowski,stAs2,g1,straight,4365,1.4004497528076172,0.0013745704467353
lebowski,stAs2,g1,ped_cyc_corridor,897,1.4004497528076172,0.0
lebowski,stAs2,g1,no ped_cyc,11249,1.4004497528076172,0.0028446973064272
lebowski,stAs2,g3,all,12146,1.4004497528076172,0.0
lebowski,stAs2,g3,straight,4365,1.4004497528076172,0.0
lebowski,stAs2,g3,ped_cyc_corridor,897,1.4004497528076172,0.0
lebowski,stAs2,g3,no ped_cyc,11249,1.4004497528076172,0.0
lebowski,stAs2,g2,all,12146,1.4004497528076172,0.0060925407541577
lebowski,stAs2,g2,straight,4365,1.4004497528076172,0.0137457044673539
lebowski,stAs2,g2,ped_cyc_corridor,897,1.4004497528076172,0.0033444816053511
lebowski,stAs2,g2,no ped_cyc,11249,1.4004497528076172,0.0063116721486354
