model,gate,scope,n,gate_mean,gate_open
cinque,g1,static,1730,0.9547096490859984,0.9901734104046244
cinque,g1,cutin,614,0.8753280639648438,0.9234527687296415
cinque,g1,oncoming,1215,0.9210893511772156,0.9753086419753086
cinque,g1,minus,1741,0.8592792749404907,0.9000574382538771
cinque,g1,null_world,792,0.7861328125,0.8345959595959596
cinque,g3,static,1730,0.356420487165451,0.3630057803468208
cinque,g3,cutin,614,0.0985975638031959,0.0944625407166123
cinque,g3,oncoming,1215,0.0712445899844169,0.0518518518518518
cinque,g3,minus,1741,5.8136174629908055e-05,0.0
cinque,g3,null_world,792,1.401600366079947e-05,0.0
cinque,g2,static,1730,0.2990117967128753,0.0057803468208092
cinque,g2,cutin,614,0.3362796902656555,0.01628664495114
cinque,g2,oncoming,1215,0.2898662984371185,0.0041152263374485
cinque,g2,minus,1741,0.2667814195156097,0.0040206777713957
cinque,g2,null_world,792,0.3223465085029602,0.0214646464646464
cinque,c2,static,1730,0.2939702868461609,0.0
cinque,c2,cutin,614,0.2939702570438385,0.0
cinque,c2,oncoming,1215,0.2939702868461609,0.0
cinque,c2,minus,1741,0.2939702868461609,0.0
cinque,c2,null_world,792,0.2939702868461609,0.0
lebowski,g1,static,1730,0.8551061153411865,0.9618497109826588
lebowski,g1,cutin,614,0.7820152044296265,0.8973941368078175
lebowski,g1,oncoming,1215,0.796413004398346,0.9242798353909464
lebowski,g1,minus,1741,0.7415738105773926,0.8477886272257323
lebowski,g1,null_world,792,0.7100861668586731,0.8055555555555556
lebowski,g3,static,1730,0.3807165026664734,0.3907514450867052
lebowski,g3,cutin,614,0.1304285079240799,0.1400651465798045
lebowski,g3,oncoming,1215,0.1194366365671157,0.1119341563786008
lebowski,g3,minus,1741,0.004176156129688,0.0022975301550832
lebowski,g3,null_world,792,0.0043326071463525,0.0025252525252525
lebowski,g2,static,1730,0.2990117967128753,0.0057803468208092
lebowski,g2,cutin,614,0.3362796902656555,0.01628664495114
lebowski,g2,oncoming,1215,0.2898662984371185,0.0041152263374485
lebowski,g2,minus,1741,0.2667814195156097,0.0040206777713957
lebowski,g2,null_world,792,0.3223465085029602,0.0214646464646464
lebowski,c2,static,1730,0.2939702868461609,0.0
lebowski,c2,cutin,614,0.2939702570438385,0.0
lebowski,c2,oncoming,1215,0.2939702868461609,0.0
lebowski,c2,minus,1741,0.2939702868461609,0.0
lebowski,c2,null_world,792,0.2939702868461609,0.0
