examinee,vs,scope,n,delta,lo,hi
student A s0 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0231481481481481,-0.067569199634417,0.0192307692307692
student A s0 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.0684931506849315,-0.1059207976226366,-0.0335854121772161
student A s0 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.1313868613138686,-0.1949256310772113,-0.0739929117176655
student A s0 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.009825327510917,-0.022120460165593,0.0005734192814484
student A s0 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student A s0 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0015220700152207,-0.0031695721077654,0.0063494587023998
student A s0 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0187695516162669,-0.0414121164364512,0.0010571104175755
student A s0 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,0.0010917030567685,-0.0127089915803223,0.0143042202393691
student A s0 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,0.0046296296296296,-0.0144265776699029,0.02451181292189
student A s0 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.0121765601217656,0.0,0.0247699518403852
student A s0 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0072992700729927,-0.0295030295865596,0.0136326453983451
student A s0 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.0010917030567685,-0.0118614452990891,0.0126866812127269
student A s0 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0092592592592592,-0.0087719298245614,0.0281756892063279
student A s0 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0121765601217656,0.0,0.0241354723707664
student A s0 [cinque] x c2,ridge_late op-cinque temporal,static,959,-0.008342022940563,-0.0289002697324215,0.008439264591752
student A s1 [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.0693231441048034,-0.1073637145691537,-0.0370951006583341
student A s1 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0185185185185185,-0.0533392857142857,0.0180200562553503
student A s1 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.0487062404870624,-0.0829660402242004,-0.0182919868582247
student A s1 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.0948905109489051,-0.1473538102974297,-0.0468237914166512
student A s1 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0076419213973799,-0.0183542373238267,0.0016512328317273
student A s1 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student A s1 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0015220700152207,-0.0031695721077654,0.0063494587023998
student A s1 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0145985401459854,-0.0349470799300409,0.003131605814098
student A s1 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,0.0016375545851528,-0.0116754406042572,0.0144704252631869
student A s1 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,0.0,-0.0186046511627906,0.0181838937318389
student A s1 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.0121765601217656,0.001483298256622,0.0235852535203428
student A s1 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0052137643378519,-0.0273418054279971,0.0148309016481837
student A s1 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.006004366812227,-0.0063161367077655,0.0174810607159644
student A s1 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0092592592592592,-0.0087719298245614,0.0281756892063279
student A s1 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0136986301369863,0.0015871760096443,0.0255255255255255
student A s1 [cinque] x c2,ridge_late op-cinque temporal,static,959,0.0,-0.0198973799968068,0.0167372788435391
student A s2 [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.0693231441048034,-0.1075703515053709,-0.0364136394254116
student A s2 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0231481481481481,-0.0555555555555555,0.0126145912910618
student A s2 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.0441400304414003,-0.0800029673590504,-0.0118501063655702
student A s2 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.0969760166840458,-0.1528977170148861,-0.0468250057870245
student A s2 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0125545851528384,-0.025057141186401,-0.0011415355674376
student A s2 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student A s2 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0015220700152207,-0.0031695721077654,0.0063494587023998
student A s2 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0239833159541188,-0.0471735313374203,-0.0031085674217445
student A s2 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,0.0021834061135371,-0.0108654183300026,0.014949478874332
student A s2 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,-0.0092592592592592,-0.0324074074074074,0.0096153846153846
student A s2 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.0136986301369863,0.0029204829160847,0.0258771654641151
student A s2 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0031282586027111,-0.0240863021013978,0.0166501916777253
student A s2 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.0054585152838427,-0.007257030239409,0.0173231332269815
student A s2 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0092592592592592,-0.0087719298245614,0.0281756892063279
student A s2 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0136986301369863,0.0029761904761904,0.0256468797564687
student A s2 [cinque] x c2,ridge_late op-cinque temporal,static,959,-0.0010427528675703,-0.0209716012003823,0.016580310880829
student B s0 [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.0856986899563318,-0.1292537598418563,-0.047643091415748
student B s0 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0185185185185185,-0.0524074925304527,0.0133333333333333
student B s0 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.0380517503805175,-0.0737342804397312,-0.0075061089405351
student B s0 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.1334723670490094,-0.196031336260769,-0.0764522791680676
