examinee,vs,scope,n,delta,lo,hi
student A s2 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,-0.0041710114702815,-0.0113168724279835,0.0020388401070804
student A s2 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,-0.0005458515283842,-0.0049345496007059,0.0037555667082006
student A s2 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student A s2 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,0.0,-0.010719754977029,0.0093517661461287
student A s2 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,-0.0010427528675703,-0.0063426625054532,0.0040859062813981
student A s2 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0021834061135371,-0.0065223617732868,0.002189411474829
student A s2 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,0.0046296296296296,0.0,0.0140861679511028
student A s2 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,-0.0045662100456621,-0.014706423806636,0.0057983727434528
student A s2 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.0020855057351407,-0.0072693293914373,0.0030457626594032
student B s0 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0131004366812227,-0.0220982330734973,-0.004725238425251
student B s0 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0138888888888888,-0.0334958385267982,0.0046296296296296
student B s0 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0136986301369863,-0.0281075498575498,0.0
student B s0 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0125130344108446,-0.0240604707881299,-0.0020554456991754
student B s0 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,0.0038209606986899,0.0,0.0080554679089795
student B s0 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student B s0 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0045662100456621,-0.0030583384927112,0.0124035822620251
student B s0 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,0.0041710114702815,0.0,0.0094149668301378
student B s0 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,-0.0021834061135371,-0.0073623239485121,0.0027625455946335
student B s0 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student B s0 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,-0.0015220700152207,-0.0134963153823995,0.0089696198440593
student B s0 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,-0.0020855057351407,-0.0083952062738167,0.0041152263374485
student B s0 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0027292576419213,-0.0074631851432309,0.0016521192834716
student B s0 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student B s0 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,-0.0015220700152207,-0.0119069929321053,0.0081038667559423
student B s0 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.0085108648856864,0.002089918810089
student B s1 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0109170305676855,-0.0200709663739309,-0.0016500067815
student B s1 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0185185185185185,-0.0355555555555555,-0.0044052863436123
student B s1 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0045662100456621,-0.0197360057977404,0.0092592592592592
student B s1 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.013555787278415,-0.0255075041084611,-0.0030800031590586
student B s1 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,0.0038209606986899,-0.0010621490002556,0.0090040659680502
student B s1 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student B s1 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0045662100456621,-0.0030583384927112,0.0124035822620251
student B s1 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,0.0041710114702815,-0.0020942957182214,0.0112953845435878
student B s1 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,0.0,-0.0051172013319256,0.0050405483509735
student B s1 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0151553803339517,0.0
student B s1 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,0.0015220700152207,-0.0091890671202038,0.0107535165763705
student B s1 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,0.0,-0.0065449180773827,0.007239258215409
student B s1 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0027292576419213,-0.0080445257590029,0.0022065017081628
student B s1 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student B s1 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,0.0015220700152207,-0.0079624193646852,0.0115963186290066
student B s1 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.0062565172054223,-0.0127558154533137,-0.001021424402243
student B s2 [lebowski] x g1,ridge_late op-lebowski temporal,pooled,1832,-0.0131004366812227,-0.0227671020179931,-0.0037571793166679
student B s2 [lebowski] x g1,ridge_late op-lebowski temporal,cutin,216,-0.0092592592592592,-0.0318218140307181,0.0098534360825245
student B s2 [lebowski] x g1,ridge_late op-lebowski temporal,oncoming,657,-0.0121765601217656,-0.0282769792333973,0.0029679134897295
student B s2 [lebowski] x g1,ridge_late op-lebowski temporal,static,959,-0.0145985401459854,-0.0267379679144385,-0.0041279669762641
student B s2 [lebowski] x g3,ridge_late op-lebowski temporal,pooled,1832,0.0038209606986899,0.0,0.007905810164709
student B s2 [lebowski] x g3,ridge_late op-lebowski temporal,cutin,216,0.0,0.0,0.0
student B s2 [lebowski] x g3,ridge_late op-lebowski temporal,oncoming,657,0.0030441400304414,-0.0045112781954887,0.010558468100231
student B s2 [lebowski] x g3,ridge_late op-lebowski temporal,static,959,0.0052137643378519,0.0,0.0115670762078698
student B s2 [lebowski] x g2,ridge_late op-lebowski temporal,pooled,1832,-0.0027292576419213,-0.0078785577220439,0.002181054828448
student B s2 [lebowski] x g2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0151553803339517,0.0
student B s2 [lebowski] x g2,ridge_late op-lebowski temporal,oncoming,657,-0.0015220700152207,-0.0128260869565217,0.0090100281276751
student B s2 [lebowski] x g2,ridge_late op-lebowski temporal,static,959,-0.0031282586027111,-0.0093559966216216,0.0021684941903065
student B s2 [lebowski] x c2,ridge_late op-lebowski temporal,pooled,1832,-0.0054585152838427,-0.0101295291690114,-0.0010138470058065
student B s2 [lebowski] x c2,ridge_late op-lebowski temporal,cutin,216,-0.0046296296296296,-0.0149272388059701,0.0
student B s2 [lebowski] x c2,ridge_late op-lebowski temporal,oncoming,657,-0.0015220700152207,-0.0118360805860805,0.0080006420545746
student B s2 [lebowski] x c2,ridge_late op-lebowski temporal,static,959,-0.008342022940563,-0.0147368421052631,-0.0030799243444306
