model,weather,dist_bin,frames,gt_lead,routes,recall,recall_lo,recall_hi,detected,err_abs_median,err_abs_p90,err_signed_median,ratio_median,lat_err_abs_median,no_lead,false_alarm,fa_lo,fa_hi,false_alarm_x_le_80
cinque,all,all,9919,6367,43,0.7726,0.6485,0.8771,4919,1.611,13.14,-0.7415,0.9364,0.1577,3552,0.2224,0.09361,0.3984,0.2106
cinque,all,0-10,9919,1648,22,0.9636,0.9052,0.9862,1588,1.018,6.517,-0.2993,0.951,0.1328,,,,,
cinque,all,10-20,9919,1892,27,0.9075,0.8457,0.9487,1717,1.33,2.533,-0.7494,0.9403,0.1747,,,,,
cinque,all,20-40,9919,975,18,0.8379,0.6642,0.9628,817,2.058,4.727,-0.07302,0.9968,0.1655,,,,,
cinque,all,40-80,9919,1852,18,0.4303,0.265,0.6087,797,14.25,31.9,-14.25,0.6686,0.2032,,,,,
cinque,day,all,6988,4343,42,0.7969,0.6516,0.9127,3461,1.75,17.12,-0.8194,0.9329,0.1627,2645,0.2439,0.1001,0.4536,0.228
cinque,day,0-10,6988,1021,22,0.9647,0.9139,0.9843,985,1.007,9.511,-0.155,0.9745,0.1501,,,,,
cinque,day,10-20,6988,1337,27,0.905,0.8371,0.9538,1210,1.363,2.477,-0.9239,0.9261,0.1615,,,,,
cinque,day,20-40,6988,685,17,0.8496,0.598,0.9897,582,2.434,5.012,0.425,1.012,0.1774,,,,,
cinque,day,40-80,6988,1300,18,0.5262,0.3094,0.7793,684,13.93,32.54,-13.93,0.6844,0.203,,,,,
cinque,night,all,2931,2024,38,0.7204,0.5244,0.8843,1458,1.302,5.887,-0.6339,0.9463,0.144,907,0.1599,0.06747,0.3121,0.1599
cinque,night,0-10,2931,627,18,0.9617,0.8095,0.9923,603,1.042,3.918,-0.64,0.9081,0.1146,,,,,
cinque,night,10-20,2931,555,25,0.9135,0.829,0.9658,507,1.212,2.672,-0.2913,0.9768,0.1884,,,,,
cinque,night,20-40,2931,290,15,0.8103,0.7014,0.9592,235,1.304,3.339,-0.5758,0.9788,0.1485,,,,,
cinque,night,40-80,2931,552,15,0.2047,0.1103,0.3731,113,16.14,30.44,-16.14,0.6114,0.2051,,,,,
cinque,rain,all,3674,3131,20,0.7196,0.5099,0.8883,2253,1.976,26.33,-1.087,0.9077,0.1566,543,0.1123,0.02951,0.28,0.1123
cinque,rain,0-10,3674,730,12,0.974,0.8977,0.9926,711,1.017,7.275,-0.1022,0.9833,0.1463,,,,,
cinque,rain,10-20,3674,656,12,0.9634,0.9015,0.9964,632,1.754,2.804,-1.515,0.8574,0.156,,,,,
cinque,rain,20-40,3674,597,9,0.8208,0.596,0.9964,490,2.84,5.209,-0.5625,0.9785,0.2726,,,,,
cinque,rain,40-80,3674,1148,11,0.3659,0.1317,0.5428,420,26.53,36.81,-26.53,0.5171,0.1272,,,,,
lebowski,all,all,9919,6367,43,0.7343,0.5683,0.8708,4675,1.39,7.265,-1.053,0.9152,0.2589,3552,0.2064,0.07482,0.3933,0.2064
lebowski,all,0-10,9919,1648,22,0.9563,0.8793,0.9844,1576,0.847,9.449,-0.2321,0.9627,0.1457,,,,,
lebowski,all,10-20,9919,1892,27,0.9212,0.8647,0.9595,1743,1.438,2.949,-1.245,0.892,0.2249,,,,,
lebowski,all,20-40,9919,975,18,0.8513,0.6916,0.9663,830,2.269,5.146,-2.18,0.9248,0.498,,,,,
lebowski,all,40-80,9919,1852,18,0.284,0.1761,0.4974,526,5.79,29.33,-5.58,0.8649,0.5979,,,,,
lebowski,day,all,6988,4343,42,0.7391,0.537,0.8931,3210,1.427,7.044,-1.019,0.9207,0.2789,2645,0.2185,0.06233,0.4233,0.2185
lebowski,day,0-10,6988,1021,22,0.9647,0.9019,0.9859,985,0.9156,11.51,-0.1784,0.9712,0.1669,,,,,
lebowski,day,10-20,6988,1337,27,0.9185,0.8539,0.9611,1228,1.421,3.011,-1.208,0.8935,0.2362,,,,,
lebowski,day,20-40,6988,685,17,0.8642,0.6391,0.9911,592,2.227,4.892,-2.089,0.9289,0.6213,,,,,
lebowski,day,40-80,6988,1300,18,0.3115,0.1806,0.635,405,4.762,28.35,-4.732,0.8911,0.6437,,,,,
lebowski,night,all,2931,2024,38,0.7238,0.5155,0.886,1465,1.351,8.219,-1.156,0.9055,0.1996,907,0.1709,0.06734,0.3217,0.1709
lebowski,night,0-10,2931,627,18,0.9426,0.7054,0.992,591,0.6511,5.231,-0.3874,0.9372,0.1201,,,,,
lebowski,night,10-20,2931,555,25,0.9279,0.8549,0.9695,515,1.573,2.825,-1.409,0.8786,0.1973,,,,,
lebowski,night,20-40,2931,290,15,0.8207,0.7002,0.9523,238,2.513,5.814,-2.383,0.9168,0.4457,,,,,
lebowski,night,40-80,2931,552,15,0.2192,0.104,0.41,121,15.73,38.45,-15.73,0.6323,0.4944,,,,,
lebowski,rain,all,3674,3131,20,0.6643,0.3857,0.8927,2080,1.265,6.706,-0.902,0.9272,0.2473,543,0.1087,0.03492,0.2691,0.1087
lebowski,rain,0-10,3674,730,12,0.9616,0.7936,0.9942,702,0.9243,9.33,-0.2316,0.9633,0.1492,,,,,
lebowski,rain,10-20,3674,656,12,0.9802,0.9399,1,643,1.352,2.297,-1.261,0.8806,0.2141,,,,,
lebowski,rain,20-40,3674,597,9,0.8224,0.5949,0.9964,491,1.755,4.259,-1.362,0.9502,0.673,,,,,
lebowski,rain,40-80,3674,1148,11,0.2125,0.1071,0.5063,244,4.062,30.64,-3.807,0.905,0.6209,,,,,
