stream,median_edit,median_placebo,ratio,lo,hi
Q,0.3222411274909973,0.26708242297172546,1.2065231800079346,1.0822185426950455,1.2811391294002532
op cinque,0.06966524571180344,0.02905338630080223,2.3978357315063477,2.030969685316086,2.7586829602718352
op lebowski,0.07642936706542969,0.03973294794559479,1.9235765933990479,1.6656703889369964,2.3086624026298517
