set,examinee,scope,L_s,pairs,null_cases,area_L_10,area_lo,area_hi,null_area_L_10,null_lo,null_hi,area_minus_null,diff_lo,diff_hi,area_L_3_descriptive,A3,A3_lo,A3_hi,A3_null,A3_null_lo,A3_null_hi,A3_minus_null,A3_diff_lo,A3_diff_hi,area_reactive_only_L_10,end_all,end_reactive_only,null_end
ba,TFv6 target speed,pooled,0.1,147,68,0.036190476190476197,0.0031372549019607855,0.0819737878787878,0.04529411764705881,0.004411764705882354,0.0976764705882351,-0.009103641456582615,-0.07317010846891946,0.04937998890122087,0.013605442176870746,0.013605442176870746,0.0,0.04444444444444444,0.03333333333333333,0.0,0.08137254901960785,-0.019727891156462587,-0.07352941176470587,0.0261437908496732,0.0,0.061224489795918366,0.0,0.058823529411764705
ba,TFv6 waypoint speed 2 s,pooled,0.1,147,68,0.5099319727891156,0.42128663101604286,0.5961317829457364,0.2511764705882353,0.16793382352941183,0.3476617647058822,0.25875550220088034,0.15962497225305233,0.35755354808590095,0.18140589569160998,0.18140589569160998,0.10177145969498912,0.27182033096926694,0.1323529411764706,0.06568627450980394,0.21176470588235294,0.049052954515139385,-0.04835530198701556,0.14204498466053056,0.3721088435374149,0.7619047619047619,0.6462585034013606,0.3382352941176471
ba,TFv6 target speed (decoded scalar),pooled,0.1,147,68,0.04163265306122449,0.006938775510204082,0.08893948632668143,0.04529411764705881,0.004411764705882354,0.0976764705882351,-0.0036614645858343217,-0.06702635960044385,0.05837290010343757,0.015873015873015872,0.015873015873015872,0.0,0.04762806637806632,0.03333333333333333,0.0,0.08137254901960785,-0.01746031746031746,-0.07082400402881033,0.029089733115468384,0.0,0.06802721088435375,0.0,0.058823529411764705
ba,ridge ego,pooled,0.0,147,68,0.2619714552487662,0.17272455648926233,0.3529607843137254,0.0,0.0,0.0,0.2619714552487662,0.17272455648926233,0.3529607843137254,0.1292517006802721,0.1292517006802721,0.0579128787878788,0.21291900510204087,0.0,0.0,0.0,0.1292517006802721,0.0579128787878788,0.21291900510204087,0.24062958516740027,0.4421768707482993,0.41496598639455784,0.0
ba,ridge_late L18_last,pooled,0.3,147,68,0.0,0.0,0.0,0.22659063625450176,0.14221938775510212,0.3238445378151262,-0.22659063625450176,-0.32384453781512623,-0.14221938775510234,0.0,0.0,0.0,0.0,0.16806722689075632,0.09873949579831934,0.25105042016806717,-0.16806722689075632,-0.25105042016806717,-0.09873949579831934,0.0,0.0,0.0,0.25
ba,ridge_late L18_mean,pooled,0.3,147,68,0.0,0.0,0.0,0.1293517406962785,0.06602641056422574,0.2028811524609844,-0.1293517406962785,-0.2028811524609844,-0.06602641056422574,0.0,0.0,0.0,0.0,0.07352941176470588,0.029411764705882356,0.1323529411764706,-0.07352941176470588,-0.1323529411764706,-0.029411764705882356,0.0,0.0,0.0,0.16176470588235295
ba,ridge_late op-cinque temporal,pooled,0.1,147,68,0.2204081632653061,0.1628509316770186,0.2827282246231824,0.20735294117647057,0.1238088235294118,0.2935294117647057,0.013055222088835527,-0.08905212328833953,0.11371241496598641,0.006802721088435373,0.006802721088435373,0.0,0.02222222222222222,0.12647058823529414,0.06075980392156862,0.20588235294117643,-0.11966786714685877,-0.19707887700534762,-0.050773615001556326,0.18843537414965983,0.5170068027210885,0.5034013605442177,0.27941176470588236
ba,ridge_late op-cinque vision,pooled,0.1,147,68,0.3160544217687075,0.24297476813966173,0.393340136054422,0.22117647058823528,0.14058088235294125,0.3050073529411764,0.09487795118047224,-0.019732657877966235,0.20343706232492964,0.027664399092970523,0.027664399092970523,0.003484162895927602,0.059270833333333266,0.11568627450980391,0.05392156862745098,0.18627450980392155,-0.08802187541683339,-0.1642886942010847,-0.02161186172582247,0.27591836734693875,0.6326530612244898,0.6054421768707483,0.3088235294117647
ba,ridge_late op-lebowski temporal,pooled,0.1,147,68,0.2663945578231292,0.20351060606060614,0.33430357142857126,0.34029411764705875,0.24941176470588247,0.43647794117647076,-0.07389955982392954,-0.17671862206421057,0.031496353328565395,0.0217687074829932,0.0217687074829932,0.005030376930646472,0.04360625824986412,0.19607843137254907,0.1107843137254902,0.28139705882352933,-0.17430972388955587,-0.25921693677470986,-0.0884685301070783,0.21605442176870754,0.564625850340136,0.54421768707483,0.47058823529411764
ba,ridge_late op-lebowski vision,pooled,0.1,147,68,0.30884353741496595,0.23525513626834388,0.3837604166666665,0.2908823529411764,0.19969852941176472,0.3814926470588236,0.017961184473789527,-0.08465263871506054,0.11630892356942753,0.036281179138321996,0.036281179138321996,0.011555128205128206,0.06772985923929317,0.1588235294117647,0.08627450980392157,0.23921568627450981,-0.12254235027344271,-0.20176852182953559,-0.05136438664272384,0.26530612244897966,0.6122448979591837,0.6054421768707483,0.4117647058823529
