expert,pk,onset,scope
pdm,22531/1,2.2,cut-in
pdm,22531/2,2.2,cut-in
pdm,22535/0,0.0,cut-in
pdm,22535/1,0.0,cut-in
pdm,22535/2,0.0,cut-in
pdm,2299/0,1.6,cut-in
pdm,2299/1,1.8,cut-in
pdm,2299/2,1.6,cut-in
pdm,23697/0,1.4000000000000001,cut-in
pdm,23697/1,1.2000000000000002,cut-in
pdm,23842/0,1.4000000000000001,cut-in
pdm,23842/1,1.8,cut-in
pdm,23842/2,1.8,cut-in
pdm,24206/0,1.8,pedestrian
pdm,24206/1,1.8,pedestrian
pdm,24206/2,2.6,pedestrian
pdm,24211/0,0.0,pedestrian
pdm,24211/1,0.0,pedestrian
pdm,24211/2,0.0,pedestrian
pdm,24252/0,0.4,pedestrian
pdm,24252/1,0.0,pedestrian
pdm,24252/2,0.0,pedestrian
pdm,24294/0,0.0,pedestrian
pdm,24294/1,0.0,pedestrian
pdm,24294/2,0.0,pedestrian
pdm,24416/0,0.0,cut-in
pdm,24416/1,0.0,cut-in
pdm,24416/2,0.0,cut-in
pdm,2460/0,0.2,pedestrian
pdm,2460/1,0.2,pedestrian
pdm,2460/2,0.2,pedestrian
pdm,24679/0,1.4000000000000001,cut-in
pdm,24679/1,1.6,cut-in
pdm,24679/2,2.0,cut-in
pdm,24759/0,2.0,cut-in
pdm,24759/1,2.2,cut-in
pdm,24759/2,2.4000000000000004,cut-in
pdm,25358/0,0.0,cut-in
pdm,25358/1,0.0,cut-in
pdm,25358/2,0.0,cut-in
pdm,25863/0,0.0,pedestrian
pdm,25863/1,0.0,pedestrian
pdm,25863/2,0.0,pedestrian
pdm,26396/0,0.0,cut-in
pdm,26396/1,0.0,cut-in
pdm,26396/2,0.0,cut-in
pdm,26405/0,2.0,cut-in
pdm,26405/1,2.2,cut-in
pdm,26405/2,2.0,cut-in
pdm,2709/0,0.0,cut-in
pdm,2709/1,0.0,cut-in
pdm,2709/2,0.0,cut-in
pdm,2715/0,2.2,cut-in
pdm,2715/1,2.2,cut-in
pdm,2715/2,2.2,cut-in
pdm,27529/0,0.0,pedestrian
pdm,27529/1,0.0,pedestrian
pdm,27529/2,0.0,pedestrian
pdm,3072/0,1.6,cut-in
pdm,3072/1,1.6,cut-in
pdm,3072/2,1.8,cut-in
pdm,3074/0,2.2,cut-in
pdm,3074/1,2.6,cut-in
pdm,3074/2,2.2,cut-in
pdm,3080/0,2.2,cut-in
pdm,3080/1,2.0,cut-in
pdm,3080/2,2.4000000000000004,cut-in
pdm,3483/0,0.0,cut-in
pdm,3483/1,0.0,cut-in
pdm,3483/2,0.0,cut-in
pdm,3502/0,0.0,cut-in
pdm,3502/1,0.0,cut-in
pdm,3502/2,0.0,cut-in
pdm,3731/0,29.6,pedestrian
pdm,3731/1,30.0,pedestrian
pdm,3731/2,29.6,pedestrian
pdm,3740/0,30.200000000000003,pedestrian
pdm,3813/0,1.0,cut-in
pdm,3813/1,1.2000000000000002,cut-in
pdm,3813/2,1.0,cut-in
pdm,3816/0,4.6000000000000005,cut-in
pdm,3816/1,4.4,cut-in
pdm,3816/2,4.0,cut-in
