cluster,trajectory,frames,with_onset,share_with_onset,p10,p25,p50,p75,p90,share_onset_1_3s
all three,log,143,75,0.5244755244755245,0.375,0.375,0.875,1.625,3.125,0.28
all three,rater_best,143,79,0.5524475524475524,0.125,0.125,0.125,0.25,2.375,0.11392405063291139
all three,log_from2,143,75,0.5244755244755245,0.375,0.375,0.875,1.625,3.125,0.28
all three,rater_best_from2,143,45,0.3146853146853147,0.625,1.125,1.875,3.625,4.675000000000001,0.4222222222222222
all three,rater_best - log (paired),143,55,,,,-0.25,,,
all three,rater_best_from2 - log_from2 (paired),143,37,,,,0.0,,,
Cut_ins,log,20,15,0.75,0.375,0.375,0.375,1.25,2.175,0.26666666666666666
Cut_ins,rater_best,20,12,0.6,0.125,0.125,0.125,0.125,2.150000000000001,0.08333333333333333
Cut_ins,log_from2,20,15,0.75,0.375,0.375,0.375,1.25,2.175,0.26666666666666666
Cut_ins,rater_best_from2,20,5,0.25,1.475,2.375,3.125,3.375,3.525,0.2
Cut_ins,rater_best - log (paired),20,11,,,,-0.25,,,
Cut_ins,rater_best_from2 - log_from2 (paired),20,4,,,,0.875,,,
Pedestrian,log,52,22,0.4230769230769231,0.4,0.9375,1.5,2.75,3.825000000000001,0.5
Pedestrian,rater_best,52,34,0.6538461538461539,0.125,0.125,0.125,0.9375,2.749999999999999,0.14705882352941177
Pedestrian,log_from2,52,22,0.4230769230769231,0.4,0.9375,1.5,2.75,3.825000000000001,0.5
Pedestrian,rater_best_from2,52,24,0.46153846153846156,0.45000000000000007,1.125,1.875,3.3125,3.875,0.4583333333333333
Pedestrian,rater_best - log (paired),52,21,,,,-0.75,,,
Pedestrian,rater_best_from2 - log_from2 (paired),52,19,,,,0.0,,,
Cyclist,log,71,38,0.5352112676056338,0.375,0.375,0.625,1.0625,2.4250000000000043,0.15789473684210525
Cyclist,rater_best,71,33,0.4647887323943662,0.125,0.125,0.125,0.125,1.3250000000000002,0.09090909090909091
Cyclist,log_from2,71,38,0.5352112676056338,0.375,0.375,0.625,1.0625,2.4250000000000043,0.15789473684210525
Cyclist,rater_best_from2,71,16,0.22535211267605634,0.625,1.0625,1.5,4.1875,4.875,0.4375
Cyclist,rater_best - log (paired),71,23,,,,-0.25,,,
Cyclist,rater_best_from2 - log_from2 (paired),71,14,,,,0.0,,,
